date,article,label,role,mode,actual,forecast,q10,q90
2023-08-31,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,65454.0,66186.875,51324.4140625,101658.21875
2023-09-01,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,60022.0,57636.78515625,40410.8984375,104036.671875
2023-09-02,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,59270.0,51728.18359375,32534.271484375,107019.0
2023-09-03,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,66945.0,48057.703125,27722.115234375,110416.140625
2023-09-04,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,48880.0,43261.0390625,22655.123046875,113067.296875
2023-09-05,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,43218.0,40216.2265625,19418.900390625,115025.484375
2023-09-06,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,41882.0,37246.734375,16372.3125,115848.578125
2023-09-07,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,46438.0,36130.625,16332.052734375,116076.28125
2023-09-08,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,35488.0,34550.95703125,14773.986328125,114754.25
2023-09-09,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,33934.0,30680.001953125,11829.96484375,109354.625
2023-09-10,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,41830.0,30257.12109375,11167.90234375,108727.359375
2023-09-11,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,33284.0,29373.490234375,10271.447265625,108061.671875
2023-09-12,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,30407.0,27829.08203125,9352.0712890625,106171.046875
2023-09-13,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,29791.0,27210.587890625,8224.390625,106217.53125
2023-09-14,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,32817.0,24924.06640625,7753.4072265625,103136.09375
2023-09-15,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,28330.0,24613.71875,6617.6240234375,102743.859375
2023-09-16,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,21291.0,23570.603515625,6123.46435546875,102129.515625
2023-09-17,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,24838.0,22453.078125,6119.3125,99646.984375
2023-09-18,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,22086.0,22617.94140625,5320.72265625,101694.5625
2023-09-19,Chandrayaan-3,Chandrayaan-3,event,timesfm-multivariate,23913.0,24638.0703125,7871.47900390625,102568.328125
