date,article,label,role,mode,actual,forecast,q10,q90
2022-12-08,ChatGPT,ChatGPT,event,timesfm-multivariate,75917.0,76157.78125,31395.220703125,110949.8125
2022-12-09,ChatGPT,ChatGPT,event,timesfm-multivariate,75277.0,87251.609375,28170.099609375,143062.171875
2022-12-10,ChatGPT,ChatGPT,event,timesfm-multivariate,56528.0,86936.046875,19746.685546875,169649.078125
2022-12-11,ChatGPT,ChatGPT,event,timesfm-multivariate,68069.0,84003.828125,13698.3896484375,190705.5625
2022-12-12,ChatGPT,ChatGPT,event,timesfm-multivariate,84582.0,76346.21875,748.56884765625,219492.796875
2022-12-13,ChatGPT,ChatGPT,event,timesfm-multivariate,123453.0,69134.5625,0.0,235918.953125
2022-12-14,ChatGPT,ChatGPT,event,timesfm-multivariate,121869.0,58044.22265625,0.0,244987.3125
2022-12-15,ChatGPT,ChatGPT,event,timesfm-multivariate,96276.0,57677.390625,0.0,267367.53125
2022-12-16,ChatGPT,ChatGPT,event,timesfm-multivariate,92980.0,47251.15625,0.0,274214.1875
2022-12-17,ChatGPT,ChatGPT,event,timesfm-multivariate,52496.0,43423.578125,0.0,287457.375
2022-12-18,ChatGPT,ChatGPT,event,timesfm-multivariate,53625.0,38780.0390625,0.0,290780.84375
2022-12-19,ChatGPT,ChatGPT,event,timesfm-multivariate,92800.0,34155.24609375,0.0,289333.03125
2022-12-20,ChatGPT,ChatGPT,event,timesfm-multivariate,90633.0,30074.908203125,0.0,291039.90625
2022-12-21,ChatGPT,ChatGPT,event,timesfm-multivariate,65078.0,28348.1953125,0.0,288972.5
2022-12-22,ChatGPT,ChatGPT,event,timesfm-multivariate,70794.0,26482.8984375,0.0,293135.90625
2022-12-23,ChatGPT,ChatGPT,event,timesfm-multivariate,67808.0,25160.84765625,0.0,294020.53125
2022-12-24,ChatGPT,ChatGPT,event,timesfm-multivariate,52901.0,24906.751953125,0.0,304116.40625
2022-12-25,ChatGPT,ChatGPT,event,timesfm-multivariate,50022.0,22857.875,0.0,310323.125
2022-12-26,ChatGPT,ChatGPT,event,timesfm-multivariate,55715.0,21890.140625,0.0,314970.1875
2022-12-27,ChatGPT,ChatGPT,event,timesfm-multivariate,65111.0,20364.30859375,0.0,321115.15625
2022-12-28,ChatGPT,ChatGPT,event,timesfm-multivariate,65163.0,17975.84765625,0.0,322513.125
2022-12-29,ChatGPT,ChatGPT,event,timesfm-multivariate,94381.0,15552.8134765625,0.0,325714.8125
2022-12-30,ChatGPT,ChatGPT,event,timesfm-multivariate,77949.0,13905.2841796875,0.0,326038.625
2022-12-31,ChatGPT,ChatGPT,event,timesfm-multivariate,50027.0,11363.955078125,0.0,323372.40625
2023-01-01,ChatGPT,ChatGPT,event,timesfm-multivariate,53575.0,9943.8994140625,0.0,322797.03125
2023-01-02,ChatGPT,ChatGPT,event,timesfm-multivariate,72838.0,8618.95703125,0.0,322864.03125
2023-01-03,ChatGPT,ChatGPT,event,timesfm-multivariate,85588.0,8359.783203125,0.0,317293.5625
2023-01-04,ChatGPT,ChatGPT,event,timesfm-multivariate,96031.0,7073.1728515625,0.0,312290.53125
2023-01-05,ChatGPT,ChatGPT,event,timesfm-multivariate,112121.0,6292.31103515625,0.0,307549.0
2023-01-06,ChatGPT,ChatGPT,event,timesfm-multivariate,115590.0,6149.51416015625,0.0,305186.75
2022-12-08,OpenAI,OpenAI,organization,timesfm-multivariate,41134.0,40141.6015625,30904.08984375,45330.2109375
2022-12-09,OpenAI,OpenAI,organization,timesfm-multivariate,39980.0,36293.08984375,21860.59765625,47819.3515625
2022-12-10,OpenAI,OpenAI,organization,timesfm-multivariate,29946.0,31569.4453125,15058.7275390625,48489.80859375
2022-12-11,OpenAI,OpenAI,organization,timesfm-multivariate,32350.0,26924.873046875,11680.0810546875,46098.6640625
2022-12-12,OpenAI,OpenAI,organization,timesfm-multivariate,37930.0,25533.525390625,10567.3671875,48217.2578125
2022-12-13,OpenAI,OpenAI,organization,timesfm-multivariate,34262.0,22953.416015625,8930.787109375,47018.80859375
2022-12-14,OpenAI,OpenAI,organization,timesfm-multivariate,32774.0,20576.001953125,7546.25341796875,46445.05859375
2022-12-15,OpenAI,OpenAI,organization,timesfm-multivariate,28762.0,18398.537109375,7026.75732421875,43061.91796875
2022-12-16,OpenAI,OpenAI,organization,timesfm-multivariate,29090.0,15799.8115234375,5621.23876953125,39972.68359375
2022-12-17,OpenAI,OpenAI,organization,timesfm-multivariate,21620.0,13669.568359375,4391.0732421875,37272.21875
2022-12-18,OpenAI,OpenAI,organization,timesfm-multivariate,20406.0,12149.7958984375,3904.767333984375,36231.296875
2022-12-19,OpenAI,OpenAI,organization,timesfm-multivariate,27200.0,11610.662109375,3775.263427734375,36349.625
2022-12-20,OpenAI,OpenAI,organization,timesfm-multivariate,24908.0,10953.427734375,3595.28076171875,36266.328125
2022-12-21,OpenAI,OpenAI,organization,timesfm-multivariate,24149.0,10187.421875,3868.7255859375,35093.66015625
2022-12-22,OpenAI,OpenAI,organization,timesfm-multivariate,27358.0,9530.734375,4018.00048828125,33704.87890625
2022-12-23,OpenAI,OpenAI,organization,timesfm-multivariate,25197.0,8520.357421875,3535.31494140625,31394.560546875
2022-12-24,OpenAI,OpenAI,organization,timesfm-multivariate,19416.0,7448.74462890625,3195.6171875,28680.05859375
2022-12-25,OpenAI,OpenAI,organization,timesfm-multivariate,18001.0,6495.2939453125,3064.94091796875,25935.6015625
2022-12-26,OpenAI,OpenAI,organization,timesfm-multivariate,20332.0,6924.484375,2814.405029296875,26126.685546875
2022-12-27,OpenAI,OpenAI,organization,timesfm-multivariate,20488.0,6764.4189453125,2940.99853515625,25277.46875
2022-12-28,OpenAI,OpenAI,organization,timesfm-multivariate,23824.0,6696.53662109375,2835.2470703125,24606.26953125
2022-12-29,OpenAI,OpenAI,organization,timesfm-multivariate,24347.0,6539.2646484375,2983.0888671875,24006.310546875
2022-12-30,OpenAI,OpenAI,organization,timesfm-multivariate,21487.0,5752.09375,2606.0517578125,22637.671875
2022-12-31,OpenAI,OpenAI,organization,timesfm-multivariate,15724.0,5163.90234375,2008.029052734375,21480.66796875
2023-01-01,OpenAI,OpenAI,organization,timesfm-multivariate,15876.0,4889.4013671875,1874.1131591796875,21034.912109375
2023-01-02,OpenAI,OpenAI,organization,timesfm-multivariate,21233.0,5052.6513671875,1866.66748046875,21425.1328125
2023-01-03,OpenAI,OpenAI,organization,timesfm-multivariate,25434.0,5065.5185546875,2028.1048583984375,21041.6796875
2023-01-04,OpenAI,OpenAI,organization,timesfm-multivariate,28973.0,5250.32470703125,2254.04296875,21108.060546875
2023-01-05,OpenAI,OpenAI,organization,timesfm-multivariate,35153.0,5545.25,2888.781982421875,21039.37890625
2023-01-06,OpenAI,OpenAI,organization,timesfm-multivariate,40891.0,4887.166015625,2335.89453125,19947.033203125
2022-12-08,GPT-3,GPT-3,technology,timesfm-multivariate,19878.0,21745.6796875,17342.171875,24616.60546875
2022-12-09,GPT-3,GPT-3,technology,timesfm-multivariate,18733.0,19108.404296875,12354.8583984375,25168.451171875
2022-12-10,GPT-3,GPT-3,technology,timesfm-multivariate,19619.0,15797.1669921875,8358.318359375,23795.498046875
2022-12-11,GPT-3,GPT-3,technology,timesfm-multivariate,16350.0,14244.5439453125,7059.72119140625,23285.8515625
2022-12-12,GPT-3,GPT-3,technology,timesfm-multivariate,18215.0,14413.4619140625,6750.89501953125,25462.38671875
2022-12-13,GPT-3,GPT-3,technology,timesfm-multivariate,16088.0,13091.341796875,5928.3642578125,24654.984375
