date,article,label,role,mode,actual,forecast,q10,q90
2024-08-03,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,462407.0,376381.15625,307157.8125,452373.59375
2024-08-04,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,512085.0,346706.78125,257591.40625,458888.1875
2024-08-05,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,438502.0,312335.6875,210283.328125,460166.65625
2024-08-06,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,327170.0,291161.28125,182845.171875,465851.1875
2024-08-07,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,282017.0,269565.53125,161124.4375,470871.5625
2024-08-08,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,279856.0,257058.515625,145761.875,479226.53125
2024-08-09,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,298584.0,249843.59375,135744.84375,491680.90625
2024-08-10,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,302262.0,235310.046875,122616.65625,481218.15625
2024-08-11,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,405380.0,220619.59375,110084.328125,470489.21875
2024-08-12,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,316708.0,208654.875,100275.828125,454390.84375
2024-08-13,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,256671.0,192071.03125,88835.2109375,441709.59375
2024-08-14,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,229226.0,178809.125,80159.921875,433816.3125
2024-08-15,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,216387.0,172412.1875,80593.0,427880.15625
2024-08-16,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,221532.0,170485.921875,77377.1015625,437065.0625
2024-08-17,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,212163.0,165676.765625,79211.234375,435430.96875
2024-08-18,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,221201.0,156775.3125,71213.40625,430238.71875
2024-08-19,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,203949.0,144575.90625,63308.046875,421753.34375
2024-08-20,Deadpool_&_Wolverine,Deadpool & Wolverine,event,timesfm-multivariate,154315.0,134000.28125,59048.0859375,409696.90625
