date,article,label,role,mode,actual,forecast,q10,q90
2021-03-31,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,34617.0,27557.8671875,0.0,157069.09375
2021-04-01,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,25335.0,12397.83984375,0.0,180395.25
2021-04-02,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,22761.0,13188.1494140625,0.0,199405.0625
2021-04-03,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,15554.0,7234.50439453125,0.0,188662.03125
2021-04-04,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,15137.0,3154.7841796875,0.0,191251.4375
2021-04-05,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,12753.0,0.0,0.0,188210.59375
2021-04-06,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,10221.0,0.0,0.0,183876.09375
2021-04-07,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,8213.0,0.0,0.0,181853.46875
2021-04-08,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,6695.0,0.0,0.0,176497.59375
2021-04-09,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,5130.0,0.0,0.0,173099.15625
2021-04-10,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,4262.0,0.0,0.0,166803.21875
2021-04-11,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,4905.0,0.0,0.0,159874.125
2021-04-12,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,5589.0,0.0,0.0,156286.375
2021-04-13,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,6638.0,0.0,0.0,147650.125
2021-04-14,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,7316.0,0.0,0.0,137753.71875
2021-04-15,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,4781.0,0.0,0.0,128254.234375
2021-04-16,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,3827.0,0.0,0.0,117563.28125
2021-04-17,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,3077.0,0.0,0.0,111760.59375
2021-04-18,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,3087.0,0.0,0.0,109415.4921875
2021-04-19,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,3381.0,0.0,0.0,106685.3359375
2021-04-20,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,3181.0,0.0,0.0,106516.9375
2021-04-21,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2923.0,0.0,0.0,107893.8359375
2021-04-22,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,3207.0,0.0,0.0,108275.828125
2021-04-23,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2828.0,0.0,0.0,107628.8515625
2021-04-24,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2241.0,0.0,0.0,109086.578125
2021-04-25,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2251.0,0.0,0.0,109014.796875
2021-04-26,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2749.0,0.0,0.0,107905.8046875
2021-04-27,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2626.0,0.0,0.0,105864.125
2021-04-28,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2456.0,0.0,0.0,106599.9609375
2021-04-29,2021_Suez_Canal_obstruction,Suez obstruction,event,timesfm-multivariate,2431.0,0.0,0.0,108132.7265625
2021-03-31,Ever_Given,Ever Given,object,timesfm-multivariate,76797.0,125896.1171875,2238.7861328125,333127.90625
2021-04-01,Ever_Given,Ever Given,object,timesfm-multivariate,48723.0,107274.125,0.0,388751.71875
2021-04-02,Ever_Given,Ever Given,object,timesfm-multivariate,39634.0,103496.8359375,0.0,442237.9375
2021-04-03,Ever_Given,Ever Given,object,timesfm-multivariate,28536.0,74755.9140625,0.0,433652.3125
2021-04-04,Ever_Given,Ever Given,object,timesfm-multivariate,24226.0,54728.71875,0.0,439262.90625
2021-04-05,Ever_Given,Ever Given,object,timesfm-multivariate,18519.0,36226.4609375,0.0,419307.96875
2021-04-06,Ever_Given,Ever Given,object,timesfm-multivariate,13651.0,25465.724609375,0.0,411442.9375
2021-04-07,Ever_Given,Ever Given,object,timesfm-multivariate,10707.0,19808.529296875,0.0,397392.0625
2021-04-08,Ever_Given,Ever Given,object,timesfm-multivariate,9147.0,14377.5068359375,0.0,380891.65625
2021-04-09,Ever_Given,Ever Given,object,timesfm-multivariate,7832.0,12278.4130859375,0.0,370773.71875
2021-04-10,Ever_Given,Ever Given,object,timesfm-multivariate,7935.0,10309.404296875,0.0,361277.25
2021-04-11,Ever_Given,Ever Given,object,timesfm-multivariate,11471.0,7843.3408203125,0.0,354798.0
2021-04-12,Ever_Given,Ever Given,object,timesfm-multivariate,11409.0,5826.7314453125,0.0,350165.78125
2021-04-13,Ever_Given,Ever Given,object,timesfm-multivariate,16269.0,6981.1787109375,0.0,344313.09375
2021-04-14,Ever_Given,Ever Given,object,timesfm-multivariate,23178.0,6397.912109375,0.0,339060.5625
2021-04-15,Ever_Given,Ever Given,object,timesfm-multivariate,10561.0,5956.2939453125,0.0,332689.3125
2021-04-16,Ever_Given,Ever Given,object,timesfm-multivariate,6265.0,2637.97314453125,0.0,325910.65625
2021-04-17,Ever_Given,Ever Given,object,timesfm-multivariate,4652.0,431.393798828125,0.0,320170.25
2021-04-18,Ever_Given,Ever Given,object,timesfm-multivariate,4291.0,1084.723388671875,0.0,326171.9375
2021-04-19,Ever_Given,Ever Given,object,timesfm-multivariate,4430.0,1348.2958984375,0.0,328352.4375
2021-04-20,Ever_Given,Ever Given,object,timesfm-multivariate,3932.0,0.0,0.0,332606.96875
2021-04-21,Ever_Given,Ever Given,object,timesfm-multivariate,3671.0,0.0,0.0,339273.9375
2021-04-22,Ever_Given,Ever Given,object,timesfm-multivariate,4065.0,0.0,0.0,342035.625
2021-04-23,Ever_Given,Ever Given,object,timesfm-multivariate,3691.0,0.0,0.0,349524.59375
2021-04-24,Ever_Given,Ever Given,object,timesfm-multivariate,3084.0,0.0,0.0,357131.375
2021-04-25,Ever_Given,Ever Given,object,timesfm-multivariate,2841.0,0.0,0.0,370454.34375
2021-04-26,Ever_Given,Ever Given,object,timesfm-multivariate,2714.0,0.0,0.0,367162.59375
2021-04-27,Ever_Given,Ever Given,object,timesfm-multivariate,2611.0,0.0,0.0,377479.71875
2021-04-28,Ever_Given,Ever Given,object,timesfm-multivariate,2492.0,0.0,0.0,370629.59375
2021-04-29,Ever_Given,Ever Given,object,timesfm-multivariate,2562.0,0.0,0.0,359400.375
2021-03-31,Suez_Canal,Suez Canal,place,timesfm-multivariate,130911.0,186640.3125,103181.1015625,306322.8125
2021-04-01,Suez_Canal,Suez Canal,place,timesfm-multivariate,78991.0,144283.921875,67657.8828125,303497.4375
2021-04-02,Suez_Canal,Suez Canal,place,timesfm-multivariate,63840.0,117924.90625,49294.5546875,286299.59375
2021-04-03,Suez_Canal,Suez Canal,place,timesfm-multivariate,54329.0,92502.8515625,35823.2890625,259810.765625
2021-04-04,Suez_Canal,Suez Canal,place,timesfm-multivariate,47163.0,78278.8515625,18969.78515625,259348.828125
2021-04-05,Suez_Canal,Suez Canal,place,timesfm-multivariate,31908.0,65505.3984375,17642.201171875,236650.359375
2021-04-06,Suez_Canal,Suez Canal,place,timesfm-multivariate,28375.0,55760.1640625,9699.19140625,218311.3125
2021-04-07,Suez_Canal,Suez Canal,place,timesfm-multivariate,21454.0,49467.8359375,8341.7255859375,200573.515625
2021-04-08,Suez_Canal,Suez Canal,place,timesfm-multivariate,17706.0,43921.09375,6475.68359375,181819.59375
2021-04-09,Suez_Canal,Suez Canal,place,timesfm-multivariate,14226.0,36919.9453125,4402.19384765625,162693.015625
2021-04-10,Suez_Canal,Suez Canal,place,timesfm-multivariate,13398.0,32916.6640625,1215.3427734375,148340.71875
2021-04-11,Suez_Canal,Suez Canal,place,timesfm-multivariate,14561.0,32624.279296875,3494.60546875,142777.734375
2021-04-12,Suez_Canal,Suez Canal,place,timesfm-multivariate,13245.0,30539.37109375,2245.67041015625,137269.8125
2021-04-13,Suez_Canal,Suez Canal,place,timesfm-multivariate,15061.0,26464.751953125,390.287109375,129506.703125
2021-04-14,Suez_Canal,Suez Canal,place,timesfm-multivariate,20996.0,23257.7890625,2199.14404296875,118941.8828125
2021-04-15,Suez_Canal,Suez Canal,place,timesfm-multivariate,12257.0,22838.24609375,1793.60205078125,113424.5546875
2021-04-16,Suez_Canal,Suez Canal,place,timesfm-multivariate,9527.0,19472.625,647.30712890625,105689.015625
2021-04-17,Suez_Canal,Suez Canal,place,timesfm-multivariate,8701.0,15884.896484375,0.0,99168.578125
2021-04-18,Suez_Canal,Suez Canal,place,timesfm-multivariate,8659.0,17002.4375,0.0,97257.375
2021-04-19,Suez_Canal,Suez Canal,place,timesfm-multivariate,8521.0,16373.513671875,0.0,92992.6015625
2021-04-20,Suez_Canal,Suez Canal,place,timesfm-multivariate,7661.0,13262.9853515625,0.0,88877.9453125
2021-04-21,Suez_Canal,Suez Canal,place,timesfm-multivariate,7289.0,11742.7080078125,0.0,85354.234375
2021-04-22,Suez_Canal,Suez Canal,place,timesfm-multivariate,7224.0,10112.1083984375,0.0,80742.234375
2021-04-23,Suez_Canal,Suez Canal,place,timesfm-multivariate,6661.0,9072.3720703125,0.0,76994.6796875
2021-04-24,Suez_Canal,Suez Canal,place,timesfm-multivariate,6640.0,8496.603515625,0.0,75363.2890625
2021-04-25,Suez_Canal,Suez Canal,place,timesfm-multivariate,7685.0,10706.4814453125,0.0,77177.9296875
2021-04-26,Suez_Canal,Suez Canal,place,timesfm-multivariate,6596.0,9945.431640625,0.0,76192.671875
2021-04-27,Suez_Canal,Suez Canal,place,timesfm-multivariate,5844.0,8311.0673828125,0.0,70433.3125
2021-04-28,Suez_Canal,Suez Canal,place,timesfm-multivariate,5986.0,7659.2431640625,0.0,67831.265625
2021-04-29,Suez_Canal,Suez Canal,place,timesfm-multivariate,5611.0,6469.9365234375,0.0,65618.3359375
2021-03-31,Container_ship,Container ship,idea,timesfm-multivariate,6573.0,8192.6953125,3933.018310546875,15425.6474609375
2021-04-01,Container_ship,Container ship,idea,timesfm-multivariate,4695.0,6636.56689453125,3050.37890625,15972.1552734375
2021-04-02,Container_ship,Container ship,idea,timesfm-multivariate,3894.0,4465.6123046875,1258.5804443359375,13934.896484375
2021-04-03,Container_ship,Container ship,idea,timesfm-multivariate,3256.0,2889.18701171875,966.9749755859376,11117.7958984375
2021-04-04,Container_ship,Container ship,idea,timesfm-multivariate,2924.0,2346.24169921875,514.066650390625,10273.5068359375
2021-04-05,Container_ship,Container ship,idea,timesfm-multivariate,2545.0,2178.54638671875,704.5735473632812,9378.294921875
2021-04-06,Container_ship,Container ship,idea,timesfm-multivariate,2195.0,2161.0400390625,668.8472900390625,8558.529296875
2021-04-07,Container_ship,Container ship,idea,timesfm-multivariate,1994.0,2057.56640625,758.489501953125,7738.7666015625
2021-04-08,Container_ship,Container ship,idea,timesfm-multivariate,1800.0,1852.507568359375,754.940673828125,6765.9375
2021-04-09,Container_ship,Container ship,idea,timesfm-multivariate,1464.0,1331.6461181640625,502.3034057617187,5392.958984375
2021-04-10,Container_ship,Container ship,idea,timesfm-multivariate,1373.0,981.4324951171876,287.58392333984375,4347.0380859375
2021-04-11,Container_ship,Container ship,idea,timesfm-multivariate,1561.0,995.7010498046876,415.8943481445313,4043.58984375
2021-04-12,Container_ship,Container ship,idea,timesfm-multivariate,1807.0,1113.3343505859375,355.53363037109375,4169.908203125
2021-04-13,Container_ship,Container ship,idea,timesfm-multivariate,2162.0,1160.7032470703125,457.908447265625,4086.963134765625
2021-04-14,Container_ship,Container ship,idea,timesfm-multivariate,2842.0,1189.2261962890625,613.0044555664062,3874.91748046875
2021-04-15,Container_ship,Container ship,idea,timesfm-multivariate,1793.0,1201.2376708984375,615.771240234375,3723.99462890625
2021-04-16,Container_ship,Container ship,idea,timesfm-multivariate,1316.0,936.9508666992188,504.15380859375,3165.2041015625
2021-04-17,Container_ship,Container ship,idea,timesfm-multivariate,1053.0,565.6600952148438,381.4229736328125,2477.11328125
2021-04-18,Container_ship,Container ship,idea,timesfm-multivariate,1160.0,651.0579223632812,293.11767578125,2651.787841796875
2021-04-19,Container_ship,Container ship,idea,timesfm-multivariate,1213.0,968.2882690429688,498.570556640625,2961.798828125
2021-04-20,Container_ship,Container ship,idea,timesfm-multivariate,1200.0,1104.2552490234375,537.6434936523438,3214.763671875
2021-04-21,Container_ship,Container ship,idea,timesfm-multivariate,1220.0,1199.7271728515625,633.748291015625,3332.185546875
2021-04-22,Container_ship,Container ship,idea,timesfm-multivariate,1183.0,1155.6285400390625,656.9765625,3167.92626953125
2021-04-23,Container_ship,Container ship,idea,timesfm-multivariate,1079.0,880.3196411132812,494.3248901367187,2672.00341796875
2021-04-24,Container_ship,Container ship,idea,timesfm-multivariate,804.0,660.3011474609375,334.43634033203125,2359.869873046875
2021-04-25,Container_ship,Container ship,idea,timesfm-multivariate,861.0,815.0735473632812,449.84423828125,2520.2548828125
2021-04-26,Container_ship,Container ship,idea,timesfm-multivariate,1653.0,944.1397094726562,610.1849365234375,2673.8115234375
2021-04-27,Container_ship,Container ship,idea,timesfm-multivariate,1314.0,1109.5325927734375,686.5078125,2908.28466796875
2021-04-28,Container_ship,Container ship,idea,timesfm-multivariate,1173.0,1201.0777587890625,802.019775390625,2963.713623046875
2021-04-29,Container_ship,Container ship,idea,timesfm-multivariate,1070.0,1193.2464599609375,789.6224365234375,2935.767822265625
2021-03-31,Supply_chain,Supply chain,idea,timesfm-multivariate,725.0,773.440673828125,698.0640869140625,858.7677001953125
2021-04-01,Supply_chain,Supply chain,idea,timesfm-multivariate,665.0,746.1321411132812,662.364990234375,848.3776245117188
2021-04-02,Supply_chain,Supply chain,idea,timesfm-multivariate,559.0,651.8492431640625,574.60986328125,749.5663452148438
2021-04-03,Supply_chain,Supply chain,idea,timesfm-multivariate,550.0,476.54534912109375,405.7173156738281,568.9742431640625
