date,article,label,role,mode,actual,forecast,q10,q90
2023-12-13,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,20067.0,17854.44140625,12512.85546875,27904.564453125
2023-12-14,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,18171.0,14710.6376953125,8418.71484375,25684.02734375
2023-12-15,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,16337.0,12153.7451171875,5514.37744140625,24403.751953125
2023-12-16,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,15345.0,10668.634765625,4251.7919921875,23458.087890625
2023-12-17,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,14070.0,9065.1494140625,3250.140625,22390.2578125
2023-12-18,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,14072.0,7852.3125,2431.16064453125,21477.677734375
2023-12-19,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,12160.0,7394.66748046875,2436.796630859375,21343.80859375
2023-12-20,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,10736.0,7350.25537109375,2888.50927734375,21406.103515625
2023-12-21,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,12599.0,6258.484375,2059.86962890625,20515.08203125
2023-12-22,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,14911.0,5635.6513671875,2120.14794921875,20028.36328125
2023-12-23,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,11897.0,5414.9833984375,1814.26171875,19680.658203125
2023-12-24,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,11080.0,5062.396484375,1659.390869140625,19325.78125
2023-12-25,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,11465.0,4442.71484375,1179.49609375,18505.478515625
2023-12-26,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,10871.0,4247.39208984375,989.5184326171876,18341.958984375
2023-12-27,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9906.0,3811.2001953125,789.128173828125,17701.501953125
2023-12-28,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9642.0,3597.49951171875,710.1692504882812,17184.8828125
2023-12-29,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9623.0,3273.5625,517.0321044921875,17258.5078125
2023-12-30,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9007.0,3093.525146484375,557.5400390625,16994.55078125
2023-12-31,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9335.0,3074.046875,774.7105102539062,16920.85546875
2024-01-01,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9521.0,2858.83251953125,564.8616943359375,16557.6484375
2024-01-02,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9561.0,2844.595703125,698.30517578125,16309.6162109375
2024-01-03,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,9288.0,2721.91455078125,721.5956420898438,16108.2919921875
2024-01-04,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,8662.0,2566.16796875,691.9796752929688,15881.16796875
2024-01-05,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,8091.0,2430.59130859375,729.0325317382812,15247.2548828125
2024-01-06,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,8331.0,2502.389892578125,850.2328491210938,15109.2421875
2024-01-07,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,8250.0,2349.04833984375,683.9531860351562,14876.8203125
2024-01-08,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,7747.0,1899.14208984375,631.8594970703125,13672.1826171875
2024-01-09,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,8510.0,1938.3065185546875,653.5354614257812,13405.2353515625
2024-01-10,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,8198.0,1700.010498046875,391.9818115234375,13025.8671875
2024-01-11,Grand_Theft_Auto_VI,GTA VI,event,timesfm-multivariate,7742.0,1627.250732421875,850.96337890625,12170.1767578125
2023-12-13,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,8623.0,9586.966796875,8219.279296875,11935.84765625
2023-12-14,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,8067.0,8464.1982421875,7034.01171875,11552.650390625
2023-12-15,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,7431.0,7928.60693359375,6294.6015625,11575.2197265625
2023-12-16,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,7146.0,7444.34619140625,5633.64990234375,11509.80859375
2023-12-17,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,6871.0,7089.53564453125,5222.4423828125,11459.376953125
2023-12-18,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,6954.0,6749.6669921875,4878.455078125,11249.205078125
2023-12-19,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,6327.0,6605.25,4648.44580078125,11391.63671875
2023-12-20,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5774.0,6419.6083984375,4473.28955078125,11385.33984375
2023-12-21,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5861.0,6203.48974609375,4202.267578125,11353.248046875
2023-12-22,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5777.0,5884.513671875,3921.224365234375,11204.12109375
2023-12-23,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5322.0,5676.38427734375,3647.94091796875,11124.5234375
2023-12-24,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5106.0,5383.4248046875,3436.991943359375,10997.556640625
2023-12-25,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,6022.0,5223.2421875,3439.50439453125,10742.775390625
2023-12-26,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,6306.0,5127.142578125,3232.5361328125,10847.4013671875
2023-12-27,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5916.0,5067.4326171875,3147.09375,11071.4873046875
2023-12-28,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5481.0,4999.7822265625,3278.13525390625,10908.93359375
2023-12-29,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,5002.0,5062.927734375,3352.272216796875,11150.1962890625
2023-12-30,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,4944.0,5081.74609375,3279.86474609375,11465.8046875
2023-12-31,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,4616.0,5029.3779296875,3261.99169921875,11593.44921875
2024-01-01,Rockstar_Games,Rockstar Games,organization,timesfm-multivariate,4707.0,4835.17578125,3304.162841796875,11174.107421875
