date,article,label,role,mode,actual,forecast,q10,q90
2024-06-22,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,161656.0,93629.8671875,88001.71875,102140.8828125
2024-06-23,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,192333.0,85837.96875,77757.9140625,99350.265625
2024-06-24,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,117762.0,77061.234375,68102.7109375,92966.234375
2024-06-25,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,86351.0,71279.9375,61302.578125,88772.546875
2024-06-26,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,87327.0,68960.5390625,59301.53125,88305.8359375
2024-06-27,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,74695.0,68128.1015625,57625.7578125,88674.3828125
2024-06-28,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,71287.0,67976.03125,56543.6875,90396.3203125
2024-06-29,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,80931.0,67549.6484375,55505.875,91146.453125
2024-06-30,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,100224.0,67442.0078125,54712.5234375,92211.453125
2024-07-01,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,96901.0,62935.25,50026.9453125,87703.2265625
2024-07-02,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,71167.0,57317.5859375,44458.3203125,82045.421875
2024-07-03,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,63796.0,53758.4140625,41218.2265625,78069.0
2024-07-04,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,58579.0,52470.2109375,40509.90625,76308.7890625
2024-07-05,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,76891.0,53157.8125,40303.890625,78156.46875
2024-07-06,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,114546.0,53468.765625,41125.6796875,77981.609375
2024-07-07,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,121009.0,53522.796875,40536.359375,77522.1015625
2024-07-08,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,93923.0,47306.9453125,35441.1796875,70263.0703125
2024-07-09,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,81442.0,41871.90625,30908.4921875,64012.625
2024-07-10,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,79292.0,39488.65625,28620.833984375,61726.2265625
2024-07-11,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,75059.0,37689.0078125,27597.240234375,58797.328125
2024-07-12,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,69086.0,38180.09375,27416.828125,59231.90625
2024-07-13,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,85685.0,37987.4453125,26973.416015625,58871.9609375
2024-07-14,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,79451.0,37862.4765625,27740.529296875,57892.0859375
2024-07-15,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,64827.0,35534.9140625,25780.18359375,53656.796875
2024-07-16,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,62231.0,30878.18359375,22190.6484375,48274.609375
2024-07-17,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,58225.0,27740.228515625,19338.19140625,44910.1328125
2024-07-18,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,55409.0,25869.10546875,18322.376953125,42164.9765625
2024-07-19,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,57643.0,25866.8515625,19390.275390625,41418.25
2024-07-20,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,72709.0,26459.798828125,20058.52734375,42147.2421875
2024-07-21,Inside_Out_2,Inside Out 2,event,timesfm-multivariate,76468.0,27875.435546875,21558.61328125,43625.9140625
2024-06-22,Inside_Out_(2015_film),Inside Out,work,timesfm-multivariate,56291.0,45989.78125,41661.67578125,51727.33203125
2024-06-23,Inside_Out_(2015_film),Inside Out,work,timesfm-multivariate,60770.0,43916.44140625,38270.35546875,52354.55859375
2024-06-24,Inside_Out_(2015_film),Inside Out,work,timesfm-multivariate,47675.0,40539.18359375,34480.58984375,50642.24609375
2024-06-25,Inside_Out_(2015_film),Inside Out,work,timesfm-multivariate,38262.0,36634.9921875,30361.115234375,47909.46875
