date,article,label,role,mode,actual,forecast,q10,q90
2022-07-20,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,32374.0,27958.01953125,22006.0625,36029.1875
2022-07-21,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,28689.0,22193.34765625,15264.998046875,36107.72265625
2022-07-22,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,22935.0,18230.046875,10990.080078125,34476.8125
2022-07-23,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,18695.0,15748.978515625,8976.134765625,32849.73828125
2022-07-24,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,15387.0,13767.421875,7744.94482421875,31387.64453125
2022-07-25,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,14377.0,12483.8779296875,6909.435546875,30242.16015625
2022-07-26,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,13042.0,11743.8037109375,6538.58447265625,29093.984375
2022-07-27,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,12044.0,11268.525390625,6503.31689453125,27849.6796875
2022-07-28,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,10401.0,10467.8447265625,6016.818359375,26211.6796875
2022-07-29,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,9202.0,9792.6044921875,5896.8017578125,24473.37109375
2022-07-30,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,8752.0,9229.734375,5234.22265625,23058.458984375
2022-07-31,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,9708.0,8784.91015625,5035.05126953125,22167.546875
2022-08-01,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,9032.0,8594.2607421875,5046.4921875,21418.90234375
2022-08-02,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,8951.0,8520.462890625,4842.87841796875,21512.3125
2022-08-03,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,10335.0,8301.33984375,4866.3720703125,21017.109375
2022-08-04,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,8342.0,7923.8984375,4570.38330078125,20245.35546875
2022-08-05,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,8239.0,7478.6689453125,4499.21533203125,19295.599609375
2022-08-06,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,7409.0,7332.6943359375,4532.88037109375,18880.818359375
2022-08-07,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,8036.0,7070.2529296875,4594.98828125,18433.28125
2022-08-08,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,11550.0,7088.3408203125,4502.0830078125,18313.951171875
2022-08-09,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,6843.0,7088.7685546875,4545.40185546875,18374.95703125
2022-08-10,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,6455.0,7023.1318359375,4395.01611328125,18103.63671875
2022-08-11,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,6063.0,6569.70703125,4138.9404296875,17317.67578125
2022-08-12,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,5264.0,6305.90234375,3885.22216796875,16475.5234375
2022-08-13,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,5046.0,6179.470703125,3988.068359375,15910.150390625
2022-08-14,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,5719.0,6102.921875,4052.17138671875,15699.6171875
2022-08-15,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,5880.0,5791.62353515625,3810.92578125,14953.0849609375
2022-08-16,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,6027.0,5987.40234375,4133.4150390625,14627.6767578125
2022-08-17,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,5941.0,6050.3056640625,3944.63037109375,14876.177734375
2022-08-18,James_Webb_Space_Telescope,James Webb,event,timesfm-multivariate,5103.0,6039.64306640625,4038.53759765625,14356.8671875
2022-07-20,NASA,NASA,organization,timesfm-multivariate,5225.0,6926.62060546875,5875.27783203125,9252.1376953125
2022-07-21,NASA,NASA,organization,timesfm-multivariate,5306.0,6403.13134765625,5001.5458984375,9499.8583984375
2022-07-22,NASA,NASA,organization,timesfm-multivariate,3933.0,5812.3701171875,4580.5859375,9000.7998046875
2022-07-23,NASA,NASA,organization,timesfm-multivariate,3867.0,5181.38525390625,3946.4267578125,8583.2978515625
2022-07-24,NASA,NASA,organization,timesfm-multivariate,3493.0,5051.37109375,3756.091552734375,8784.5078125
2022-07-25,NASA,NASA,organization,timesfm-multivariate,3362.0,5375.5732421875,3994.836181640625,9343.04296875
2022-07-26,NASA,NASA,organization,timesfm-multivariate,4115.0,5405.0908203125,3912.632080078125,9570.634765625
2022-07-27,NASA,NASA,organization,timesfm-multivariate,3793.0,5229.056640625,3778.260009765625,9412.73046875
2022-07-28,NASA,NASA,organization,timesfm-multivariate,3477.0,4967.2255859375,3567.75732421875,9123.216796875
2022-07-29,NASA,NASA,organization,timesfm-multivariate,7491.0,4616.63525390625,3348.849609375,8724.205078125
2022-07-30,NASA,NASA,organization,timesfm-multivariate,3421.0,4120.35986328125,2974.387939453125,8178.72998046875
2022-07-31,NASA,NASA,organization,timesfm-multivariate,3772.0,4063.23974609375,2910.72509765625,8198.41015625
2022-08-01,NASA,NASA,organization,timesfm-multivariate,3653.0,4439.58056640625,3239.434326171875,8708.904296875
2022-08-02,NASA,NASA,organization,timesfm-multivariate,3431.0,4498.03466796875,3299.65185546875,8834.611328125
2022-08-03,NASA,NASA,organization,timesfm-multivariate,3387.0,4379.89599609375,3259.686767578125,8643.537109375
2022-08-04,NASA,NASA,organization,timesfm-multivariate,3639.0,4225.54150390625,3135.730712890625,8399.580078125
2022-08-05,NASA,NASA,organization,timesfm-multivariate,3321.0,3990.541015625,2992.54638671875,7992.7919921875
2022-08-06,NASA,NASA,organization,timesfm-multivariate,3343.0,3607.803955078125,2769.72705078125,7421.974609375
2022-08-07,NASA,NASA,organization,timesfm-multivariate,4997.0,3681.656494140625,2763.21630859375,7581.20068359375
2022-08-08,NASA,NASA,organization,timesfm-multivariate,3908.0,4119.04248046875,3139.888916015625,8047.02685546875
2022-08-09,NASA,NASA,organization,timesfm-multivariate,3592.0,4137.904296875,3113.95263671875,8130.6494140625
2022-08-10,NASA,NASA,organization,timesfm-multivariate,3250.0,4106.0263671875,3087.64990234375,8152.4228515625
2022-08-11,NASA,NASA,organization,timesfm-multivariate,3106.0,4020.07080078125,3072.01416015625,8040.40869140625
2022-08-12,NASA,NASA,organization,timesfm-multivariate,2790.0,3850.44921875,2975.01806640625,7852.98974609375
2022-08-13,NASA,NASA,organization,timesfm-multivariate,2890.0,3523.4892578125,2689.255126953125,7626.33203125
2022-08-14,NASA,NASA,organization,timesfm-multivariate,2977.0,3568.54345703125,2703.23974609375,7937.6142578125
2022-08-15,NASA,NASA,organization,timesfm-multivariate,3340.0,3949.84716796875,2950.9423828125,8592.55078125
2022-08-16,NASA,NASA,organization,timesfm-multivariate,3219.0,3977.5966796875,3008.0537109375,8780.298828125
2022-08-17,NASA,NASA,organization,timesfm-multivariate,3811.0,3986.424072265625,3071.82568359375,8768.841796875
2022-08-18,NASA,NASA,organization,timesfm-multivariate,3438.0,3857.98779296875,2998.9560546875,8472.27734375
2022-07-20,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,4423.0,4547.95703125,3881.814453125,5500.462890625
2022-07-21,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,4194.0,3933.771728515625,3162.8154296875,5418.05078125
2022-07-22,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,3237.0,3411.08349609375,2608.813232421875,5142.8974609375
2022-07-23,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2832.0,2995.51904296875,2230.05908203125,4862.2138671875
2022-07-24,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2806.0,2827.65966796875,2101.255126953125,4828.1044921875
2022-07-25,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2821.0,2803.46533203125,2046.796875,4924.517578125
2022-07-26,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2536.0,2745.16357421875,1983.5224609375,4917.4609375
2022-07-27,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2335.0,2646.629150390625,1920.494140625,4783.7197265625
2022-07-28,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2095.0,2513.383056640625,1857.9183349609375,4539.12841796875
2022-07-29,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2044.0,2308.64306640625,1764.86865234375,4176.53173828125
2022-07-30,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1969.0,2112.70703125,1615.9720458984375,3869.546875
2022-07-31,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1942.0,2087.068359375,1589.0428466796875,3820.962890625
2022-08-01,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2034.0,2129.720458984375,1604.815185546875,3847.28564453125
2022-08-02,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1965.0,2138.322265625,1567.8927001953125,3937.8564453125
2022-08-03,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,2117.0,2129.11279296875,1606.4666748046875,3873.923583984375
2022-08-04,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1821.0,2020.602783203125,1512.0360107421875,3730.69384765625
2022-08-05,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1719.0,1846.2882080078125,1412.6910400390625,3484.4638671875
2022-08-06,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1549.0,1729.057861328125,1353.5775146484375,3310.965576171875
2022-08-07,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1761.0,1736.4483642578125,1355.8404541015625,3343.1865234375
2022-08-08,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1716.0,1844.55419921875,1405.0528564453125,3481.884765625
2022-08-09,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1721.0,1893.27001953125,1404.6986083984375,3594.8720703125
2022-08-10,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1646.0,1905.4912109375,1421.0513916015625,3609.37744140625
2022-08-11,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1732.0,1817.257568359375,1376.896484375,3466.155517578125
2022-08-12,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1552.0,1705.0098876953125,1346.728515625,3219.6103515625
2022-08-13,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1622.0,1626.5804443359375,1291.642578125,3077.56640625
2022-08-14,Hubble_Space_Telescope,Hubble,technology,timesfm-multivariate,1493.0,1678.8568115234375,1282.360595703125,3223.0732421875
