date,article,label,role,mode,actual,forecast,q10,q90
2024-12-15,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,6526.0,9069.51171875,6850.33203125,12252.2158203125
2024-12-16,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,5806.0,8045.111328125,5709.138671875,12086.1904296875
2024-12-17,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4758.0,6485.36328125,4293.31103515625,10817.240234375
2024-12-18,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4460.0,5537.08203125,3613.6689453125,9859.68359375
2024-12-19,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4700.0,5158.84375,3495.896728515625,9587.15625
2024-12-20,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4053.0,5047.3955078125,3418.642822265625,9706.5791015625
2024-12-21,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,5404.0,5394.283203125,3659.32177734375,10390.59765625
2024-12-22,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4038.0,5823.88623046875,3968.1484375,11112.65625
2024-12-23,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4020.0,5457.080078125,3653.201171875,10816.3662109375
2024-12-24,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4908.0,4817.51513671875,3212.684814453125,10094.466796875
2024-12-25,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,6148.0,4500.408203125,2957.216796875,9609.7734375
2024-12-26,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4714.0,4245.2470703125,2831.846923828125,9337.015625
2024-12-27,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3904.0,4244.484375,2907.417236328125,9233.28125
2024-12-28,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3847.0,4500.72412109375,2930.1416015625,9822.962890625
2024-12-29,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3838.0,4668.2119140625,2881.130859375,10255.748046875
2024-12-30,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,6959.0,4526.8115234375,2979.592041015625,9776.720703125
2024-12-31,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3687.0,4117.85693359375,2782.29541015625,9237.001953125
2025-01-01,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3812.0,3774.85302734375,2512.17041015625,8798.853515625
2025-01-02,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4539.0,3764.033447265625,2683.61962890625,8726.853515625
2025-01-03,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4061.0,3878.41162109375,2787.294189453125,8755.884765625
2025-01-04,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3592.0,4167.44189453125,2869.10009765625,9350.96484375
2025-01-05,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3454.0,4369.48193359375,2924.98681640625,9643.015625
2025-01-06,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4846.0,4209.1328125,2960.03515625,9320.501953125
2025-01-07,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3145.0,3918.861328125,2776.674560546875,8842.6884765625
2025-01-08,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,2870.0,3771.858154296875,2750.23681640625,8673.220703125
2025-01-09,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3019.0,3630.585205078125,2714.4755859375,8519.26953125
2025-01-10,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,4243.0,3565.77197265625,2688.6513671875,8451.484375
2025-01-11,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3151.0,3885.392822265625,2860.015869140625,8948.203125
2025-01-12,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3124.0,4138.490234375,3063.51171875,9363.3828125
2025-01-13,Notre-Dame_de_Paris,Notre-Dame,place,timesfm-multivariate,3074.0,4037.781982421875,3004.771240234375,9109.9453125
2024-12-15,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,2239.0,3304.45458984375,2559.010986328125,4611.1162109375
2024-12-16,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,2029.0,2911.32080078125,2146.99658203125,4784.298828125
2024-12-17,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1642.0,2356.60009765625,1678.2064208984375,4396.55224609375
2024-12-18,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1710.0,2047.009033203125,1480.9451904296875,4122.4619140625
2024-12-19,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1621.0,1882.3072509765625,1377.58349609375,4140.92431640625
2024-12-20,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1263.0,1856.2890625,1324.89599609375,4325.146484375
2024-12-21,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1530.0,1971.6297607421875,1339.5626220703125,4695.15478515625
2024-12-22,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1424.0,2150.532958984375,1478.225341796875,5095.2822265625
2024-12-23,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1192.0,1920.298095703125,1289.2958984375,4916.859375
2024-12-24,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1821.0,1710.2725830078125,1203.3314208984375,4765.8330078125
2024-12-25,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,2052.0,1560.252197265625,1123.183349609375,4576.9814453125
2024-12-26,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1690.0,1452.2401123046875,1046.9794921875,4457.564453125
2024-12-27,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1251.0,1482.6600341796875,1074.5311279296875,4553.52490234375
2024-12-28,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1246.0,1656.5731201171875,1101.521240234375,4829.44921875
2024-12-29,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1339.0,1763.270751953125,1103.8795166015625,4964.015625
2024-12-30,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,3279.0,1604.6529541015625,1093.806396484375,4490.1005859375
2024-12-31,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1475.0,1432.085693359375,1036.4931640625,4042.63525390625
2025-01-01,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1477.0,1366.1533203125,1047.6856689453125,3768.08251953125
2025-01-02,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1485.0,1310.727783203125,1027.30712890625,3638.532958984375
2025-01-03,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1266.0,1381.43310546875,1049.666015625,3632.607666015625
2025-01-04,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1174.0,1517.4970703125,1039.7506103515625,3934.535400390625
2025-01-05,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1139.0,1642.8126220703125,1101.14404296875,4085.272216796875
2025-01-06,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1067.0,1465.59619140625,1096.045166015625,3739.46875
2025-01-07,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,903.0,1361.169677734375,1003.2630615234376,3548.44482421875
2025-01-08,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,958.0,1304.9556884765625,1016.73974609375,3442.951171875
2025-01-09,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1191.0,1256.0721435546875,981.0838623046876,3404.07470703125
2025-01-10,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1249.0,1265.2662353515625,986.678955078125,3385.329833984375
2025-01-11,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1069.0,1409.2412109375,985.670654296875,3650.639404296875
2025-01-12,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1143.0,1529.09375,1097.929443359375,3756.140380859375
2025-01-13,Notre-Dame_fire,2019 fire,history,timesfm-multivariate,1041.0,1371.0272216796875,1027.62646484375,3481.35595703125
2024-12-15,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,7201.0,8059.0224609375,6564.77001953125,12703.328125
2024-12-16,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,6539.0,7526.2841796875,5978.8916015625,13175.7109375
2024-12-17,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,6205.0,7310.77001953125,5729.22998046875,13719.673828125
2024-12-18,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,6147.0,7276.68115234375,5608.86328125,14180.509765625
2024-12-19,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,6027.0,7293.21875,5548.0634765625,14886.92578125
2024-12-20,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,6579.0,7246.138671875,5476.69677734375,15371.7919921875
2024-12-21,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,7292.0,7140.646484375,5396.90380859375,15798.46875
2024-12-22,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,5943.0,7060.3466796875,5358.5947265625,16053.87890625
2024-12-23,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,6794.0,6741.46435546875,5110.43505859375,16086.14453125
2024-12-24,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,5618.0,6738.8779296875,5098.3740234375,16344.51171875
2024-12-25,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,5037.0,6803.8134765625,5073.93115234375,16686.427734375
2024-12-26,Emmanuel_Macron,Emmanuel Macron,person,timesfm-multivariate,5081.0,6843.6162109375,5000.2158203125,17006.099609375
