date,article,label,role,mode,actual,forecast,q10,q90
2024-08-03,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,8035.0,8614.751953125,6823.205078125,11186.708984375
2024-08-04,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,7408.0,7812.0986328125,5483.048828125,11403.1357421875
2024-08-05,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,6741.0,6649.3505859375,4055.43310546875,11186.064453125
2024-08-06,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,5458.0,5786.22021484375,3175.06787109375,10912.6279296875
2024-08-07,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,4922.0,5262.32421875,2802.60546875,10869.90625
2024-08-08,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,4932.0,4393.5205078125,2137.640625,10246.67578125
2024-08-09,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,5532.0,3880.916748046875,1877.19384765625,9801.9853515625
2024-08-10,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,5991.0,3911.4169921875,2125.38720703125,9743.115234375
2024-08-11,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,13413.0,3640.39697265625,1927.3406982421875,9196.4423828125
2024-08-12,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,9883.0,3528.196044921875,1916.4530029296875,8590.341796875
2024-08-13,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,5194.0,3235.37890625,1659.529541015625,7911.298828125
2024-08-14,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,3743.0,2836.72607421875,1478.9515380859375,7160.33154296875
2024-08-15,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,3099.0,2570.2548828125,1201.3603515625,6641.83251953125
2024-08-16,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,2908.0,2386.4033203125,1341.16064453125,6062.6640625
2024-08-17,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,2463.0,2320.18798828125,1092.74072265625,6127.9169921875
2024-08-18,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,2288.0,2255.565185546875,1119.7144775390625,5742.7119140625
2024-08-19,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,2078.0,2281.759765625,1246.66748046875,5697.49560546875
2024-08-20,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1883.0,2118.24365234375,1138.401611328125,5484.1298828125
2024-08-21,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1626.0,2060.1376953125,1157.0931396484375,5354.45654296875
2024-08-22,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1424.0,1937.64404296875,1195.119873046875,5013.73193359375
2024-08-23,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1462.0,1872.8861083984375,1179.8349609375,4711.185546875
2024-08-24,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1294.0,1899.2513427734375,1180.996826171875,4665.72998046875
2024-08-25,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1282.0,1796.31640625,1080.2662353515625,4502.0849609375
2024-08-26,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1293.0,1703.69384765625,939.352783203125,4225.31494140625
2024-08-27,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1217.0,1633.7740478515625,970.9013671875,4148.80859375
2024-08-28,2024_Summer_Olympics_opening_ceremony,Opening ceremony,event,timesfm-multivariate,1993.0,1705.9033203125,1192.247314453125,4009.85009765625
