date,article,label,role,mode,actual,forecast,q10,q90
2025-04-29,Pope_Francis,Pope Francis,person,timesfm-multivariate,115925.0,119015.140625,87270.515625,161820.8125
2025-04-30,Pope_Francis,Pope Francis,person,timesfm-multivariate,81835.0,87201.453125,51343.8359375,144337.8125
2025-05-01,Pope_Francis,Pope Francis,person,timesfm-multivariate,65611.0,68860.03125,32314.0859375,131777.546875
2025-05-02,Pope_Francis,Pope Francis,person,timesfm-multivariate,59359.0,59950.15625,27314.890625,124670.296875
2025-05-03,Pope_Francis,Pope Francis,person,timesfm-multivariate,59015.0,54589.8984375,24345.947265625,118282.765625
2025-05-04,Pope_Francis,Pope Francis,person,timesfm-multivariate,62069.0,52791.7421875,24968.47265625,115069.453125
2025-05-05,Pope_Francis,Pope Francis,person,timesfm-multivariate,56367.0,50909.078125,26002.736328125,111875.96875
2025-05-06,Pope_Francis,Pope Francis,person,timesfm-multivariate,54763.0,47303.2265625,26244.92578125,105796.125
2025-05-07,Pope_Francis,Pope Francis,person,timesfm-multivariate,127075.0,40994.484375,21398.767578125,96853.609375
2025-05-08,Pope_Francis,Pope Francis,person,timesfm-multivariate,1048386.0,36911.453125,22018.55078125,92051.7890625
2025-05-09,Pope_Francis,Pope Francis,person,timesfm-multivariate,551902.0,36488.64453125,20674.9921875,90388.796875
2025-05-10,Pope_Francis,Pope Francis,person,timesfm-multivariate,208703.0,35183.41015625,19743.40234375,89663.7265625
2025-05-11,Pope_Francis,Pope Francis,person,timesfm-multivariate,139203.0,36993.90234375,20728.216796875,90878.046875
2025-05-12,Pope_Francis,Pope Francis,person,timesfm-multivariate,93628.0,37220.58203125,21209.099609375,90675.8125
2025-05-13,Pope_Francis,Pope Francis,person,timesfm-multivariate,64982.0,33544.6796875,20827.0546875,86417.328125
2025-05-14,Pope_Francis,Pope Francis,person,timesfm-multivariate,50881.0,31927.890625,19176.060546875,81515.6484375
2025-05-15,Pope_Francis,Pope Francis,person,timesfm-multivariate,40288.0,29394.181640625,18220.197265625,79650.984375
2025-05-16,Pope_Francis,Pope Francis,person,timesfm-multivariate,36900.0,26099.068359375,15040.4052734375,76884.875
2025-05-17,Pope_Francis,Pope Francis,person,timesfm-multivariate,32001.0,29819.21875,17959.4609375,83605.421875
2025-05-18,Pope_Francis,Pope Francis,person,timesfm-multivariate,39929.0,35252.3125,22295.5078125,87871.546875
2025-05-19,Pope_Francis,Pope Francis,person,timesfm-multivariate,31062.0,34811.3046875,20045.80078125,89297.1640625
2025-05-20,Pope_Francis,Pope Francis,person,timesfm-multivariate,23530.0,29101.017578125,14111.0859375,83400.765625
2025-05-21,Pope_Francis,Pope Francis,person,timesfm-multivariate,21102.0,24680.98046875,12431.94140625,77924.8828125
2025-05-22,Pope_Francis,Pope Francis,person,timesfm-multivariate,18906.0,22512.259765625,10070.734375,73946.6328125
2025-05-23,Pope_Francis,Pope Francis,person,timesfm-multivariate,17485.0,23553.720703125,10273.310546875,75025.296875
2025-05-24,Pope_Francis,Pope Francis,person,timesfm-multivariate,17425.0,24099.0078125,10526.56640625,76516.234375
2025-05-25,Pope_Francis,Pope Francis,person,timesfm-multivariate,17343.0,25220.73828125,10309.306640625,74949.984375
2025-05-26,Pope_Francis,Pope Francis,person,timesfm-multivariate,16641.0,26525.62109375,13712.6552734375,72155.15625
2025-05-27,Pope_Francis,Pope Francis,person,timesfm-multivariate,14684.0,23997.779296875,12630.98046875,65393.546875
2025-05-28,Pope_Francis,Pope Francis,person,timesfm-multivariate,13438.0,20482.201171875,9345.080078125,57189.67578125
2025-04-29,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,38999.0,48836.40625,15613.4404296875,69428.0234375
2025-04-30,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,30884.0,37234.515625,3563.40771484375,80080.8828125
2025-05-01,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,26944.0,31100.587890625,570.4873046875,83387.046875
2025-05-02,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,25333.0,25515.7734375,597.7733154296875,84600.3984375
2025-05-03,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,27692.0,21681.109375,1417.271728515625,89000.6015625
2025-05-04,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,32189.0,19287.16015625,437.0925903320313,94121.21875
2025-05-05,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,40765.0,16549.1640625,0.0,96534.890625
2025-05-06,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,48994.0,14298.55859375,0.0,96424.40625
2025-05-07,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,161016.0,12484.1162109375,0.0,94629.9921875
2025-05-08,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,597815.0,10522.134765625,0.0,93552.34375
2025-05-09,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,179044.0,8890.41015625,0.0,91488.5
2025-05-10,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,54978.0,7938.97900390625,0.0,89505.921875
2025-05-11,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,38024.0,7181.875,0.0,87601.4609375
2025-05-12,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,32170.0,5893.19921875,0.0,81955.1875
2025-05-13,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,23363.0,5057.986328125,0.0,75435.1484375
2025-05-14,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,17691.0,4584.0908203125,0.0,68530.6640625
2025-05-15,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,13080.0,3659.135498046875,0.0,59452.296875
2025-05-16,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,11119.0,2718.9287109375,0.0,53130.3828125
2025-05-17,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,9044.0,2429.36474609375,0.0,49779.859375
2025-05-18,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,11143.0,2392.607421875,0.0,46523.3046875
2025-05-19,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,9342.0,2160.3427734375,0.0,44933.5546875
2025-05-20,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,6301.0,1815.932373046875,0.0,44015.984375
2025-05-21,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,5073.0,1483.57177734375,0.0,43078.2578125
2025-05-22,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,4721.0,1491.285888671875,0.0,41542.203125
2025-05-23,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,4270.0,1432.87060546875,0.0,40849.296875
2025-05-24,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,4553.0,1327.3201904296875,0.0,39496.6015625
2025-05-25,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,4398.0,1013.862060546875,0.0,37822.1953125
2025-05-26,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,4018.0,932.3648681640624,0.0,35676.7578125
2025-05-27,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,3544.0,682.4072875976562,0.0,35319.8828125
2025-05-28,2025_papal_conclave,2025 conclave,event,timesfm-multivariate,3203.0,502.676025390625,0.0,35764.6953125
2025-04-29,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,0.0,0.0054567754268646,0.0,2.2556262016296387
2025-04-30,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,0.0,0.0019444674253463,0.0,2.3668432235717773
2025-05-01,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,0.0,0.0022356361150741,0.0,2.355808973312378
2025-05-02,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,0.0,0.0,0.0,2.3222086429595947
2025-05-03,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,1.0,0.0,0.0,2.248882293701172
2025-05-04,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,0.0,0.0,0.0,2.1792855262756348
2025-05-05,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,0.0,0.0,0.0,2.0918502807617188
2025-05-06,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,1.0,0.000390812754631,0.0,2.0215349197387695
2025-05-07,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,5.0,0.0018917918205261,0.0,1.971231698989868
2025-05-08,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,7538267.0,0.0007977485656738,0.0,1.8971788883209229
2025-05-09,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,2965427.0,0.0064764767885208,0.0,1.8465255498886108
2025-05-10,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,932628.0,0.0042207986116409,0.0,1.8192754983901975
2025-05-11,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,533224.0,0.0048142224550247,0.0,1.817421317100525
2025-05-12,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,365510.0,0.0063646286725997,0.0,1.8035593032836912
2025-05-13,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,247342.0,0.0076813399791717,0.0,1.817007541656494
2025-05-14,Pope_Leo_XIV,Pope Leo XIV,person,timesfm-multivariate,179005.0,0.0076231211423873,0.0,1.8084930181503296
