date,article,label,role,mode,actual,forecast,q10,q90
2015-08-22,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,122703.0,112783.546875,91979.109375,171924.0625
2015-08-23,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,131174.0,108517.0625,73054.96875,195103.15625
2015-08-24,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,123080.0,106967.640625,59520.73046875,214626.0
2015-08-25,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,84530.0,106939.078125,52033.90625,234313.3125
2015-08-26,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,84563.0,107012.2890625,46518.9140625,251034.03125
2015-08-27,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,73614.0,106494.484375,42181.5859375,264120.875
2015-08-28,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,80256.0,105917.8046875,38656.6328125,277618.25
2015-08-29,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,100597.0,103774.0546875,36391.45703125,288440.71875
2015-08-30,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,117183.0,104526.4921875,36781.515625,303433.4375
2015-08-31,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,117673.0,101760.3359375,36181.015625,312427.34375
2015-09-01,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,82672.0,99138.265625,34702.203125,321561.65625
2015-09-02,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,78331.0,96056.125,32219.75,330157.65625
2015-09-03,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,73319.0,94171.515625,33295.2109375,336382.90625
2015-09-04,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,71834.0,91216.3671875,29785.74609375,347427.15625
2015-09-05,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,83947.0,87845.421875,26290.470703125,358131.375
2015-09-06,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,91329.0,86101.2421875,26677.669921875,366264.28125
2015-09-07,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,86748.0,84153.21875,28656.02734375,375677.34375
2015-09-08,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,70698.0,82955.1953125,28320.220703125,384335.0
2015-09-09,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,56131.0,83300.8984375,24887.625,395922.21875
2015-09-10,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,49525.0,82062.6796875,24931.083984375,402071.125
2015-09-11,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,48171.0,80559.84375,23166.52734375,405363.625
2015-09-12,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,55197.0,78384.5,20485.921875,408419.40625
2015-09-13,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,58855.0,74769.25,19237.53125,406192.96875
2015-09-14,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,44577.0,69972.3125,10858.359375,406240.5625
2015-09-15,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,36610.0,67086.8125,9233.72265625,408295.90625
2015-09-16,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,34541.0,65443.75390625,10944.5234375,407122.15625
2015-09-17,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,30673.0,63805.74609375,7324.421875,410847.46875
2015-09-18,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,32293.0,62091.55078125,7410.21875,415264.15625
2015-09-19,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,36689.0,62628.78125,5998.7265625,423508.15625
2015-09-20,Straight_Outta_Compton_(2015_film),Straight Outta Compton,event,timesfm-multivariate,39412.0,61963.88671875,5080.859375,433501.28125
2015-08-22,N.W.A,N.W.A,organization,timesfm-multivariate,103133.0,98826.90625,80107.09375,140181.75
2015-08-23,N.W.A,N.W.A,organization,timesfm-multivariate,106733.0,97456.1640625,66438.6171875,158360.8125
2015-08-24,N.W.A,N.W.A,organization,timesfm-multivariate,91197.0,99173.859375,57157.62109375,174550.78125
2015-08-25,N.W.A,N.W.A,organization,timesfm-multivariate,67750.0,99650.28125,50405.40234375,188856.1875
2015-08-26,N.W.A,N.W.A,organization,timesfm-multivariate,73978.0,100705.765625,46643.60546875,202463.03125
2015-08-27,N.W.A,N.W.A,organization,timesfm-multivariate,59198.0,101283.09375,42356.3515625,214239.390625
2015-08-28,N.W.A,N.W.A,organization,timesfm-multivariate,70013.0,100434.390625,39433.484375,222982.78125
2015-08-29,N.W.A,N.W.A,organization,timesfm-multivariate,94183.0,97091.5859375,35677.5390625,229485.9375
2015-08-30,N.W.A,N.W.A,organization,timesfm-multivariate,109179.0,95478.9921875,34213.0,238066.828125
2015-08-31,N.W.A,N.W.A,organization,timesfm-multivariate,100822.0,95788.53125,35169.2578125,246007.015625
2015-09-01,N.W.A,N.W.A,organization,timesfm-multivariate,72581.0,94750.6875,34016.2734375,253472.828125
2015-09-02,N.W.A,N.W.A,organization,timesfm-multivariate,71979.0,91873.734375,31557.24609375,258790.609375
2015-09-03,N.W.A,N.W.A,organization,timesfm-multivariate,70747.0,88952.671875,30399.875,261387.984375
2015-09-04,N.W.A,N.W.A,organization,timesfm-multivariate,67151.0,88151.8984375,29149.759765625,270763.84375
2015-09-05,N.W.A,N.W.A,organization,timesfm-multivariate,79101.0,87451.390625,28699.85546875,280693.875
2015-09-06,N.W.A,N.W.A,organization,timesfm-multivariate,82931.0,86245.203125,27846.708984375,288342.84375
2015-09-07,N.W.A,N.W.A,organization,timesfm-multivariate,78812.0,85396.40625,27921.61328125,299049.28125
2015-09-08,N.W.A,N.W.A,organization,timesfm-multivariate,62640.0,84082.5,25409.861328125,307573.375
2015-09-09,N.W.A,N.W.A,organization,timesfm-multivariate,51896.0,84991.59375,24697.0703125,315078.9375
2015-09-10,N.W.A,N.W.A,organization,timesfm-multivariate,49970.0,84514.8203125,21842.09765625,323543.75
2015-09-11,N.W.A,N.W.A,organization,timesfm-multivariate,44916.0,81140.0625,26111.357421875,316198.125
2015-09-12,N.W.A,N.W.A,organization,timesfm-multivariate,50332.0,77148.7421875,23718.654296875,314456.125
2015-09-13,N.W.A,N.W.A,organization,timesfm-multivariate,53538.0,72591.703125,18201.19921875,313493.625
2015-09-14,N.W.A,N.W.A,organization,timesfm-multivariate,40056.0,67311.6640625,15501.11328125,306423.53125
2015-09-15,N.W.A,N.W.A,organization,timesfm-multivariate,33627.0,63441.41015625,12514.05078125,304930.8125
2015-09-16,N.W.A,N.W.A,organization,timesfm-multivariate,33555.0,61302.67578125,12721.95703125,301755.5
2015-09-17,N.W.A,N.W.A,organization,timesfm-multivariate,29403.0,59531.3828125,10174.74609375,303893.875
2015-09-18,N.W.A,N.W.A,organization,timesfm-multivariate,29560.0,57665.5546875,9038.4375,307468.78125
2015-09-19,N.W.A,N.W.A,organization,timesfm-multivariate,33672.0,56870.6171875,8365.48046875,312471.25
2015-09-20,N.W.A,N.W.A,organization,timesfm-multivariate,34679.0,55763.359375,9421.125,318013.5625
2015-08-22,Dr._Dre,Dr. Dre,person,timesfm-multivariate,129060.0,108921.46875,81509.5234375,154325.875
2015-08-23,Dr._Dre,Dr. Dre,person,timesfm-multivariate,125083.0,101304.375,61293.41015625,165772.8125
2015-08-24,Dr._Dre,Dr. Dre,person,timesfm-multivariate,103130.0,95907.875,50288.609375,179814.40625
2015-08-25,Dr._Dre,Dr. Dre,person,timesfm-multivariate,73319.0,91716.0546875,45053.7578125,195155.21875
2015-08-26,Dr._Dre,Dr. Dre,person,timesfm-multivariate,71254.0,89843.453125,41495.1796875,211552.25
2015-08-27,Dr._Dre,Dr. Dre,person,timesfm-multivariate,60987.0,87177.359375,37664.90625,224976.5
2015-08-28,Dr._Dre,Dr. Dre,person,timesfm-multivariate,66698.0,85011.484375,34139.25390625,234971.0
2015-08-29,Dr._Dre,Dr. Dre,person,timesfm-multivariate,97752.0,82238.734375,31564.037109375,240470.6875
2015-08-30,Dr._Dre,Dr. Dre,person,timesfm-multivariate,121445.0,80150.90625,28898.92578125,243724.75
2015-08-31,Dr._Dre,Dr. Dre,person,timesfm-multivariate,111702.0,76798.1484375,25867.25,240255.46875
2015-09-01,Dr._Dre,Dr. Dre,person,timesfm-multivariate,79221.0,75055.8046875,23902.607421875,239806.3125
2015-09-02,Dr._Dre,Dr. Dre,person,timesfm-multivariate,77900.0,73385.234375,22290.673828125,239744.28125
2015-09-03,Dr._Dre,Dr. Dre,person,timesfm-multivariate,72732.0,71559.21875,23715.466796875,235439.15625
2015-09-04,Dr._Dre,Dr. Dre,person,timesfm-multivariate,72528.0,69181.8828125,17117.193359375,241142.0625
2015-09-05,Dr._Dre,Dr. Dre,person,timesfm-multivariate,91651.0,69958.5625,17958.431640625,247340.59375
2015-09-06,Dr._Dre,Dr. Dre,person,timesfm-multivariate,101402.0,69538.6796875,16903.85546875,252098.03125
