date,article,label,role,mode,actual,forecast,q10,q90
2025-02-17,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,14489.0,16062.177734375,13463.169921875,18911.6796875
2025-02-18,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,11922.0,12724.2587890625,10174.2783203125,15605.697265625
2025-02-19,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,10964.0,10419.2900390625,8113.82958984375,13387.806640625
2025-02-20,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,9262.0,9132.25,6885.07177734375,12217.54296875
2025-02-21,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,8079.0,8083.27734375,6266.3291015625,10939.28125
2025-02-22,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,7181.0,7135.45458984375,5527.97998046875,10162.6572265625
2025-02-23,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,7017.0,6892.42236328125,5339.30419921875,10073.0888671875
2025-02-24,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,7163.0,6972.4267578125,5288.22265625,10464.0283203125
2025-02-25,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,6377.0,6115.564453125,4323.47412109375,9171.7763671875
2025-02-26,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,5924.0,5186.5048828125,3805.17626953125,8139.40966796875
2025-02-27,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,5406.0,5095.97802734375,3727.05029296875,7644.99755859375
2025-02-28,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,5002.0,4825.99267578125,3379.73779296875,7406.287109375
2025-03-01,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4539.0,4394.9013671875,4141.4658203125,5470.96826171875
2025-03-02,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4549.0,4549.1337890625,3074.94482421875,7221.5029296875
2025-03-03,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,5472.0,4640.3037109375,3075.1337890625,7426.26904296875
2025-03-04,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4827.0,4096.70849609375,2664.4638671875,6551.11279296875
2025-03-05,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4521.0,3599.8427734375,2364.60498046875,5721.63525390625
2025-03-06,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4030.0,3324.58349609375,1901.107421875,5453.154296875
2025-03-07,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4158.0,3533.0732421875,2061.4365234375,5740.513671875
2025-03-08,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,3883.0,3789.201171875,2310.5859375,5723.39208984375
2025-03-09,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,3795.0,4017.53173828125,2146.3466796875,5844.7216796875
2025-03-10,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4932.0,3943.4990234375,1580.154296875,6010.73046875
2025-03-11,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4473.0,3446.43017578125,1354.2587890625,5744.70361328125
2025-03-12,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4645.0,3463.75537109375,1601.478515625,5123.4833984375
2025-03-13,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4134.0,3100.224609375,768.67578125,4979.30615234375
2025-03-14,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,3943.0,2905.91357421875,350.9921875,5294.75244140625
2025-03-15,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,3725.0,2731.10498046875,509.904296875,4498.50244140625
2025-03-16,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4426.0,2676.8671875,682.3798828125,4529.9931640625
2025-03-17,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,3790.0,2861.9873046875,555.2236328125,4902.12353515625
2025-03-18,Super_Bowl_LIX,Super Bowl LIX,event,timesfm-multivariate,4338.0,2626.5322265625,292.158203125,4497.794921875
2025-02-17,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,89526.0,117658.34375,96782.0,147082.15625
2025-02-18,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,74769.0,101502.953125,73799.15625,143823.53125
2025-02-19,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,61789.0,84902.359375,51348.96484375,146778.484375
2025-02-20,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,52142.0,78792.3671875,48280.6328125,150524.34375
2025-02-21,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,47965.0,73180.890625,45113.9375,157429.484375
2025-02-22,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,42880.0,69853.890625,42817.2734375,161381.1875
2025-02-23,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,40961.0,63805.6015625,37405.51171875,160358.71875
2025-02-24,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,35445.0,59973.5546875,35725.22265625,156702.234375
2025-02-25,Kendrick_Lamar,Kendrick Lamar,person,timesfm-multivariate,33334.0,57951.765625,33185.796875,153348.203125
