date,article,label,role,mode,actual,forecast,q10,q90
2024-04-16,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,7145.0,12060.912109375,8144.33203125,17049.9296875
2024-04-17,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,5859.0,11149.67578125,6925.27685546875,16441.25390625
2024-04-18,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,5251.0,11466.5439453125,6285.58056640625,17978.64453125
2024-04-19,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,4793.0,11595.609375,6491.2177734375,19019.8984375
2024-04-20,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,5460.0,11048.048828125,6322.24072265625,18317.9296875
2024-04-21,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,4462.0,10223.6337890625,5961.21435546875,17372.578125
2024-04-22,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,4968.0,10024.97265625,5930.9443359375,16849.90625
2024-04-23,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,4457.0,8648.9560546875,4761.80419921875,15442.494140625
2024-04-24,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,3829.0,8720.6884765625,4408.68505859375,15538.1240234375
2024-04-25,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2855.0,8112.56640625,4226.4091796875,15212.2099609375
2024-04-26,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2715.0,7699.0732421875,3530.51171875,14366.412109375
2024-04-27,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2419.0,7425.9541015625,3482.56640625,13984.1689453125
2024-04-28,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2364.0,6638.52490234375,2434.0146484375,12357.828125
2024-04-29,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2535.0,6821.984375,2773.22314453125,12701.3623046875
2024-04-30,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2251.0,6147.5703125,1919.404296875,11906.716796875
2024-05-01,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2230.0,5944.7060546875,1662.79541015625,11732.4931640625
2024-05-02,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2216.0,5123.17822265625,311.96875,11398.9453125
2024-05-03,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2698.0,4764.58642578125,657.84765625,10477.041015625
2024-05-04,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2095.0,4525.9853515625,335.876953125,10580.779296875
2024-05-05,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1950.0,4479.83544921875,0.0,10760.263671875
2024-05-06,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,2056.0,4234.02978515625,0.0,10260.3076171875
2024-05-07,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1941.0,3964.22998046875,0.0,9718.5810546875
2024-05-08,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1796.0,3603.02197265625,0.0,8945.33203125
2024-05-09,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1431.0,3547.43115234375,0.0,8875.5419921875
2024-05-10,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1338.0,3416.58984375,0.0,8773.806640625
2024-05-11,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1621.0,3292.7060546875,0.0,8368.4345703125
2024-05-12,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1300.0,3095.13330078125,0.0,8528.0537109375
2024-05-13,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,1112.0,2870.40673828125,0.0,7943.255859375
2024-05-14,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,803.0,2866.06494140625,0.0,8629.63671875
2024-05-15,"Solar_eclipse_of_April_8,_2024",2024 eclipse,event,timesfm-multivariate,730.0,2428.5888671875,0.0,7380.6044921875
2024-04-16,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,17710.0,15214.94921875,12532.65234375,18827.54296875
2024-04-17,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,13162.0,13330.6318359375,10331.55078125,17872.171875
2024-04-18,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,11666.0,12185.5283203125,8960.48828125,17277.541015625
2024-04-19,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,10075.0,10536.779296875,7505.56884765625,15602.3115234375
2024-04-20,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,21291.0,8824.216796875,6173.1142578125,13768.9296875
2024-04-21,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,10600.0,7827.6865234375,5200.8154296875,12860.3232421875
2024-04-22,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,13307.0,7913.822265625,5278.05908203125,12934.845703125
2024-04-23,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,12779.0,7832.25048828125,5214.6025390625,13082.8125
2024-04-24,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,8166.0,7042.74365234375,4360.4951171875,12216.564453125
2024-04-25,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,6063.0,6393.45703125,4003.827880859375,11210.509765625
2024-04-26,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,5120.0,5672.16796875,3282.941650390625,10138.064453125
2024-04-27,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4450.0,4983.1123046875,2792.9404296875,9162.15625
2024-04-28,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4102.0,4658.9814453125,2857.273681640625,8239.119140625
2024-04-29,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4805.0,4751.3251953125,2720.511474609375,8430.7763671875
2024-04-30,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4130.0,4710.740234375,2913.488037109375,8222.181640625
2024-05-01,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4306.0,4419.82763671875,2607.431396484375,7661.486328125
2024-05-02,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4377.0,3952.267333984375,2469.54541015625,6977.8857421875
2024-05-03,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4069.0,3628.72119140625,2378.63232421875,6302.5458984375
2024-05-04,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,3773.0,3259.06640625,2064.577392578125,6019.78125
2024-05-05,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,3585.0,3332.63818359375,2152.341796875,5860.01416015625
2024-05-06,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,4307.0,3605.171875,2001.8173828125,6382.78955078125
2024-05-07,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,3931.0,3439.09130859375,1623.967529296875,6247.568359375
2024-05-08,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,3371.0,2911.221923828125,1392.4140625,5655.50927734375
2024-05-09,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2878.0,3012.39013671875,1092.44384765625,5673.7255859375
2024-05-10,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2196.0,2915.392578125,980.01611328125,5647.671875
2024-05-11,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2262.0,2486.20654296875,679.90234375,4975.35400390625
2024-05-12,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2352.0,2423.7060546875,446.20068359375,4915.62890625
2024-05-13,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2401.0,2541.080078125,925.916015625,4648.22265625
2024-05-14,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2473.0,2482.330810546875,860.1630859375,4678.208984375
2024-05-15,Solar_eclipse,Solar eclipse,idea,timesfm-multivariate,2095.0,2401.200439453125,541.64404296875,4769.3720703125
2024-04-16,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,2.57334566116333,0.2785012722015381,7.333342552185059
2024-04-17,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,2.176013946533203,0.0,8.518369674682617
2024-04-18,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,4.0,1.8943771123886108,0.0,9.226555824279783
2024-04-19,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,2.0,1.569200038909912,0.0,9.558255195617676
2024-04-20,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,2.0,1.3241175413131714,0.0,10.221953392028809
2024-04-21,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,1.0,1.0740617513656616,0.0,10.636473655700684
2024-04-22,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,3.0,1.016701579093933,0.0,11.04436492919922
2024-04-23,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.8846188187599182,0.0,11.21743106842041
2024-04-24,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.7515625953674316,0.0,11.196030616760254
2024-04-25,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.6651208996772766,0.0,11.370089530944824
2024-04-26,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,2.0,0.4635037779808044,0.0,11.04905128479004
2024-04-27,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.3231545090675354,0.0,10.745595932006836
2024-04-28,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.2318205833435058,0.0,10.740534782409668
2024-04-29,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.2672066688537597,0.0,10.204252243041992
2024-04-30,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.2114222049713134,0.0,9.684476852416992
2024-05-01,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,3.0,0.1434439420700073,0.0,9.065656661987305
2024-05-02,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0393404960632324,0.0,8.194585800170898
2024-05-03,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0,0.0,7.318485736846924
2024-05-04,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,1.0,0.0,0.0,7.276602268218994
2024-05-05,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0,0.0,6.97066593170166
2024-05-06,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0,0.0,6.854377269744873
2024-05-07,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0,0.0,6.758307456970215
2024-05-08,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0,0.0,6.860939979553223
2024-05-09,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,0.0,0.0,0.0,6.566226959228516
2024-05-10,Eclipse_glasses,Eclipse glasses,object,timesfm-multivariate,1.0,0.0,0.0,6.516754150390625
