date,article,label,role,mode,actual,forecast,q10,q90
2024-11-13,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,278936.0,312248.375,256877.53125,436308.4375
2024-11-14,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,235413.0,270287.53125,209144.59375,427460.46875
2024-11-15,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,205229.0,238556.46875,176489.40625,409199.71875
2024-11-16,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,185592.0,211375.9375,147710.921875,389961.40625
2024-11-17,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,176994.0,204759.5,136851.59375,395016.9375
2024-11-18,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,176035.0,202296.03125,127740.859375,405196.25
2024-11-19,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,178740.0,197789.625,116655.890625,412422.90625
2024-11-20,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,167828.0,193721.40625,111152.1796875,416579.1875
2024-11-21,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,153200.0,174554.6875,95394.0703125,404461.84375
2024-11-22,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,154677.0,157798.3125,82576.3984375,388743.0
2024-11-23,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,143306.0,141754.3125,67401.296875,372383.03125
2024-11-24,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,134493.0,138217.96875,67142.4921875,371868.78125
2024-11-25,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,130605.0,142420.8125,71461.1796875,376914.5
2024-11-26,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,125419.0,142347.734375,67253.625,387536.78125
2024-11-27,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,128335.0,132610.03125,61435.8203125,377165.59375
2024-11-28,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,112798.0,122782.6171875,56667.828125,356860.34375
2024-11-29,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,103361.0,110312.0859375,50736.42578125,341779.21875
2024-11-30,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,95486.0,97784.5,41738.59375,323220.625
2024-12-01,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,91119.0,103843.59375,48795.15625,330802.96875
2024-12-02,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,98823.0,115260.078125,58993.0703125,339795.21875
2024-12-03,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,100617.0,116909.28125,57895.3515625,343132.0625
2024-12-04,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,101039.0,111444.421875,54646.41796875,334907.8125
2024-12-05,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,85939.0,102546.5546875,55571.33203125,313629.75
2024-12-06,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,77589.0,92284.84375,48820.11328125,293205.40625
2024-12-07,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,69525.0,88478.796875,49826.90625,285389.0
2024-12-08,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,65749.0,92128.9375,54095.60546875,290107.21875
2024-12-09,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,68238.0,99216.15625,59053.65234375,296528.71875
2024-12-10,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,63900.0,97434.46875,63988.890625,289385.03125
2024-12-11,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,60969.0,95611.671875,62323.1328125,289058.28125
2024-12-12,2024_United_States_presidential_election,2024 election,event,timesfm-multivariate,61808.0,90009.46875,57704.61328125,280176.375
2024-11-13,Donald_Trump,Donald Trump,person,timesfm-multivariate,217703.0,212481.0,171682.28125,274647.375
2024-11-14,Donald_Trump,Donald Trump,person,timesfm-multivariate,184443.0,185842.25,134976.0625,285724.375
2024-11-15,Donald_Trump,Donald Trump,person,timesfm-multivariate,151978.0,165668.875,111375.53125,297071.4375
2024-11-16,Donald_Trump,Donald Trump,person,timesfm-multivariate,126257.0,152208.15625,96215.453125,308068.125
2024-11-17,Donald_Trump,Donald Trump,person,timesfm-multivariate,125335.0,147107.9375,94237.140625,327687.8125
2024-11-18,Donald_Trump,Donald Trump,person,timesfm-multivariate,116289.0,138898.859375,85986.1875,333010.5625
2024-11-19,Donald_Trump,Donald Trump,person,timesfm-multivariate,106566.0,127338.9765625,75428.1953125,328307.3125
2024-11-20,Donald_Trump,Donald Trump,person,timesfm-multivariate,106988.0,126340.609375,77065.3984375,319796.84375
2024-11-21,Donald_Trump,Donald Trump,person,timesfm-multivariate,94043.0,115183.84375,67686.9609375,298288.9375
2024-11-22,Donald_Trump,Donald Trump,person,timesfm-multivariate,87300.0,104472.1796875,62737.98046875,265612.65625
2024-11-23,Donald_Trump,Donald Trump,person,timesfm-multivariate,80103.0,94482.7734375,54332.6875,244749.078125
2024-11-24,Donald_Trump,Donald Trump,person,timesfm-multivariate,74111.0,90002.0,52234.3984375,233177.078125
2024-11-25,Donald_Trump,Donald Trump,person,timesfm-multivariate,72854.0,86578.859375,51139.3984375,226736.359375
2024-11-26,Donald_Trump,Donald Trump,person,timesfm-multivariate,73226.0,89804.671875,52491.6953125,233126.28125
2024-11-27,Donald_Trump,Donald Trump,person,timesfm-multivariate,69587.0,86626.7109375,50942.7890625,226396.765625
2024-11-28,Donald_Trump,Donald Trump,person,timesfm-multivariate,61216.0,81494.1875,47549.828125,214153.78125
2024-11-29,Donald_Trump,Donald Trump,person,timesfm-multivariate,58639.0,74150.6875,44206.2109375,203021.390625
2024-11-30,Donald_Trump,Donald Trump,person,timesfm-multivariate,57385.0,65070.4140625,37395.1796875,187066.875
2024-12-01,Donald_Trump,Donald Trump,person,timesfm-multivariate,61078.0,63977.48046875,37993.3515625,184525.953125
2024-12-02,Donald_Trump,Donald Trump,person,timesfm-multivariate,65403.0,69290.265625,42184.29296875,185284.65625
2024-12-03,Donald_Trump,Donald Trump,person,timesfm-multivariate,57055.0,72483.21875,43387.18359375,190379.359375
2024-12-04,Donald_Trump,Donald Trump,person,timesfm-multivariate,52550.0,73998.59375,43175.24609375,190778.9375
2024-12-05,Donald_Trump,Donald Trump,person,timesfm-multivariate,51787.0,68628.8046875,40571.94140625,180934.15625
2024-12-06,Donald_Trump,Donald Trump,person,timesfm-multivariate,52997.0,61867.02734375,39169.8125,167929.21875
2024-12-07,Donald_Trump,Donald Trump,person,timesfm-multivariate,52111.0,59391.453125,38262.34765625,163641.65625
2024-12-08,Donald_Trump,Donald Trump,person,timesfm-multivariate,53631.0,57459.171875,36349.4765625,161632.28125
2024-12-09,Donald_Trump,Donald Trump,person,timesfm-multivariate,55449.0,58708.90625,38171.6953125,160402.09375
2024-12-10,Donald_Trump,Donald Trump,person,timesfm-multivariate,50766.0,60134.203125,41673.9609375,160939.046875
2024-12-11,Donald_Trump,Donald Trump,person,timesfm-multivariate,49807.0,62824.50390625,42653.1171875,164555.390625
2024-12-12,Donald_Trump,Donald Trump,person,timesfm-multivariate,55364.0,58508.83984375,38812.703125,157891.3125
2024-11-13,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,60308.0,67566.859375,58424.50390625,87813.09375
2024-11-14,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,52432.0,63615.7421875,52155.98046875,91766.75
2024-11-15,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,42672.0,62560.1875,48514.2265625,97023.578125
2024-11-16,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,34072.0,62635.67578125,45669.4140625,101958.75
2024-11-17,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,33196.0,61036.0625,42752.66796875,103674.09375
2024-11-18,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,30425.0,60513.38671875,40735.453125,106184.0078125
2024-11-19,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,27531.0,61003.25390625,41240.9140625,109259.3671875
2024-11-20,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,25398.0,61800.6015625,42198.28125,111177.453125
2024-11-21,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,23379.0,60083.1015625,40656.7734375,111175.84375
2024-11-22,Kamala_Harris,Kamala Harris,person,timesfm-multivariate,22309.0,59511.09375,40073.8671875,112818.7890625
