date,article,label,role,mode,actual,forecast,q10,q90
2022-12-26,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,9722.0,9933.1884765625,8327.76171875,12528.15625
2022-12-27,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,6785.0,8668.9365234375,6387.9189453125,12225.8359375
2022-12-28,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,6644.0,7343.791015625,4511.6943359375,12009.1162109375
2022-12-29,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,6195.0,6816.22314453125,3495.14599609375,12490.2802734375
2022-12-30,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,6063.0,6253.34814453125,2754.119873046875,12916.9111328125
2022-12-31,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,5613.0,5808.8955078125,2119.3662109375,13277.806640625
2023-01-01,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4994.0,5504.64599609375,1693.035400390625,13636.9423828125
2023-01-02,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4813.0,5315.12548828125,1482.5625,13772.2705078125
2023-01-03,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4854.0,5091.2705078125,1216.40869140625,13801.6689453125
2023-01-04,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4798.0,4740.5322265625,914.3906860351562,13473.2197265625
2023-01-05,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4284.0,4369.76171875,611.3349609375,13246.9912109375
2023-01-06,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4309.0,4204.7841796875,553.775146484375,13258.447265625
2023-01-07,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4484.0,4013.439697265625,411.9183349609375,13150.3564453125
2023-01-08,2022_FIFA_World_Cup_final,World Cup final,event,timesfm-multivariate,4038.0,3714.54345703125,265.9161682128906,13429.001953125
