date,Barbenheimer,Barbie_(film),Oppenheimer_(film),Margot_Robbie,Cillian_Murphy,J._Robert_Oppenheimer,Manhattan_Project
2022-02-24,0.0,1.0,13935.0,8613.0,14050.0,18619.0,6463.0
2022-02-25,0.0,0.0,10350.0,8549.0,14348.0,13662.0,6966.0
2022-02-26,0.0,0.0,12929.0,11339.0,15903.0,12580.0,5684.0
2022-02-27,0.0,0.0,11363.0,12027.0,26840.0,12277.0,6621.0
2022-02-28,0.0,0.0,8957.0,9575.0,24321.0,11795.0,7471.0
2022-03-01,0.0,0.0,8220.0,8730.0,17393.0,10642.0,6429.0
2022-03-02,0.0,1.0,8514.0,9104.0,15817.0,9556.0,5941.0
2022-03-03,0.0,0.0,8490.0,13462.0,15887.0,9139.0,5925.0
2022-03-04,0.0,0.0,8600.0,10301.0,17614.0,9732.0,7633.0
2022-03-05,0.0,2.0,9526.0,11800.0,18060.0,8991.0,5119.0
2022-03-06,0.0,1.0,10866.0,11302.0,32124.0,9928.0,5240.0
2022-03-07,0.0,1.0,10030.0,9476.0,25588.0,9981.0,5623.0
2022-03-08,0.0,0.0,9217.0,8488.0,19542.0,8316.0,5218.0
2022-03-09,0.0,0.0,10006.0,8066.0,18528.0,8539.0,5799.0
2022-03-10,0.0,0.0,18098.0,8559.0,17348.0,12174.0,6323.0
2022-03-11,0.0,0.0,24265.0,9415.0,17561.0,15030.0,8210.0
2022-03-12,0.0,0.0,19644.0,14344.0,19493.0,11717.0,5953.0
2022-03-13,0.0,0.0,15142.0,14766.0,23812.0,9554.0,4982.0
2022-03-14,0.0,0.0,11604.0,9900.0,18668.0,8301.0,4910.0
2022-03-15,0.0,0.0,9965.0,10140.0,15628.0,7389.0,4718.0
2022-03-16,0.0,0.0,10623.0,8496.0,15992.0,7453.0,4720.0
2022-03-17,0.0,0.0,11262.0,8358.0,15489.0,8142.0,4571.0
2022-03-18,0.0,0.0,10214.0,8429.0,15397.0,7408.0,4073.0
2022-03-19,0.0,0.0,9804.0,9744.0,15640.0,7562.0,4529.0
2022-03-20,0.0,2.0,10747.0,9629.0,22417.0,10070.0,5373.0
2022-03-21,0.0,0.0,9478.0,9364.0,18666.0,12812.0,5239.0
2022-03-22,0.0,32.0,9355.0,8173.0,15774.0,13760.0,5575.0
2022-03-23,0.0,325.0,9581.0,9009.0,14707.0,13459.0,5340.0
2022-03-24,0.0,322.0,8423.0,8736.0,13631.0,11458.0,4788.0
2022-03-25,0.0,288.0,7547.0,8287.0,13616.0,10287.0,4407.0
2022-03-26,0.0,368.0,7971.0,11419.0,14245.0,8940.0,3612.0
2022-03-27,0.0,2120.0,9227.0,11340.0,19598.0,10588.0,4137.0
2022-03-28,0.0,2951.0,9060.0,16463.0,15717.0,10101.0,4292.0
2022-03-29,0.0,2891.0,7997.0,13115.0,13264.0,9172.0,4063.0
2022-03-30,0.0,4733.0,7923.0,12529.0,13054.0,8207.0,4048.0
2022-03-31,0.0,4308.0,7227.0,11811.0,12515.0,7003.0,4065.0
2022-04-01,0.0,3957.0,9133.0,10986.0,12869.0,7420.0,3775.0
2022-04-02,0.0,4728.0,10513.0,12258.0,14885.0,7348.0,3282.0
2022-04-03,0.0,3963.0,10110.0,11696.0,25473.0,7787.0,3821.0
2022-04-04,0.0,2359.0,9677.0,9380.0,25839.0,7259.0,4211.0
2022-04-05,0.0,1938.0,8640.0,9266.0,18784.0,6649.0,4015.0
2022-04-06,0.0,2444.0,8790.0,8768.0,15336.0,6645.0,3799.0
2022-04-07,0.0,2411.0,7725.0,9102.0,13796.0,5951.0,3833.0
2022-04-08,0.0,2440.0,7903.0,9710.0,13834.0,5652.0,3534.0
2022-04-09,0.0,3136.0,8608.0,12493.0,15286.0,5411.0,2964.0
2022-04-10,0.0,3610.0,8730.0,13244.0,15601.0,5519.0,3232.0
2022-04-11,0.0,4030.0,8476.0,10676.0,17330.0,6298.0,3651.0
2022-04-12,0.0,6787.0,7453.0,12428.0,15617.0,5943.0,3776.0
