date,Chandrayaan-3,Indian_Space_Research_Organisation,Moon_landing,Lunar_south_pole,Vikram_(spacecraft)
2022-03-29,281.0,2273.0,1644.0,77.0,0.0
2022-03-30,266.0,2132.0,1753.0,1171.0,3.0
2022-03-31,310.0,2292.0,1671.0,243.0,2.0
2022-04-01,207.0,2108.0,1614.0,108.0,0.0
2022-04-02,262.0,2358.0,1600.0,72.0,2.0
2022-04-03,260.0,2547.0,1741.0,100.0,1.0
2022-04-04,212.0,2144.0,1901.0,110.0,0.0
2022-04-05,234.0,2231.0,1812.0,75.0,2.0
2022-04-06,224.0,2088.0,1722.0,108.0,2.0
2022-04-07,231.0,2133.0,1720.0,65.0,0.0
2022-04-08,239.0,2013.0,1744.0,87.0,1.0
2022-04-09,224.0,2017.0,1532.0,80.0,0.0
2022-04-10,263.0,2106.0,1750.0,404.0,0.0
2022-04-11,233.0,2047.0,2116.0,201.0,5.0
2022-04-12,196.0,2012.0,2210.0,128.0,1.0
2022-04-13,235.0,1866.0,2263.0,128.0,2.0
2022-04-14,186.0,1823.0,1966.0,97.0,1.0
2022-04-15,165.0,1617.0,1762.0,82.0,1.0
2022-04-16,228.0,1670.0,8039.0,111.0,5.0
2022-04-17,227.0,1647.0,2391.0,95.0,2.0
2022-04-18,235.0,1889.0,1977.0,99.0,1.0
2022-04-19,233.0,2000.0,1863.0,134.0,1.0
2022-04-20,257.0,1860.0,1674.0,102.0,1.0
2022-04-21,245.0,1961.0,2432.0,106.0,0.0
2022-04-22,220.0,1999.0,1702.0,97.0,2.0
2022-04-23,246.0,1689.0,1507.0,85.0,0.0
2022-04-24,239.0,2050.0,1735.0,63.0,6.0
2022-04-25,309.0,2104.0,1834.0,105.0,3.0
2022-04-26,328.0,1991.0,1907.0,104.0,1.0
2022-04-27,358.0,1752.0,1875.0,109.0,2.0
2022-04-28,241.0,1929.0,2115.0,68.0,1.0
2022-04-29,294.0,1811.0,1740.0,89.0,1.0
2022-04-30,221.0,1659.0,1547.0,79.0,0.0
2022-05-01,213.0,1652.0,1786.0,76.0,0.0
2022-05-02,252.0,1643.0,2014.0,96.0,3.0
2022-05-03,282.0,1830.0,1751.0,117.0,3.0
2022-05-04,244.0,1768.0,1724.0,90.0,1.0
2022-05-05,261.0,2040.0,1772.0,84.0,1.0
2022-05-06,284.0,1799.0,1614.0,64.0,2.0
2022-05-07,234.0,1978.0,1648.0,73.0,0.0
2022-05-08,242.0,1770.0,1669.0,79.0,1.0
2022-05-09,245.0,2273.0,1766.0,67.0,2.0
2022-05-10,264.0,2307.0,1629.0,78.0,4.0
2022-05-11,232.0,1924.0,1707.0,72.0,1.0
2022-05-12,280.0,1838.0,1720.0,84.0,3.0
2022-05-13,270.0,1934.0,1762.0,96.0,5.0
2022-05-14,252.0,1891.0,1761.0,95.0,1.0
2022-05-15,260.0,1919.0,1817.0,113.0,2.0
