date,ChatGPT,OpenAI,GPT-3,Artificial_intelligence,Sam_Altman
2021-07-06,0.0,1404.0,2613.0,6188.0,463.0
2021-07-07,0.0,1113.0,2179.0,6331.0,481.0
2021-07-08,0.0,1259.0,2300.0,5987.0,508.0
2021-07-09,0.0,1005.0,2033.0,5968.0,414.0
2021-07-10,0.0,974.0,1399.0,5056.0,335.0
2021-07-11,0.0,1060.0,1535.0,4988.0,359.0
2021-07-12,0.0,1298.0,1968.0,9438.0,475.0
2021-07-13,0.0,1241.0,1864.0,13979.0,467.0
2021-07-14,0.0,1180.0,2038.0,13439.0,461.0
2021-07-15,0.0,1326.0,2048.0,12576.0,522.0
2021-07-16,0.0,1089.0,1776.0,11783.0,510.0
2021-07-17,0.0,1112.0,1322.0,10393.0,461.0
2021-07-18,0.0,1042.0,1472.0,8257.0,455.0
2021-07-19,0.0,1101.0,1848.0,12502.0,454.0
2021-07-20,0.0,1294.0,2071.0,12774.0,467.0
2021-07-21,0.0,1148.0,1846.0,13481.0,385.0
2021-07-22,0.0,1283.0,1793.0,15042.0,391.0
2021-07-23,0.0,1192.0,2121.0,12689.0,328.0
2021-07-24,0.0,919.0,1319.0,10581.0,284.0
2021-07-25,0.0,982.0,1515.0,10009.0,346.0
2021-07-26,0.0,1149.0,1909.0,15058.0,353.0
2021-07-27,0.0,1088.0,1876.0,13445.0,338.0
2021-07-28,0.0,1079.0,1869.0,12511.0,363.0
2021-07-29,0.0,1225.0,1802.0,12067.0,356.0
2021-07-30,0.0,1055.0,1709.0,11121.0,305.0
2021-07-31,0.0,952.0,1142.0,8217.0,307.0
2021-08-01,0.0,865.0,1166.0,9188.0,276.0
2021-08-02,0.0,1014.0,1520.0,9692.0,344.0
2021-08-03,0.0,1087.0,1447.0,12574.0,356.0
2021-08-04,0.0,938.0,1596.0,12606.0,327.0
2021-08-05,0.0,1002.0,1644.0,13039.0,310.0
2021-08-06,0.0,950.0,1627.0,12712.0,373.0
2021-08-07,0.0,982.0,1159.0,12073.0,385.0
2021-08-08,0.0,1038.0,1399.0,11242.0,331.0
2021-08-09,0.0,1055.0,1735.0,13970.0,413.0
2021-08-10,0.0,1396.0,1997.0,13080.0,491.0
2021-08-11,0.0,1448.0,2003.0,12821.0,472.0
2021-08-12,0.0,1550.0,1903.0,12236.0,451.0
2021-08-13,0.0,1214.0,1758.0,11858.0,363.0
2021-08-14,0.0,1072.0,1266.0,10327.0,274.0
2021-08-15,0.0,964.0,1206.0,9650.0,287.0
2021-08-16,0.0,1162.0,1484.0,12168.0,362.0
2021-08-17,0.0,1229.0,1720.0,13086.0,384.0
2021-08-18,0.0,1115.0,1755.0,12555.0,336.0
2021-08-19,0.0,1204.0,1717.0,12471.0,365.0
2021-08-20,0.0,1511.0,1807.0,12116.0,318.0
2021-08-21,0.0,1298.0,1708.0,10908.0,378.0
2021-08-22,0.0,1235.0,2064.0,9831.0,350.0
2021-08-23,0.0,1477.0,2822.0,13922.0,400.0
2021-08-24,0.0,1446.0,2645.0,11138.0,405.0
