date,Deadpool_&_Wolverine,Ryan_Reynolds,Hugh_Jackman,Wolverine_(character),Marvel_Cinematic_Universe
2023-03-02,0.0,17729.0,6917.0,1701.0,17537.0
2023-03-03,0.0,18635.0,7046.0,1742.0,17314.0
2023-03-04,0.0,22942.0,7908.0,1917.0,19944.0
2023-03-05,0.0,27997.0,8421.0,2177.0,24536.0
2023-03-06,0.0,22336.0,7409.0,2081.0,17217.0
2023-03-07,0.0,20523.0,8997.0,1895.0,15488.0
2023-03-08,0.0,20650.0,9053.0,1865.0,17288.0
2023-03-09,0.0,19849.0,6961.0,1697.0,17020.0
2023-03-10,0.0,20698.0,7701.0,1957.0,16634.0
2023-03-11,0.0,20970.0,8168.0,1823.0,20300.0
2023-03-12,0.0,22327.0,7618.0,1903.0,22338.0
2023-03-13,0.0,17444.0,6900.0,1662.0,18724.0
2023-03-14,0.0,16539.0,6099.0,1595.0,16146.0
2023-03-15,0.0,45884.0,6068.0,1550.0,14229.0
2023-03-16,0.0,63371.0,6297.0,1495.0,14031.0
2023-03-17,0.0,35143.0,6818.0,1624.0,13516.0
2023-03-18,0.0,31223.0,7506.0,1867.0,13035.0
2023-03-19,0.0,29745.0,7544.0,1981.0,12960.0
2023-03-20,0.0,23506.0,6769.0,1730.0,13161.0
2023-03-21,0.0,22055.0,5926.0,1581.0,14405.0
2023-03-22,0.0,18442.0,5208.0,1549.0,14027.0
2023-03-23,0.0,19439.0,5794.0,1596.0,12995.0
2023-03-24,0.0,18586.0,5917.0,1879.0,13451.0
2023-03-25,0.0,27388.0,6509.0,1632.0,17105.0
2023-03-26,0.0,34594.0,7059.0,1665.0,19371.0
2023-03-27,0.0,30071.0,5611.0,1558.0,15364.0
2023-03-28,0.0,28994.0,5408.0,1781.0,14923.0
2023-03-29,0.0,24526.0,5709.0,1579.0,14126.0
2023-03-30,0.0,22406.0,5281.0,1649.0,13625.0
2023-03-31,0.0,25979.0,5155.0,1709.0,13171.0
2023-04-01,0.0,25187.0,6361.0,1809.0,15074.0
2023-04-02,0.0,26698.0,6751.0,1955.0,16450.0
2023-04-03,0.0,23541.0,5582.0,1834.0,18054.0
2023-04-04,0.0,20237.0,11484.0,1833.0,13866.0
2023-04-05,0.0,22167.0,8568.0,1723.0,13235.0
2023-04-06,0.0,23102.0,8736.0,1780.0,13704.0
2023-04-07,0.0,23107.0,8514.0,1794.0,15818.0
2023-04-08,0.0,30074.0,8090.0,1812.0,16325.0
2023-04-09,0.0,29716.0,12170.0,2022.0,16905.0
2023-04-10,0.0,46878.0,8187.0,2279.0,15589.0
2023-04-11,0.0,49087.0,10946.0,2052.0,17218.0
2023-04-12,0.0,32393.0,10141.0,2149.0,15382.0
2023-04-13,0.0,26349.0,8064.0,2171.0,13501.0
2023-04-14,0.0,25816.0,7148.0,2233.0,13547.0
2023-04-15,0.0,24541.0,7796.0,1760.0,13367.0
2023-04-16,0.0,25659.0,7853.0,2024.0,15047.0
2023-04-17,0.0,22227.0,6527.0,1797.0,18009.0
2023-04-18,0.0,23333.0,5899.0,1754.0,14802.0
2023-04-19,0.0,23389.0,6406.0,2048.0,14420.0
2023-04-20,0.0,27619.0,6361.0,1892.0,14129.0
2023-04-21,0.0,61646.0,5798.0,2003.0,15458.0
2023-04-22,0.0,95888.0,6894.0,2084.0,17824.0
2023-04-23,0.0,113425.0,7464.0,2206.0,18426.0
2023-04-24,0.0,78945.0,5716.0,1986.0,14512.0
2023-04-25,0.0,42776.0,5760.0,1985.0,12415.0
2023-04-26,0.0,34988.0,5063.0,1964.0,11821.0
2023-04-27,0.0,29162.0,18197.0,2016.0,12203.0
2023-04-28,0.0,32159.0,6833.0,1924.0,13388.0
2023-04-29,0.0,36163.0,7119.0,2115.0,15430.0
2023-04-30,0.0,37280.0,7584.0,2080.0,17443.0
2023-05-01,0.0,33992.0,7667.0,2016.0,16255.0
2023-05-02,0.0,39275.0,8649.0,2390.0,14327.0
2023-05-03,0.0,34300.0,6348.0,1717.0,15565.0
2023-05-04,0.0,25399.0,5645.0,1907.0,17544.0
2023-05-05,0.0,25441.0,5415.0,1814.0,21811.0
2023-05-06,0.0,25545.0,6390.0,1683.0,25108.0
2023-05-07,0.0,26467.0,6638.0,1772.0,28159.0
2023-05-08,0.0,31164.0,5738.0,1775.0,25869.0
2023-05-09,0.0,22668.0,4942.0,1803.0,20453.0
2023-05-10,0.0,21086.0,4797.0,1652.0,18507.0
2023-05-11,0.0,20447.0,4936.0,1689.0,16576.0
2023-05-12,0.0,21385.0,5296.0,1711.0,15619.0
2023-05-13,0.0,24141.0,6148.0,1785.0,17477.0
2023-05-14,0.0,26446.0,6951.0,1700.0,20230.0
2023-05-15,0.0,20153.0,5482.0,1595.0,17088.0
2023-05-16,0.0,19087.0,5045.0,1617.0,16646.0
2023-05-17,0.0,18595.0,4755.0,1715.0,20948.0
2023-05-18,0.0,16610.0,4756.0,1663.0,19721.0
2023-05-19,0.0,19513.0,5322.0,1611.0,18904.0
2023-05-20,0.0,18397.0,6364.0,1649.0,20369.0
2023-05-21,0.0,19490.0,9328.0,1912.0,21422.0
2023-05-22,0.0,16892.0,8838.0,1737.0,19935.0
2023-05-23,0.0,15685.0,8674.0,1641.0,16991.0
2023-05-24,0.0,16901.0,8596.0,1732.0,16125.0
2023-05-25,0.0,17750.0,7874.0,1966.0,16204.0
2023-05-26,0.0,19967.0,7837.0,1869.0,16616.0
2023-05-27,0.0,20109.0,10206.0,1905.0,18629.0
2023-05-28,0.0,25305.0,10436.0,1950.0,19918.0
2023-05-29,0.0,21196.0,9826.0,2077.0,19813.0
2023-05-30,0.0,18457.0,7487.0,1822.0,17078.0
2023-05-31,0.0,17676.0,6719.0,1784.0,14848.0
2023-06-01,0.0,16023.0,6566.0,1735.0,17134.0
2023-06-02,0.0,15917.0,6317.0,1928.0,14540.0
2023-06-03,0.0,18766.0,7277.0,2173.0,15538.0
2023-06-04,0.0,19079.0,7748.0,2146.0,17191.0
2023-06-05,0.0,16773.0,6141.0,2101.0,14659.0
2023-06-06,0.0,15660.0,5873.0,2116.0,14929.0
2023-06-07,0.0,15055.0,5849.0,1902.0,14628.0
2023-06-08,0.0,15418.0,5638.0,1646.0,13018.0
2023-06-09,0.0,16951.0,6201.0,1746.0,12861.0
2023-06-10,0.0,20092.0,7475.0,1803.0,14221.0
2023-06-11,0.0,20260.0,7819.0,1943.0,16581.0
2023-06-12,0.0,16802.0,6523.0,1842.0,13648.0
2023-06-13,0.0,15064.0,5598.0,1885.0,17448.0
2023-06-14,0.0,15587.0,5850.0,4578.0,18407.0
2023-06-15,0.0,17434.0,5697.0,2801.0,14794.0
2023-06-16,0.0,21565.0,5761.0,2506.0,14947.0
2023-06-17,0.0,18735.0,6706.0,2329.0,15862.0
2023-06-18,0.0,20561.0,6732.0,2258.0,17762.0
2023-06-19,0.0,19739.0,5880.0,2165.0,15572.0
2023-06-20,0.0,16713.0,5766.0,2390.0,17042.0
2023-06-21,0.0,17587.0,5649.0,2219.0,19908.0
2023-06-22,0.0,16434.0,5314.0,1925.0,16530.0
2023-06-23,0.0,17233.0,6168.0,1978.0,15750.0
2023-06-24,0.0,18452.0,6368.0,2075.0,15840.0
2023-06-25,0.0,20082.0,7021.0,2313.0,18299.0
2023-06-26,0.0,28707.0,6555.0,2161.0,15761.0
2023-06-27,0.0,23471.0,6621.0,2120.0,15152.0
2023-06-28,0.0,19221.0,6577.0,2038.0,14933.0
