date,2021_Suez_Canal_obstruction,Ever_Given,Suez_Canal,Container_ship,Supply_chain
2019-10-28,0.0,0.0,2782.0,728.0,1012.0
2019-10-29,0.0,0.0,3067.0,766.0,980.0
2019-10-30,0.0,0.0,3114.0,808.0,1033.0
2019-10-31,0.0,0.0,2733.0,673.0,977.0
2019-11-01,0.0,0.0,2674.0,672.0,790.0
2019-11-02,0.0,0.0,2725.0,595.0,669.0
2019-11-03,0.0,0.0,3194.0,614.0,749.0
2019-11-04,0.0,0.0,3368.0,828.0,1033.0
2019-11-05,0.0,0.0,2935.0,835.0,1126.0
2019-11-06,0.0,0.0,2835.0,788.0,1098.0
2019-11-07,0.0,0.0,2871.0,745.0,1028.0
2019-11-08,0.0,0.0,2528.0,715.0,963.0
2019-11-09,0.0,0.0,2492.0,593.0,648.0
2019-11-10,0.0,0.0,2593.0,606.0,651.0
2019-11-11,0.0,0.0,3702.0,828.0,1130.0
2019-11-12,0.0,0.0,3522.0,892.0,1392.0
2019-11-13,0.0,0.0,3489.0,778.0,1459.0
2019-11-14,0.0,0.0,3158.0,857.0,1342.0
2019-11-15,0.0,0.0,3066.0,712.0,909.0
2019-11-16,0.0,0.0,3284.0,546.0,618.0
2019-11-17,0.0,0.0,7733.0,687.0,777.0
2019-11-18,0.0,0.0,5281.0,830.0,1056.0
2019-11-19,0.0,0.0,4061.0,860.0,1140.0
2019-11-20,0.0,0.0,4005.0,896.0,1190.0
2019-11-21,0.0,0.0,3718.0,753.0,1052.0
2019-11-22,0.0,0.0,3587.0,654.0,966.0
2019-11-23,0.0,0.0,3570.0,530.0,623.0
2019-11-24,0.0,0.0,3927.0,695.0,695.0
2019-11-25,0.0,0.0,3805.0,814.0,1029.0
2019-11-26,0.0,0.0,3555.0,830.0,1109.0
2019-11-27,0.0,0.0,3322.0,729.0,957.0
2019-11-28,0.0,0.0,3510.0,693.0,953.0
2019-11-29,0.0,0.0,3023.0,708.0,824.0
2019-11-30,0.0,0.0,3185.0,585.0,579.0
2019-12-01,0.0,0.0,3653.0,692.0,637.0
2019-12-02,0.0,0.0,3637.0,825.0,1106.0
2019-12-03,0.0,0.0,3558.0,793.0,1326.0
2019-12-04,0.0,0.0,3245.0,768.0,1221.0
2019-12-05,0.0,0.0,3452.0,699.0,1072.0
2019-12-06,0.0,0.0,3115.0,658.0,844.0
2019-12-07,0.0,0.0,2850.0,544.0,631.0
2019-12-08,0.0,0.0,3047.0,592.0,682.0
2019-12-09,0.0,0.0,3350.0,765.0,1002.0
2019-12-10,0.0,0.0,3290.0,799.0,1057.0
2019-12-11,0.0,0.0,3367.0,857.0,1015.0
2019-12-12,0.0,0.0,3126.0,722.0,931.0
2019-12-13,0.0,0.0,2917.0,658.0,833.0
2019-12-14,0.0,0.0,3067.0,566.0,546.0
2019-12-15,0.0,0.0,4083.0,582.0,575.0
2019-12-16,0.0,0.0,3736.0,707.0,892.0
2019-12-17,0.0,0.0,3558.0,795.0,1127.0
2019-12-18,0.0,0.0,3034.0,744.0,1126.0
2019-12-19,0.0,0.0,2731.0,657.0,841.0
2019-12-20,0.0,0.0,2325.0,565.0,675.0
2019-12-21,0.0,0.0,2414.0,463.0,377.0
2019-12-22,0.0,0.0,2364.0,443.0,420.0
2019-12-23,0.0,0.0,2492.0,566.0,523.0
2019-12-24,0.0,0.0,2447.0,511.0,492.0
2019-12-25,0.0,0.0,2465.0,446.0,377.0
2019-12-26,0.0,0.0,2795.0,554.0,539.0
2019-12-27,0.0,0.0,2913.0,656.0,527.0
2019-12-28,0.0,0.0,2795.0,519.0,425.0
2019-12-29,0.0,0.0,3031.0,514.0,357.0
2019-12-30,0.0,0.0,3186.0,594.0,592.0
2019-12-31,0.0,0.0,2789.0,552.0,476.0
2020-01-01,0.0,0.0,3095.0,522.0,443.0
2020-01-02,0.0,0.0,3348.0,736.0,679.0
2020-01-03,0.0,0.0,3949.0,700.0,618.0
2020-01-04,0.0,0.0,3882.0,544.0,440.0
2020-01-05,0.0,0.0,3729.0,625.0,478.0
2020-01-06,0.0,0.0,3799.0,648.0,950.0
2020-01-07,0.0,0.0,3870.0,742.0,978.0
2020-01-08,0.0,0.0,4364.0,737.0,1022.0
2020-01-09,0.0,0.0,4028.0,788.0,1019.0
2020-01-10,0.0,0.0,3428.0,767.0,866.0
2020-01-11,0.0,0.0,3212.0,570.0,507.0
2020-01-12,0.0,0.0,3482.0,686.0,585.0
2020-01-13,0.0,0.0,3474.0,727.0,1098.0
2020-01-14,0.0,0.0,3324.0,841.0,1042.0
2020-01-15,0.0,0.0,3423.0,849.0,1048.0
2020-01-16,0.0,0.0,3682.0,799.0,1072.0
2020-01-17,0.0,0.0,3254.0,714.0,919.0
2020-01-18,0.0,0.0,3081.0,574.0,629.0
2020-01-19,0.0,0.0,3325.0,633.0,645.0
2020-01-20,0.0,0.0,3261.0,810.0,1051.0
2020-01-21,0.0,0.0,3442.0,765.0,1139.0
2020-01-22,0.0,0.0,3193.0,830.0,1238.0
2020-01-23,0.0,0.0,3307.0,699.0,1095.0
2020-01-24,0.0,0.0,3094.0,673.0,958.0
2020-01-25,0.0,0.0,2791.0,578.0,652.0
2020-01-26,0.0,0.0,3102.0,571.0,655.0
2020-01-27,0.0,0.0,3275.0,751.0,1091.0
2020-01-28,0.0,0.0,3285.0,682.0,1131.0
2020-01-29,0.0,0.0,3369.0,846.0,1158.0
2020-01-30,0.0,0.0,3006.0,735.0,1188.0
2020-01-31,0.0,0.0,2652.0,679.0,855.0
2020-02-01,0.0,0.0,2602.0,541.0,545.0
2020-02-02,0.0,0.0,2954.0,654.0,654.0
2020-02-03,0.0,0.0,2813.0,729.0,1109.0
2020-02-04,0.0,0.0,2932.0,762.0,1189.0
