date,Grand_Theft_Auto_VI,Rockstar_Games,Grand_Theft_Auto_V,Grand_Theft_Auto,Take-Two_Interactive
2022-07-11,40.0,2705.0,4853.0,4184.0,1285.0
2022-07-12,40.0,2515.0,4046.0,4042.0,1137.0
2022-07-13,36.0,2718.0,5029.0,4145.0,1116.0
2022-07-14,39.0,2538.0,4654.0,4128.0,1066.0
2022-07-15,35.0,2540.0,4258.0,4164.0,1143.0
2022-07-16,42.0,2322.0,4075.0,4135.0,1055.0
2022-07-17,42.0,2597.0,4889.0,4666.0,1034.0
2022-07-18,63.0,2449.0,4745.0,4092.0,1094.0
2022-07-19,38.0,2325.0,3969.0,3914.0,1169.0
2022-07-20,39.0,2265.0,3989.0,3906.0,1056.0
2022-07-21,42.0,2436.0,4148.0,4042.0,1071.0
2022-07-22,31.0,2520.0,5205.0,4170.0,1090.0
2022-07-23,41.0,2396.0,4834.0,4251.0,1029.0
2022-07-24,38.0,2553.0,4512.0,4574.0,992.0
2022-07-25,38.0,2602.0,4513.0,4440.0,1105.0
2022-07-26,51.0,2535.0,4302.0,4139.0,1081.0
2022-07-27,106.0,4232.0,7623.0,7046.0,1602.0
2022-07-28,118.0,4426.0,9213.0,7698.0,1661.0
2022-07-29,84.0,3528.0,7606.0,6142.0,1427.0
2022-07-30,53.0,3033.0,7063.0,5626.0,1004.0
2022-07-31,63.0,2934.0,6992.0,5369.0,1058.0
2022-08-01,63.0,2940.0,6600.0,5078.0,1235.0
2022-08-02,57.0,2688.0,5523.0,4562.0,1207.0
2022-08-03,55.0,2544.0,4874.0,4388.0,1221.0
2022-08-04,47.0,2674.0,5402.0,4445.0,1200.0
2022-08-05,36.0,2475.0,6347.0,4326.0,1137.0
2022-08-06,42.0,2507.0,6087.0,4582.0,1042.0
2022-08-07,37.0,2477.0,6237.0,4711.0,917.0
2022-08-08,55.0,2630.0,5878.0,4432.0,1395.0
2022-08-09,26.0,2803.0,5529.0,4707.0,1740.0
2022-08-10,47.0,2654.0,4766.0,4380.0,1487.0
2022-08-11,51.0,2607.0,4607.0,4191.0,1181.0
2022-08-12,39.0,2493.0,4422.0,4466.0,1198.0
2022-08-13,60.0,2315.0,4689.0,4429.0,1035.0
2022-08-14,34.0,2329.0,4718.0,4553.0,1000.0
2022-08-15,92.0,2550.0,4867.0,4248.0,1518.0
2022-08-16,40.0,2495.0,5599.0,3982.0,1587.0
2022-08-17,39.0,2288.0,5538.0,4076.0,1173.0
2022-08-18,36.0,2564.0,5687.0,4099.0,1327.0
2022-08-19,46.0,2321.0,5596.0,4193.0,1107.0
2022-08-20,36.0,2001.0,4786.0,4184.0,1000.0
2022-08-21,40.0,2526.0,4873.0,4692.0,1073.0
