date,Inside_Out_2,Inside_Out_(2015_film),Pixar,Anxiety,Amy_Poehler
2023-01-19,271.0,2243.0,3136.0,1461.0,3883.0
2023-01-20,280.0,2451.0,3128.0,1392.0,3580.0
2023-01-21,282.0,2677.0,3583.0,1177.0,4293.0
2023-01-22,381.0,2754.0,3696.0,1403.0,14523.0
2023-01-23,307.0,2540.0,3407.0,1499.0,8605.0
2023-01-24,267.0,2411.0,3388.0,1433.0,5953.0
2023-01-25,228.0,2481.0,3300.0,1432.0,4911.0
2023-01-26,222.0,2334.0,3251.0,1561.0,4768.0
2023-01-27,275.0,2514.0,3340.0,1395.0,4478.0
2023-01-28,249.0,2944.0,3335.0,1443.0,5323.0
2023-01-29,259.0,3241.0,3696.0,1513.0,5995.0
2023-01-30,258.0,2517.0,3202.0,1468.0,5575.0
2023-01-31,215.0,2417.0,3088.0,1441.0,5299.0
2023-02-01,206.0,2257.0,3018.0,1472.0,5502.0
2023-02-02,232.0,2308.0,3245.0,1407.0,4873.0
2023-02-03,228.0,2295.0,4060.0,1378.0,4786.0
2023-02-04,269.0,2482.0,3789.0,1161.0,5502.0
2023-02-05,271.0,3152.0,3700.0,1244.0,6145.0
2023-02-06,243.0,2354.0,3244.0,1429.0,4539.0
2023-02-07,224.0,2680.0,2913.0,1355.0,4141.0
2023-02-08,266.0,2421.0,3385.0,1376.0,3953.0
2023-02-09,451.0,2912.0,6202.0,1394.0,3946.0
2023-02-10,323.0,2908.0,4156.0,1289.0,3862.0
2023-02-11,274.0,2747.0,3862.0,1307.0,4429.0
2023-02-12,293.0,3035.0,3753.0,1365.0,5019.0
2023-02-13,261.0,2557.0,3668.0,1466.0,4427.0
2023-02-14,260.0,2434.0,3315.0,1388.0,5852.0
2023-02-15,234.0,2636.0,3301.0,1581.0,4306.0
2023-02-16,222.0,2406.0,3128.0,1902.0,4050.0
2023-02-17,250.0,2882.0,3352.0,1500.0,4384.0
2023-02-18,288.0,2996.0,3715.0,1446.0,5206.0
2023-02-19,289.0,2908.0,3954.0,1434.0,5802.0
2023-02-20,268.0,2698.0,3584.0,1528.0,4550.0
2023-02-21,238.0,2583.0,3067.0,1647.0,4123.0
2023-02-22,231.0,2536.0,3354.0,1959.0,3991.0
2023-02-23,234.0,2471.0,3188.0,1781.0,3880.0
2023-02-24,223.0,2502.0,3296.0,2261.0,3943.0
2023-02-25,384.0,2675.0,3599.0,1459.0,4603.0
2023-02-26,350.0,2840.0,3858.0,1519.0,5242.0
2023-02-27,286.0,2703.0,3343.0,1748.0,7620.0
2023-02-28,291.0,2432.0,3198.0,1651.0,5894.0
2023-03-01,254.0,2350.0,3008.0,1586.0,4529.0
2023-03-02,250.0,2449.0,3220.0,1777.0,4214.0
2023-03-03,258.0,2565.0,3103.0,1715.0,3996.0
2023-03-04,257.0,2614.0,3222.0,1375.0,4531.0
2023-03-05,306.0,2661.0,3412.0,1437.0,5956.0
2023-03-06,250.0,2521.0,3434.0,1574.0,4602.0
