date,James_Webb_Space_Telescope,NASA,Hubble_Space_Telescope,Webb's_First_Deep_Field,Carina_Nebula
2021-02-15,2756.0,4084.0,1985.0,0.0,212.0
2021-02-16,1999.0,3984.0,1808.0,0.0,173.0
2021-02-17,2027.0,4294.0,1853.0,0.0,171.0
2021-02-18,4966.0,13869.0,3068.0,0.0,190.0
2021-02-19,4395.0,14243.0,2855.0,0.0,165.0
2021-02-20,3115.0,8963.0,2340.0,0.0,169.0
2021-02-21,2580.0,6748.0,2260.0,0.0,191.0
2021-02-22,2718.0,7428.0,2475.0,0.0,174.0
2021-02-23,3256.0,7953.0,2728.0,0.0,162.0
2021-02-24,2831.0,6629.0,2612.0,0.0,186.0
2021-02-25,2783.0,6189.0,2408.0,0.0,171.0
2021-02-26,2657.0,5389.0,2462.0,0.0,198.0
2021-02-27,2324.0,4922.0,2743.0,0.0,173.0
2021-02-28,2583.0,5099.0,2488.0,0.0,171.0
2021-03-01,3053.0,5321.0,2606.0,0.0,192.0
2021-03-02,5404.0,5305.0,2573.0,0.0,176.0
2021-03-03,3232.0,4923.0,2450.0,0.0,152.0
2021-03-04,2895.0,5064.0,2450.0,0.0,161.0
2021-03-05,2639.0,4755.0,2267.0,0.0,177.0
2021-03-06,2550.0,3981.0,2158.0,0.0,161.0
2021-03-07,2400.0,3975.0,2093.0,0.0,180.0
2021-03-08,2601.0,4715.0,2696.0,0.0,171.0
2021-03-09,2923.0,4504.0,3566.0,0.0,180.0
2021-03-10,2505.0,5226.0,2982.0,0.0,203.0
2021-03-11,2200.0,4533.0,2846.0,0.0,157.0
2021-03-12,2655.0,4935.0,2691.0,0.0,151.0
2021-03-13,2455.0,3776.0,2207.0,0.0,172.0
2021-03-14,2863.0,4073.0,2718.0,0.0,168.0
2021-03-15,3179.0,4037.0,2877.0,0.0,203.0
2021-03-16,2530.0,3864.0,2413.0,0.0,200.0
2021-03-17,2088.0,3919.0,2391.0,0.0,165.0
2021-03-18,2530.0,4416.0,2335.0,0.0,183.0
2021-03-19,2083.0,4478.0,2122.0,0.0,173.0
2021-03-20,2314.0,3816.0,1841.0,0.0,183.0
2021-03-21,2290.0,3987.0,4410.0,0.0,208.0
2021-03-22,2270.0,4561.0,2852.0,0.0,219.0
2021-03-23,3187.0,5347.0,2815.0,0.0,188.0
2021-03-24,3438.0,4198.0,2480.0,0.0,191.0
2021-03-25,3040.0,4127.0,2361.0,0.0,200.0
2021-03-26,2574.0,4537.0,2201.0,0.0,190.0
2021-03-27,2284.0,4789.0,1907.0,0.0,148.0
2021-03-28,2380.0,8187.0,1994.0,0.0,168.0
2021-03-29,2588.0,5749.0,2349.0,0.0,161.0
2021-03-30,2476.0,4617.0,2158.0,0.0,192.0
2021-03-31,2238.0,4121.0,2292.0,0.0,185.0
2021-04-01,1992.0,4293.0,2124.0,0.0,194.0
2021-04-02,1815.0,3894.0,1883.0,0.0,254.0
2021-04-03,3028.0,3810.0,2018.0,0.0,227.0
2021-04-04,3315.0,3841.0,1825.0,0.0,246.0
2021-04-05,4530.0,3884.0,2817.0,0.0,306.0
2021-04-06,3342.0,3994.0,2154.0,0.0,186.0
2021-04-07,3145.0,3974.0,2148.0,0.0,216.0
2021-04-08,6664.0,3958.0,2290.0,0.0,211.0
2021-04-09,3941.0,3732.0,2103.0,0.0,204.0
2021-04-10,2537.0,3512.0,1976.0,0.0,223.0
2021-04-11,2358.0,3775.0,1992.0,0.0,209.0
2021-04-12,2929.0,11320.0,4349.0,0.0,239.0
2021-04-13,2430.0,4325.0,2566.0,0.0,238.0
2021-04-14,2308.0,4394.0,2237.0,0.0,250.0
2021-04-15,2135.0,4394.0,2055.0,0.0,183.0
2021-04-16,1993.0,4167.0,2012.0,0.0,207.0
2021-04-17,2063.0,4801.0,1899.0,0.0,191.0
2021-04-18,2113.0,4087.0,2027.0,0.0,168.0
2021-04-19,2414.0,5546.0,2502.0,0.0,196.0
2021-04-20,2105.0,5211.0,2293.0,0.0,201.0
2021-04-21,2118.0,4703.0,2117.0,0.0,181.0
2021-04-22,2214.0,4864.0,2516.0,0.0,184.0
2021-04-23,2391.0,5753.0,3229.0,0.0,177.0
2021-04-24,2559.0,4872.0,4305.0,0.0,220.0
2021-04-25,2721.0,4287.0,4152.0,0.0,195.0
2021-04-26,2392.0,4871.0,3054.0,0.0,240.0
2021-04-27,2253.0,4683.0,2770.0,0.0,197.0
2021-04-28,2071.0,4674.0,2770.0,0.0,185.0
2021-04-29,2293.0,4969.0,2708.0,0.0,194.0
2021-04-30,2058.0,4456.0,2476.0,0.0,193.0
2021-05-01,2030.0,3773.0,2091.0,0.0,215.0
2021-05-02,2128.0,4515.0,2449.0,0.0,619.0
2021-05-03,2352.0,4700.0,2533.0,0.0,373.0
2021-05-04,2259.0,4359.0,2548.0,0.0,219.0
2021-05-05,2257.0,4223.0,2666.0,0.0,178.0
2021-05-06,2279.0,4173.0,2363.0,0.0,200.0
2021-05-07,2069.0,4005.0,2176.0,0.0,175.0
2021-05-08,1836.0,3962.0,1923.0,0.0,175.0
2021-05-09,1893.0,4853.0,2152.0,0.0,152.0
2021-05-10,1956.0,4536.0,2350.0,0.0,140.0
2021-05-11,2963.0,4190.0,2494.0,0.0,135.0
2021-05-12,5807.0,4021.0,2815.0,0.0,135.0
2021-05-13,4028.0,3851.0,2587.0,0.0,142.0
2021-05-14,2848.0,3719.0,2174.0,0.0,159.0
2021-05-15,2512.0,3714.0,1830.0,0.0,157.0
2021-05-16,2706.0,6830.0,2072.0,0.0,190.0
2021-05-17,2646.0,4267.0,2283.0,0.0,168.0
2021-05-18,2698.0,4010.0,2496.0,0.0,182.0
2021-05-19,2225.0,4455.0,2209.0,0.0,139.0
2021-05-20,2354.0,4091.0,2859.0,0.0,159.0
2021-05-21,2293.0,3570.0,2399.0,0.0,169.0
2021-05-22,2111.0,3145.0,1866.0,0.0,139.0
2021-05-23,2180.0,3306.0,2005.0,0.0,135.0
2021-05-24,2141.0,3577.0,2213.0,0.0,153.0
2021-05-25,2181.0,3783.0,2209.0,0.0,151.0
2021-05-26,2198.0,4512.0,2343.0,0.0,188.0
2021-05-27,2429.0,3600.0,2238.0,0.0,149.0
2021-05-28,2450.0,3412.0,2051.0,0.0,154.0
2021-05-29,2139.0,3104.0,1823.0,0.0,173.0
2021-05-30,2247.0,3298.0,2069.0,0.0,170.0
2021-05-31,2405.0,3277.0,2065.0,0.0,139.0
2021-06-01,3433.0,3479.0,2335.0,0.0,160.0
2021-06-02,4203.0,3780.0,2346.0,0.0,153.0
2021-06-03,3187.0,4035.0,2300.0,0.0,146.0
2021-06-04,2403.0,3367.0,1868.0,0.0,148.0
2021-06-05,1873.0,2960.0,1607.0,0.0,143.0
2021-06-06,2130.0,3200.0,1708.0,0.0,161.0
2021-06-07,2036.0,3327.0,1774.0,0.0,174.0
2021-06-08,2004.0,3220.0,1885.0,0.0,156.0
2021-06-09,1915.0,3112.0,1763.0,0.0,136.0
2021-06-10,1791.0,3401.0,1799.0,0.0,149.0
2021-06-11,1767.0,3048.0,1731.0,0.0,134.0
2021-06-12,1724.0,2924.0,1491.0,0.0,135.0
2021-06-13,1752.0,2939.0,1526.0,0.0,123.0
2021-06-14,1984.0,3103.0,1749.0,0.0,121.0
2021-06-15,1792.0,3083.0,1694.0,0.0,116.0
2021-06-16,2273.0,3126.0,2110.0,0.0,130.0
2021-06-17,2808.0,3267.0,3015.0,0.0,181.0
2021-06-18,2844.0,3106.0,3976.0,0.0,162.0
2021-06-19,3018.0,2916.0,2925.0,0.0,171.0
2021-06-20,3541.0,3104.0,3504.0,0.0,142.0
2021-06-21,3796.0,3073.0,4716.0,0.0,166.0
2021-06-22,3792.0,2907.0,5185.0,0.0,169.0
2021-06-23,3005.0,3132.0,3885.0,0.0,139.0
2021-06-24,4201.0,3122.0,3412.0,0.0,165.0
2021-06-25,3045.0,2828.0,2908.0,0.0,144.0
2021-06-26,2532.0,2646.0,2794.0,0.0,110.0
2021-06-27,2501.0,2698.0,3060.0,0.0,122.0
2021-06-28,2899.0,2748.0,2991.0,0.0,137.0
2021-06-29,2507.0,2811.0,3163.0,0.0,186.0
2021-06-30,2620.0,2893.0,2748.0,0.0,165.0
2021-07-01,3664.0,3041.0,4144.0,0.0,139.0
2021-07-02,3501.0,3009.0,4548.0,0.0,180.0
2021-07-03,2602.0,2999.0,2703.0,0.0,136.0
2021-07-04,2540.0,3029.0,3177.0,0.0,166.0
2021-07-05,2670.0,3214.0,2961.0,0.0,196.0
2021-07-06,2591.0,3329.0,2928.0,0.0,159.0
2021-07-07,3565.0,3357.0,2305.0,0.0,145.0
2021-07-08,2885.0,3118.0,2367.0,0.0,167.0
2021-07-09,2082.0,3018.0,2157.0,0.0,152.0
2021-07-10,2286.0,3247.0,2265.0,0.0,118.0
2021-07-11,2096.0,3663.0,2057.0,0.0,135.0
2021-07-12,1914.0,4228.0,2130.0,0.0,134.0
2021-07-13,2014.0,4095.0,2105.0,0.0,119.0
2021-07-14,2165.0,3551.0,2474.0,0.0,114.0
2021-07-15,3400.0,3442.0,3279.0,0.0,135.0
2021-07-16,5342.0,3260.0,5934.0,0.0,137.0
2021-07-17,5556.0,3276.0,12298.0,0.0,169.0
2021-07-18,3769.0,3328.0,4374.0,0.0,154.0
2021-07-19,4228.0,4123.0,4242.0,0.0,210.0
2021-07-20,3549.0,5697.0,4073.0,0.0,133.0
2021-07-21,2874.0,4648.0,2973.0,0.0,143.0
2021-07-22,2869.0,3967.0,2702.0,0.0,136.0
2021-07-23,2838.0,3636.0,2292.0,0.0,97.0
2021-07-24,2972.0,3236.0,2081.0,0.0,115.0
2021-07-25,3353.0,3134.0,2354.0,0.0,125.0
2021-07-26,2764.0,3322.0,2056.0,0.0,131.0
2021-07-27,2501.0,3525.0,1856.0,0.0,118.0
2021-07-28,2415.0,3346.0,1864.0,0.0,130.0
2021-07-29,2466.0,3822.0,1836.0,0.0,136.0
2021-07-30,2218.0,3849.0,1791.0,0.0,163.0
2021-07-31,1813.0,3044.0,1723.0,0.0,102.0
2021-08-01,1792.0,2887.0,1533.0,0.0,127.0
2021-08-02,2046.0,2982.0,1567.0,0.0,142.0
2021-08-03,2468.0,2954.0,1666.0,0.0,108.0
2021-08-04,2578.0,3058.0,1804.0,0.0,150.0
2021-08-05,2537.0,2928.0,1776.0,0.0,161.0
2021-08-06,2129.0,2776.0,1450.0,0.0,140.0
2021-08-07,2387.0,2613.0,1453.0,0.0,118.0
2021-08-08,2518.0,2919.0,1637.0,0.0,145.0
2021-08-09,2247.0,2994.0,1618.0,0.0,156.0
2021-08-10,2981.0,3175.0,1755.0,0.0,113.0
2021-08-11,2234.0,3084.0,1555.0,0.0,144.0
2021-08-12,2049.0,3077.0,1702.0,0.0,129.0
2021-08-13,2606.0,2889.0,1546.0,0.0,131.0
2021-08-14,2378.0,2560.0,1523.0,0.0,126.0
2021-08-15,2353.0,2621.0,1559.0,0.0,106.0
2021-08-16,2089.0,2933.0,1531.0,0.0,107.0
2021-08-17,2130.0,3041.0,1531.0,0.0,138.0
2021-08-18,2419.0,3098.0,1673.0,0.0,119.0
2021-08-19,2382.0,2983.0,1587.0,0.0,114.0
2021-08-20,2406.0,3698.0,1715.0,0.0,114.0
2021-08-21,2522.0,3423.0,1723.0,0.0,140.0
2021-08-22,2704.0,2847.0,1688.0,0.0,150.0
2021-08-23,2629.0,2928.0,1899.0,0.0,112.0
2021-08-24,2350.0,2902.0,1746.0,0.0,186.0
2021-08-25,2133.0,2920.0,1742.0,0.0,154.0
2021-08-26,4509.0,2917.0,1896.0,0.0,163.0
2021-08-27,6014.0,3091.0,1891.0,0.0,159.0
2021-08-28,3867.0,3344.0,1707.0,0.0,113.0
2021-08-29,3225.0,3780.0,1806.0,0.0,133.0
2021-08-30,6766.0,3239.0,1902.0,0.0,140.0
2021-08-31,5899.0,3003.0,1946.0,0.0,153.0
2021-09-01,3396.0,2885.0,1769.0,0.0,121.0
2021-09-02,2824.0,3139.0,1915.0,0.0,132.0
2021-09-03,3424.0,2742.0,1831.0,0.0,153.0
2021-09-04,3216.0,2589.0,1672.0,0.0,121.0
2021-09-05,2985.0,2550.0,1559.0,0.0,139.0
2021-09-06,2945.0,2843.0,1856.0,0.0,208.0
2021-09-07,3330.0,2928.0,2041.0,0.0,169.0
2021-09-08,7953.0,3195.0,2412.0,0.0,106.0
2021-09-09,7731.0,3026.0,2506.0,0.0,133.0
2021-09-10,4189.0,2865.0,1993.0,0.0,127.0
2021-09-11,2836.0,2601.0,1704.0,0.0,102.0
2021-09-12,2735.0,2741.0,1765.0,0.0,114.0
2021-09-13,2748.0,3054.0,1938.0,0.0,115.0
2021-09-14,2485.0,3169.0,2025.0,0.0,151.0
2021-09-15,2484.0,3443.0,2445.0,0.0,137.0
2021-09-16,3348.0,3903.0,3374.0,0.0,144.0
2021-09-17,2676.0,3369.0,2463.0,0.0,136.0
2021-09-18,2333.0,2823.0,1840.0,0.0,114.0
2021-09-19,2509.0,2954.0,2035.0,0.0,85.0
2021-09-20,2241.0,3039.0,2109.0,0.0,129.0
2021-09-21,2223.0,3330.0,1951.0,0.0,135.0
2021-09-22,2890.0,3926.0,2128.0,0.0,145.0
2021-09-23,3803.0,3273.0,2262.0,0.0,143.0
2021-09-24,3053.0,2994.0,2323.0,0.0,116.0
2021-09-25,2656.0,2903.0,1867.0,0.0,109.0
2021-09-26,2627.0,2898.0,1915.0,0.0,157.0
2021-09-27,3052.0,3166.0,2089.0,0.0,162.0
2021-09-28,5927.0,3553.0,2823.0,0.0,142.0
2021-09-29,5461.0,3588.0,2398.0,0.0,156.0
2021-09-30,4284.0,3385.0,1926.0,0.0,170.0
2021-10-01,11558.0,3412.0,2343.0,0.0,169.0
2021-10-02,8305.0,2921.0,1988.0,0.0,126.0
2021-10-03,7666.0,4014.0,2269.0,0.0,115.0
2021-10-04,6883.0,3363.0,2573.0,0.0,146.0
2021-10-05,5361.0,3097.0,2133.0,0.0,123.0
2021-10-06,4990.0,3383.0,2118.0,0.0,113.0
2021-10-07,4833.0,3092.0,1963.0,0.0,136.0
2021-10-08,5002.0,3055.0,2021.0,0.0,167.0
2021-10-09,3794.0,2798.0,1888.0,0.0,104.0
2021-10-10,3626.0,2934.0,2465.0,0.0,136.0
2021-10-11,4013.0,3478.0,2246.0,0.0,149.0
2021-10-12,5583.0,3173.0,2180.0,0.0,130.0
2021-10-13,8597.0,3501.0,2650.0,0.0,184.0
2021-10-14,5934.0,3116.0,2393.0,0.0,145.0
2021-10-15,5573.0,3044.0,2137.0,0.0,150.0
2021-10-16,6223.0,2927.0,2224.0,0.0,243.0
2021-10-17,5179.0,3033.0,2174.0,0.0,137.0
2021-10-18,6166.0,3373.0,2246.0,0.0,170.0
2021-10-19,6346.0,3291.0,2499.0,0.0,187.0
2021-10-20,5464.0,3142.0,2281.0,0.0,154.0
2021-10-21,5208.0,3341.0,2118.0,0.0,149.0
2021-10-22,5768.0,3083.0,2231.0,0.0,158.0
2021-10-23,4773.0,2743.0,1941.0,0.0,150.0
2021-10-24,4941.0,2717.0,2021.0,0.0,126.0
2021-10-25,5010.0,3290.0,2235.0,0.0,155.0
2021-10-26,4899.0,3485.0,2304.0,0.0,148.0
2021-10-27,4798.0,3456.0,2090.0,0.0,143.0
2021-10-28,4594.0,3148.0,2105.0,0.0,130.0
2021-10-29,3960.0,3241.0,1973.0,0.0,133.0
2021-10-30,3554.0,2711.0,1912.0,0.0,126.0
2021-10-31,5412.0,2788.0,2065.0,0.0,130.0
2021-11-01,5686.0,3005.0,2220.0,0.0,171.0
2021-11-02,6713.0,3044.0,2802.0,0.0,183.0
2021-11-03,6814.0,2931.0,3235.0,0.0,185.0
2021-11-04,6030.0,2780.0,2777.0,0.0,167.0
2021-11-05,5821.0,3101.0,2323.0,0.0,133.0
2021-11-06,6306.0,2489.0,2229.0,0.0,139.0
2021-11-07,6332.0,2834.0,3593.0,0.0,115.0
2021-11-08,8968.0,3449.0,3165.0,0.0,176.0
2021-11-09,9344.0,3692.0,3135.0,0.0,178.0
2021-11-10,6693.0,3482.0,2887.0,0.0,214.0
2021-11-11,5994.0,3547.0,2719.0,0.0,191.0
2021-11-12,5340.0,3033.0,2426.0,0.0,167.0
2021-11-13,4952.0,2602.0,2122.0,0.0,158.0
2021-11-14,5538.0,2833.0,2324.0,0.0,175.0
2021-11-15,5643.0,3542.0,2601.0,0.0,170.0
2021-11-16,6207.0,3518.0,2508.0,0.0,158.0
2021-11-17,5861.0,3537.0,2675.0,0.0,156.0
2021-11-18,7335.0,3297.0,2891.0,0.0,138.0
2021-11-19,6408.0,3516.0,2448.0,0.0,201.0
2021-11-20,5601.0,2775.0,2042.0,0.0,141.0
2021-11-21,9411.0,2878.0,2324.0,0.0,180.0
2021-11-22,7275.0,2976.0,2624.0,0.0,166.0
2021-11-23,11567.0,3282.0,3809.0,0.0,175.0
2021-11-24,8863.0,3522.0,2588.0,0.0,137.0
2021-11-25,7963.0,3287.0,2662.0,0.0,132.0
2021-11-26,6148.0,2922.0,2147.0,0.0,146.0
2021-11-27,5778.0,2895.0,3660.0,0.0,171.0
2021-11-28,5907.0,2984.0,2241.0,0.0,145.0
2021-11-29,6849.0,3384.0,2727.0,0.0,185.0
2021-11-30,7884.0,3425.0,2816.0,0.0,203.0
2021-12-01,6890.0,3460.0,3097.0,0.0,196.0
2021-12-02,6077.0,3464.0,2598.0,0.0,182.0
2021-12-03,5777.0,3520.0,2241.0,0.0,202.0
2021-12-04,8327.0,2771.0,2253.0,0.0,196.0
2021-12-05,7175.0,2861.0,2032.0,0.0,223.0
2021-12-06,8935.0,3610.0,2597.0,0.0,187.0
2021-12-07,9194.0,3791.0,4132.0,0.0,139.0
2021-12-08,9963.0,3470.0,3636.0,0.0,131.0
2021-12-09,9880.0,3374.0,2869.0,0.0,159.0
2021-12-10,8897.0,3487.0,2349.0,0.0,124.0
2021-12-11,8993.0,2719.0,2137.0,0.0,101.0
2021-12-12,11516.0,2919.0,2489.0,0.0,149.0
2021-12-13,21394.0,3619.0,3547.0,0.0,154.0
2021-12-14,15581.0,3547.0,3078.0,0.0,244.0
2021-12-15,21361.0,3521.0,3752.0,0.0,150.0
2021-12-16,18443.0,3622.0,3074.0,0.0,123.0
2021-12-17,16989.0,3362.0,2824.0,0.0,113.0
2021-12-18,20861.0,2807.0,3086.0,0.0,153.0
2021-12-19,24759.0,2888.0,3848.0,0.0,152.0
2021-12-20,25136.0,3152.0,3748.0,0.0,166.0
2021-12-21,32666.0,3164.0,4658.0,0.0,201.0
2021-12-22,40225.0,4485.0,6105.0,0.0,164.0
2021-12-23,41226.0,3283.0,5085.0,0.0,162.0
2021-12-24,79451.0,3459.0,8706.0,0.0,188.0
2021-12-25,372283.0,8325.0,39538.0,0.0,448.0
2021-12-26,190852.0,6074.0,22290.0,0.0,364.0
2021-12-27,107894.0,5291.0,12895.0,0.0,317.0
2021-12-28,74318.0,4693.0,9438.0,0.0,291.0
2021-12-29,58563.0,4313.0,8111.0,0.0,275.0
2021-12-30,50904.0,4219.0,6930.0,0.0,244.0
2021-12-31,38371.0,3495.0,5604.0,0.0,186.0
2022-01-01,32094.0,4988.0,5383.0,0.0,202.0
2022-01-02,30688.0,3893.0,5148.0,0.0,300.0
2022-01-03,27868.0,3728.0,4829.0,0.0,180.0
2022-01-04,33725.0,3990.0,5844.0,0.0,245.0
2022-01-05,35320.0,4132.0,6312.0,0.0,263.0
2022-01-06,28349.0,3884.0,5312.0,0.0,273.0
2022-01-07,23144.0,3943.0,4434.0,0.0,204.0
2022-01-08,39664.0,4151.0,7142.0,0.0,204.0
2022-01-09,48558.0,4580.0,8360.0,0.0,251.0
2022-01-10,31507.0,3977.0,6087.0,0.0,275.0
2022-01-11,23242.0,3995.0,4986.0,0.0,249.0
2022-01-12,17898.0,3813.0,3876.0,0.0,197.0
2022-01-13,15951.0,3987.0,3781.0,0.0,201.0
2022-01-14,13926.0,3653.0,3151.0,0.0,202.0
2022-01-15,11938.0,3110.0,2626.0,0.0,174.0
2022-01-16,11570.0,3391.0,2642.0,0.0,175.0
2022-01-17,10846.0,3394.0,2728.0,0.0,112.0
2022-01-18,10580.0,3964.0,2667.0,0.0,185.0
2022-01-19,9835.0,4079.0,2544.0,0.0,166.0
2022-01-20,10225.0,3621.0,2556.0,0.0,201.0
2022-01-21,9764.0,3552.0,2485.0,0.0,185.0
