date,Notre-Dame_de_Paris,Notre-Dame_fire,Emmanuel_Macron,Gothic_architecture,Paris
2023-07-14,2696.0,1048.0,23453.0,1280.0,8126.0
2023-07-15,2795.0,1126.0,12275.0,1392.0,7479.0
2023-07-16,3215.0,1343.0,9037.0,1418.0,7831.0
2023-07-17,2982.0,1275.0,7390.0,1332.0,7996.0
2023-07-18,3142.0,996.0,6311.0,1253.0,7714.0
2023-07-19,2708.0,1000.0,7055.0,1305.0,7216.0
2023-07-20,2590.0,934.0,5931.0,1237.0,7216.0
2023-07-21,2710.0,909.0,5499.0,1210.0,7278.0
2023-07-22,2653.0,1100.0,5338.0,1272.0,7370.0
2023-07-23,3327.0,1366.0,6039.0,1233.0,8194.0
2023-07-24,2820.0,1091.0,6320.0,1233.0,7798.0
2023-07-25,2826.0,1044.0,5643.0,1345.0,7918.0
2023-07-26,2750.0,995.0,5539.0,1205.0,7655.0
2023-07-27,2606.0,903.0,5276.0,1320.0,7138.0
2023-07-28,3042.0,887.0,5045.0,1262.0,7011.0
2023-07-29,3222.0,1195.0,5578.0,1311.0,7137.0
2023-07-30,2883.0,1155.0,4926.0,1290.0,7277.0
2023-07-31,2612.0,954.0,4962.0,1520.0,7504.0
2023-08-01,2617.0,920.0,4714.0,1411.0,7250.0
2023-08-02,2439.0,886.0,7193.0,1329.0,7089.0
2023-08-03,2548.0,997.0,9090.0,1338.0,6786.0
2023-08-04,2487.0,929.0,6654.0,1464.0,6995.0
2023-08-05,2744.0,1039.0,5320.0,1462.0,6998.0
2023-08-06,2644.0,1053.0,5041.0,1499.0,7098.0
2023-08-07,2723.0,1021.0,4722.0,1385.0,7328.0
2023-08-08,2613.0,935.0,4513.0,1382.0,7231.0
2023-08-09,2693.0,932.0,5809.0,1476.0,7264.0
2023-08-10,2676.0,956.0,5770.0,1349.0,13301.0
2023-08-11,2568.0,988.0,6554.0,1213.0,7133.0
2023-08-12,2764.0,1155.0,5188.0,1291.0,6956.0
2023-08-13,3479.0,1263.0,5159.0,1416.0,7287.0
2023-08-14,3417.0,1074.0,4738.0,1343.0,7151.0
2023-08-15,2770.0,972.0,4999.0,1447.0,7134.0
2023-08-16,2504.0,906.0,4424.0,1391.0,7574.0
2023-08-17,2523.0,917.0,4431.0,1325.0,7510.0
2023-08-18,2472.0,997.0,4658.0,1341.0,7352.0
2023-08-19,3272.0,1378.0,4334.0,1247.0,7240.0
2023-08-20,3243.0,1270.0,4552.0,1399.0,7368.0
2023-08-21,2873.0,1076.0,4356.0,1308.0,7148.0
2023-08-22,2652.0,984.0,4342.0,1257.0,7134.0
2023-08-23,2676.0,1022.0,4258.0,1324.0,6907.0
2023-08-24,2656.0,917.0,4408.0,1296.0,6788.0
2023-08-25,2731.0,907.0,4774.0,1181.0,8164.0
2023-08-26,3506.0,1126.0,4189.0,1292.0,8443.0
2023-08-27,3009.0,1145.0,4561.0,1405.0,7265.0
2023-08-28,7335.0,3234.0,5290.0,1455.0,7153.0
2023-08-29,2899.0,1124.0,4782.0,1495.0,7027.0
2023-08-30,2721.0,1067.0,5097.0,1408.0,7095.0
2023-08-31,2444.0,949.0,5310.0,1741.0,7069.0
2023-09-01,2471.0,957.0,5159.0,1409.0,7085.0
2023-09-02,2470.0,906.0,4961.0,1320.0,6943.0
2023-09-03,2978.0,1245.0,5172.0,1470.0,7182.0
2023-09-04,2765.0,1024.0,5046.0,1711.0,7257.0
2023-09-05,2688.0,942.0,5007.0,1460.0,7432.0
2023-09-06,2490.0,918.0,4742.0,1502.0,7507.0
2023-09-07,2574.0,941.0,4993.0,1469.0,7787.0
2023-09-08,2443.0,947.0,9041.0,1348.0,8047.0
2023-09-09,2679.0,1062.0,10466.0,1793.0,7288.0
2023-09-10,2750.0,1050.0,11515.0,1505.0,7690.0
2023-09-11,2924.0,1141.0,9029.0,1644.0,7805.0
2023-09-12,2745.0,968.0,7671.0,1583.0,7534.0
2023-09-13,2605.0,991.0,6497.0,1648.0,6641.0
2023-09-14,6070.0,2199.0,5926.0,1577.0,6531.0
2023-09-15,3272.0,1094.0,5773.0,1506.0,6718.0
2023-09-16,3022.0,1255.0,5799.0,1392.0,6323.0
2023-09-17,3159.0,1375.0,5257.0,1503.0,6569.0
2023-09-18,3239.0,1167.0,5217.0,1708.0,6778.0
2023-09-19,3427.0,1236.0,5491.0,1696.0,7204.0
2023-09-20,3175.0,1221.0,22171.0,1585.0,6994.0
2023-09-21,3442.0,1221.0,28493.0,1669.0,6665.0
2023-09-22,2846.0,1093.0,16801.0,1536.0,6681.0
2023-09-23,3042.0,1141.0,13151.0,1390.0,6455.0
2023-09-24,3685.0,1355.0,9468.0,1572.0,6876.0
2023-09-25,3051.0,1099.0,8774.0,1679.0,6968.0
2023-09-26,2892.0,1051.0,8399.0,1605.0,6831.0
2023-09-27,2636.0,896.0,7077.0,1611.0,6545.0
2023-09-28,2789.0,983.0,6026.0,1748.0,6746.0
2023-09-29,2700.0,1043.0,5383.0,1484.0,6480.0
2023-09-30,2719.0,1141.0,5128.0,1345.0,6323.0
2023-10-01,3129.0,1202.0,5006.0,1577.0,6563.0
2023-10-02,3260.0,1076.0,4813.0,1717.0,7034.0
2023-10-03,2889.0,1001.0,4680.0,1744.0,7159.0
2023-10-04,3256.0,1219.0,4595.0,1650.0,7356.0
2023-10-05,2726.0,1018.0,5660.0,1587.0,7082.0
2023-10-06,2765.0,992.0,5782.0,1555.0,6817.0
2023-10-07,3279.0,1460.0,5373.0,1449.0,6262.0
2023-10-08,2981.0,1193.0,5012.0,1424.0,6936.0
2023-10-09,2899.0,1047.0,5176.0,1636.0,7243.0
2023-10-10,3091.0,1023.0,5286.0,1685.0,6960.0
2023-10-11,2789.0,871.0,4819.0,1801.0,6909.0
2023-10-12,2760.0,921.0,5131.0,1898.0,6787.0
2023-10-13,2685.0,881.0,5790.0,1721.0,6850.0
2023-10-14,2686.0,1002.0,5427.0,1604.0,6598.0
2023-10-15,3413.0,1109.0,5713.0,2064.0,6959.0
2023-10-16,3283.0,943.0,5818.0,1932.0,6934.0
2023-10-17,3201.0,1008.0,6527.0,2166.0,6990.0
2023-10-18,3871.0,1354.0,5796.0,1757.0,6859.0
2023-10-19,2886.0,955.0,5377.0,1680.0,7030.0
2023-10-20,2987.0,1031.0,4930.0,1675.0,6753.0
2023-10-21,2925.0,1115.0,4669.0,1610.0,6251.0
2023-10-22,3388.0,1235.0,4786.0,1670.0,6576.0
2023-10-23,3144.0,1072.0,4900.0,1858.0,6586.0
2023-10-24,2980.0,1115.0,10735.0,1745.0,6898.0
2023-10-25,2928.0,1342.0,6692.0,1857.0,6816.0
2023-10-26,2803.0,962.0,5217.0,1820.0,6998.0
2023-10-27,2907.0,909.0,4828.0,1526.0,6353.0
2023-10-28,2578.0,964.0,9124.0,1354.0,5828.0
2023-10-29,2647.0,955.0,5288.0,1574.0,6115.0
2023-10-30,2671.0,958.0,4492.0,1706.0,6772.0
2023-10-31,2442.0,888.0,4189.0,1728.0,6414.0
2023-11-01,3388.0,1928.0,4787.0,1592.0,6533.0
2023-11-02,4138.0,2845.0,4764.0,1674.0,6543.0
2023-11-03,4429.0,3150.0,4563.0,1524.0,6519.0
2023-11-04,4675.0,3892.0,4793.0,1505.0,6102.0
2023-11-05,4604.0,3590.0,4530.0,1554.0,6305.0
2023-11-06,4046.0,2685.0,4345.0,1763.0,6883.0
2023-11-07,3477.0,2137.0,4335.0,1691.0,6677.0
2023-11-08,3271.0,1875.0,5952.0,1674.0,6668.0
2023-11-09,3060.0,1547.0,5649.0,1546.0,6157.0
2023-11-10,2900.0,1464.0,7252.0,1608.0,6504.0
2023-11-11,2897.0,1591.0,11838.0,1399.0,6604.0
2023-11-12,3141.0,1629.0,8486.0,1436.0,6617.0
2023-11-13,3112.0,1486.0,6402.0,1613.0,8350.0
2023-11-14,2831.0,1121.0,6297.0,1721.0,7119.0
2023-11-15,2812.0,1124.0,5512.0,1527.0,6835.0
2023-11-16,2604.0,1090.0,5850.0,1545.0,6722.0
2023-11-17,2581.0,1103.0,13786.0,1577.0,6499.0
2023-11-18,2578.0,1126.0,13391.0,1409.0,6479.0
2023-11-19,3144.0,1240.0,21509.0,2215.0,6879.0
2023-11-20,3064.0,1151.0,31877.0,1980.0,7207.0
2023-11-21,2879.0,1065.0,13002.0,2208.0,6728.0
2023-11-22,2894.0,1055.0,8268.0,1960.0,7029.0
2023-11-23,2807.0,1052.0,7604.0,1430.0,6759.0
2023-11-24,2782.0,999.0,7231.0,1500.0,6029.0
2023-11-25,2776.0,1111.0,6762.0,1582.0,6205.0
2023-11-26,2973.0,1178.0,6601.0,1450.0,6947.0
2023-11-27,3068.0,1180.0,6175.0,1647.0,6887.0
2023-11-28,2972.0,1163.0,5445.0,1527.0,6980.0
2023-11-29,3157.0,1292.0,5665.0,1731.0,6962.0
2023-11-30,3078.0,1281.0,5328.0,1642.0,6629.0
2023-12-01,2723.0,1049.0,5343.0,1490.0,6188.0
2023-12-02,3794.0,1477.0,8968.0,1440.0,6400.0
2023-12-03,3225.0,1387.0,9763.0,1455.0,7437.0
2023-12-04,3194.0,1320.0,6847.0,1656.0,7268.0
2023-12-05,3133.0,1182.0,5362.0,1610.0,7035.0
2023-12-06,2886.0,1177.0,5172.0,1717.0,6584.0
2023-12-07,3186.0,1381.0,5600.0,1731.0,6435.0
2023-12-08,4051.0,2231.0,5454.0,1519.0,6375.0
2023-12-09,3859.0,1745.0,7008.0,1584.0,6157.0
2023-12-10,3389.0,1453.0,5565.0,1713.0,6857.0
2023-12-11,3369.0,1331.0,5599.0,1827.0,7052.0
2023-12-12,3135.0,1075.0,5044.0,1712.0,6592.0
2023-12-13,2869.0,1040.0,4640.0,1684.0,6957.0
2023-12-14,3060.0,941.0,4867.0,1545.0,7572.0
2023-12-15,2856.0,1127.0,4656.0,1459.0,6032.0
2023-12-16,3242.0,1373.0,4587.0,1344.0,5926.0
2023-12-17,3929.0,1626.0,4983.0,1372.0,6517.0
2023-12-18,3335.0,1200.0,4722.0,1530.0,6855.0
2023-12-19,2906.0,1036.0,4870.0,1482.0,6490.0
2023-12-20,2689.0,966.0,6132.0,1418.0,6598.0
2023-12-21,2375.0,980.0,6599.0,1315.0,6052.0
2023-12-22,4270.0,2215.0,6628.0,1241.0,5748.0
2023-12-23,3948.0,1694.0,5662.0,1301.0,5753.0
2023-12-24,4746.0,2355.0,4994.0,1364.0,5933.0
2023-12-25,5429.0,2383.0,4649.0,1372.0,6199.0
2023-12-26,3613.0,1592.0,5216.0,1453.0,7027.0
2023-12-27,3231.0,1319.0,5173.0,1491.0,6761.0
2023-12-28,3300.0,1461.0,5083.0,1438.0,6407.0
2023-12-29,3319.0,1293.0,4741.0,1309.0,6050.0
2023-12-30,3185.0,1345.0,4551.0,1335.0,6395.0
2023-12-31,3155.0,1381.0,5202.0,1328.0,6208.0
