date,2024_Summer_Olympics_opening_ceremony,2024_Summer_Olympics,Celine_Dion,Léon_Marchand,Paris
2023-03-02,7.0,5437.0,11435.0,115.0,8716.0
2023-03-03,11.0,4858.0,18984.0,128.0,8394.0
2023-03-04,13.0,4775.0,27040.0,220.0,8073.0
2023-03-05,19.0,5543.0,26807.0,340.0,8709.0
2023-03-06,14.0,4786.0,19490.0,125.0,8952.0
2023-03-07,17.0,4471.0,16331.0,131.0,8725.0
2023-03-08,26.0,4315.0,15017.0,62.0,8684.0
2023-03-09,17.0,4298.0,12238.0,70.0,8866.0
2023-03-10,10.0,4658.0,15096.0,63.0,8341.0
2023-03-11,9.0,4724.0,21380.0,65.0,8123.0
2023-03-12,11.0,5028.0,24511.0,57.0,8846.0
2023-03-13,14.0,4549.0,19647.0,80.0,9028.0
2023-03-14,19.0,5065.0,20869.0,56.0,8900.0
2023-03-15,15.0,4642.0,19773.0,38.0,8949.0
2023-03-16,13.0,4549.0,17346.0,31.0,9264.0
2023-03-17,19.0,4743.0,20530.0,40.0,8971.0
2023-03-18,11.0,4722.0,21885.0,50.0,8887.0
2023-03-19,10.0,5239.0,23288.0,30.0,9512.0
2023-03-20,11.0,4757.0,23473.0,42.0,9545.0
2023-03-21,15.0,4385.0,20253.0,76.0,9614.0
2023-03-22,20.0,5202.0,16140.0,87.0,9217.0
2023-03-23,7.0,4734.0,17825.0,608.0,9494.0
2023-03-24,13.0,4455.0,19657.0,1074.0,9428.0
2023-03-25,7.0,4880.0,17650.0,1286.0,8735.0
2023-03-26,29.0,5441.0,17480.0,1676.0,8801.0
2023-03-27,28.0,5278.0,16959.0,864.0,9251.0
2023-03-28,44.0,5155.0,16153.0,521.0,9077.0
2023-03-29,19.0,5054.0,16964.0,390.0,9059.0
2023-03-30,17.0,4824.0,32111.0,304.0,8621.0
2023-03-31,23.0,4557.0,22329.0,253.0,8481.0
2023-04-01,15.0,4751.0,24071.0,213.0,7840.0
2023-04-02,11.0,5382.0,23260.0,230.0,8296.0
2023-04-03,32.0,4907.0,12818.0,145.0,9520.0
2023-04-04,25.0,4404.0,12129.0,201.0,8881.0
2023-04-05,9.0,4273.0,10998.0,240.0,7447.0
2023-04-06,15.0,4219.0,13774.0,306.0,7654.0
2023-04-07,6.0,4212.0,17399.0,150.0,7278.0
2023-04-08,16.0,4798.0,20281.0,136.0,7091.0
2023-04-09,10.0,5371.0,19615.0,115.0,7808.0
2023-04-10,6.0,4971.0,18394.0,113.0,8388.0
2023-04-11,20.0,4853.0,17071.0,100.0,8245.0
2023-04-12,15.0,4855.0,19919.0,113.0,8053.0
2023-04-13,15.0,4659.0,21417.0,108.0,7644.0
2023-04-14,13.0,4245.0,31309.0,276.0,7687.0
2023-04-15,20.0,4567.0,28755.0,239.0,6883.0
2023-04-16,15.0,4906.0,22163.0,425.0,7294.0
2023-04-17,15.0,4722.0,28556.0,207.0,8048.0
2023-04-18,7.0,4348.0,29653.0,116.0,7706.0
2023-04-19,18.0,4324.0,30026.0,109.0,7879.0
2023-04-20,22.0,4341.0,28844.0,128.0,8171.0
2023-04-21,15.0,4062.0,22687.0,96.0,7970.0
2023-04-22,20.0,4150.0,21993.0,103.0,7341.0
2023-04-23,15.0,4785.0,27442.0,110.0,7949.0
2023-04-24,13.0,4537.0,26490.0,91.0,8763.0
2023-04-25,16.0,4318.0,26825.0,182.0,9011.0
2023-04-26,38.0,4212.0,26346.0,69.0,8650.0
2023-04-27,20.0,4201.0,30124.0,66.0,8433.0
2023-04-28,16.0,4270.0,34901.0,77.0,8130.0
2023-04-29,20.0,4238.0,41482.0,72.0,7418.0
2023-04-30,11.0,4949.0,50794.0,87.0,8024.0
2023-05-01,12.0,4996.0,48669.0,61.0,9036.0
2023-05-02,10.0,4689.0,44293.0,58.0,8728.0
2023-05-03,23.0,4595.0,27208.0,69.0,8708.0
2023-05-04,25.0,4139.0,31300.0,47.0,8245.0
2023-05-05,59.0,4445.0,33693.0,54.0,8230.0
2023-05-06,24.0,4676.0,37283.0,66.0,7196.0
2023-05-07,17.0,5081.0,36344.0,65.0,8062.0
2023-05-08,19.0,4803.0,32393.0,51.0,9087.0
2023-05-09,45.0,4833.0,26614.0,54.0,8913.0
2023-05-10,34.0,4966.0,21481.0,64.0,8674.0
2023-05-11,22.0,5707.0,19967.0,70.0,8807.0
2023-05-12,25.0,6150.0,23302.0,48.0,7890.0
2023-05-13,83.0,5961.0,49223.0,65.0,7515.0
2023-05-14,36.0,7156.0,31408.0,50.0,7926.0
2023-05-15,20.0,6529.0,19802.0,64.0,8946.0
2023-05-16,15.0,5646.0,16960.0,44.0,9457.0
2023-05-17,13.0,5433.0,16125.0,38.0,9000.0
2023-05-18,48.0,5532.0,18533.0,32.0,9421.0
2023-05-19,23.0,4628.0,15929.0,33.0,8378.0
2023-05-20,22.0,4841.0,17872.0,42.0,7477.0
2023-05-21,12.0,5983.0,22358.0,27.0,8806.0
2023-05-22,21.0,5206.0,51532.0,44.0,8835.0
2023-05-23,9.0,5220.0,27814.0,40.0,8181.0
2023-05-24,21.0,4761.0,33691.0,40.0,8290.0
2023-05-25,28.0,5012.0,30063.0,47.0,8395.0
2023-05-26,26.0,4736.0,70949.0,30.0,7853.0
2023-05-27,22.0,4875.0,82958.0,43.0,7275.0
2023-05-28,16.0,5466.0,59892.0,25.0,7744.0
2023-05-29,16.0,5622.0,34735.0,45.0,8981.0
2023-05-30,10.0,5395.0,23475.0,49.0,8570.0
2023-05-31,17.0,5179.0,18998.0,42.0,9408.0
2023-06-01,17.0,4615.0,16553.0,43.0,8248.0
2023-06-02,15.0,4839.0,16051.0,41.0,7921.0
2023-06-03,13.0,5465.0,17227.0,58.0,7727.0
2023-06-04,11.0,6188.0,16611.0,50.0,8046.0
2023-06-05,17.0,5777.0,13149.0,51.0,8793.0
2023-06-06,14.0,5755.0,12899.0,52.0,8257.0
2023-06-07,20.0,6699.0,11316.0,38.0,8146.0
2023-06-08,20.0,6197.0,12913.0,54.0,8070.0
2023-06-09,19.0,5621.0,15805.0,52.0,8096.0
2023-06-10,37.0,5534.0,17317.0,73.0,7561.0
2023-06-11,17.0,6762.0,15122.0,296.0,8140.0
2023-06-12,12.0,6271.0,13986.0,373.0,8522.0
2023-06-13,11.0,6376.0,12485.0,242.0,8314.0
2023-06-14,13.0,5742.0,11801.0,249.0,7995.0
2023-06-15,17.0,6220.0,11284.0,276.0,7792.0
2023-06-16,12.0,5689.0,19003.0,267.0,7247.0
2023-06-17,17.0,6032.0,22025.0,174.0,7312.0
