date,Pope_Francis,2025_papal_conclave,Pope_Leo_XIV,College_of_Cardinals,Vatican_City
2023-11-26,10204.0,0.0,0.0,265.0,5367.0
2023-11-27,11213.0,0.0,0.0,332.0,5454.0
2023-11-28,10901.0,0.0,0.0,390.0,5359.0
2023-11-29,14124.0,0.0,0.0,668.0,5546.0
2023-11-30,11897.0,0.0,0.0,498.0,5546.0
2023-12-01,8486.0,0.0,0.0,298.0,4995.0
2023-12-02,8227.0,0.0,0.0,269.0,4945.0
2023-12-03,8821.0,0.0,0.0,301.0,4997.0
2023-12-04,7865.0,0.0,0.0,297.0,5047.0
2023-12-05,7136.0,0.0,0.0,277.0,4799.0
2023-12-06,7408.0,0.0,0.0,240.0,5031.0
2023-12-07,6948.0,0.0,0.0,245.0,5106.0
2023-12-08,6753.0,0.0,0.0,240.0,4755.0
2023-12-09,6665.0,0.0,0.0,230.0,4621.0
2023-12-10,7384.0,0.0,0.0,235.0,4960.0
2023-12-11,7444.0,0.0,0.0,243.0,5202.0
2023-12-12,7195.0,0.0,0.0,282.0,5252.0
2023-12-13,10784.0,0.0,0.0,371.0,5486.0
2023-12-14,10689.0,0.0,0.0,344.0,5062.0
2023-12-15,8271.0,0.0,0.0,273.0,4669.0
2023-12-16,9430.0,0.0,0.0,380.0,6767.0
2023-12-17,15494.0,0.0,0.0,452.0,6621.0
2023-12-18,25172.0,0.0,0.0,498.0,6645.0
2023-12-19,31536.0,0.0,0.0,391.0,5962.0
2023-12-20,16678.0,0.0,0.0,309.0,6135.0
2023-12-21,11587.0,0.0,0.0,314.0,5450.0
2023-12-22,14604.0,0.0,1.0,368.0,5049.0
2023-12-23,12818.0,0.0,0.0,284.0,5346.0
2023-12-24,19674.0,0.0,0.0,418.0,6420.0
2023-12-25,32304.0,0.0,0.0,1052.0,8423.0
2023-12-26,17578.0,0.0,0.0,408.0,6211.0
2023-12-27,14863.0,0.0,0.0,345.0,5874.0
2023-12-28,14503.0,0.0,0.0,424.0,5878.0
