date,Super_Bowl_LIX,Kendrick_Lamar,Philadelphia_Eagles,Kansas_City_Chiefs
2023-09-16,765.0,4444.0,4293.0,2698.0
2023-09-17,1322.0,4496.0,4875.0,6491.0
2023-09-18,1361.0,4494.0,4907.0,4588.0
2023-09-19,1072.0,4202.0,4046.0,3633.0
2023-09-20,851.0,4381.0,3369.0,3141.0
2023-09-21,759.0,4420.0,3336.0,2939.0
2023-09-22,975.0,4559.0,3528.0,3348.0
2023-09-23,734.0,4375.0,3136.0,2639.0
2023-09-24,2828.0,4636.0,5033.0,10179.0
2023-09-25,2870.0,4647.0,8282.0,13701.0
2023-09-26,1798.0,4498.0,11509.0,9623.0
2023-09-27,1166.0,4300.0,5521.0,7116.0
2023-09-28,1042.0,4772.0,4412.0,5879.0
2023-09-29,1060.0,4636.0,4257.0,5330.0
2023-09-30,875.0,4415.0,3665.0,4610.0
2023-10-01,1365.0,4371.0,7895.0,8553.0
2023-10-02,1543.0,4250.0,6272.0,15996.0
2023-10-03,1100.0,4362.0,4587.0,5521.0
2023-10-04,834.0,4380.0,3738.0,4631.0
2023-10-05,847.0,4612.0,3624.0,3993.0
2023-10-06,885.0,5448.0,3724.0,3995.0
2023-10-07,725.0,6458.0,3142.0,3200.0
2023-10-08,1276.0,5214.0,6816.0,7483.0
2023-10-09,2056.0,4941.0,5948.0,5598.0
2023-10-10,1062.0,4853.0,3995.0,3853.0
2023-10-11,798.0,5517.0,3473.0,2997.0
2023-10-12,793.0,5065.0,3411.0,4385.0
2023-10-13,842.0,4850.0,3818.0,12587.0
2023-10-14,686.0,5163.0,3202.0,3695.0
2023-10-15,1266.0,4856.0,8783.0,5045.0
2023-10-16,1204.0,4688.0,6590.0,4596.0
2023-10-17,1171.0,4733.0,4957.0,4397.0
2023-10-18,849.0,4506.0,4449.0,3490.0
2023-10-19,741.0,4808.0,3508.0,4014.0
2023-10-20,945.0,4706.0,3600.0,3753.0
2023-10-21,668.0,4424.0,2821.0,3112.0
2023-10-22,1081.0,4646.0,5121.0,9323.0
2023-10-23,1206.0,4939.0,18481.0,7593.0
2023-10-24,948.0,4499.0,5895.0,5354.0
2023-10-25,771.0,4376.0,4910.0,4065.0
2023-10-26,679.0,4572.0,3644.0,3552.0
2023-10-27,761.0,8725.0,3374.0,3328.0
2023-10-28,624.0,6775.0,2912.0,3030.0
2023-10-29,1216.0,5596.0,5787.0,6844.0
2023-10-30,1007.0,5561.0,4709.0,4805.0
2023-10-31,828.0,4786.0,3854.0,3343.0
2023-11-01,737.0,4706.0,3628.0,2863.0
2023-11-02,851.0,4846.0,3499.0,2929.0
2023-11-03,867.0,5374.0,4204.0,3006.0
