date,"Solar_eclipse_of_April_8,_2024",Solar_eclipse,Eclipse_glasses,Total_solar_eclipse,Saros
2022-11-13,472.0,2157.0,0.0,11.0,6.0
2022-11-14,404.0,1860.0,0.0,14.0,12.0
2022-11-15,358.0,1679.0,1.0,15.0,4.0
2022-11-16,401.0,1757.0,0.0,18.0,7.0
2022-11-17,345.0,1676.0,0.0,10.0,2.0
2022-11-18,309.0,1469.0,0.0,8.0,4.0
2022-11-19,329.0,1327.0,0.0,10.0,4.0
2022-11-20,3658.0,2540.0,1.0,25.0,6.0
2022-11-21,5451.0,3219.0,1.0,37.0,11.0
2022-11-22,678.0,1606.0,0.0,12.0,5.0
2022-11-23,455.0,1505.0,0.0,12.0,6.0
2022-11-24,466.0,1321.0,0.0,10.0,15.0
2022-11-25,401.0,1155.0,0.0,16.0,7.0
2022-11-26,413.0,1303.0,0.0,5.0,11.0
2022-11-27,418.0,1396.0,0.0,13.0,7.0
2022-11-28,498.0,1230.0,0.0,11.0,5.0
2022-11-29,390.0,1221.0,1.0,14.0,5.0
2022-11-30,320.0,1208.0,0.0,9.0,8.0
2022-12-01,285.0,1212.0,0.0,10.0,6.0
2022-12-02,287.0,1019.0,1.0,7.0,3.0
2022-12-03,312.0,827.0,0.0,10.0,0.0
2022-12-04,337.0,912.0,0.0,8.0,3.0
2022-12-05,364.0,1076.0,0.0,16.0,5.0
2022-12-06,330.0,997.0,0.0,6.0,0.0
2022-12-07,332.0,1000.0,0.0,10.0,6.0
2022-12-08,328.0,1143.0,0.0,10.0,3.0
2022-12-09,280.0,1162.0,1.0,4.0,2.0
2022-12-10,286.0,923.0,0.0,10.0,1.0
2022-12-11,309.0,951.0,1.0,12.0,0.0
2022-12-12,345.0,1161.0,1.0,8.0,3.0
2022-12-13,284.0,1231.0,0.0,9.0,13.0
2022-12-14,357.0,1158.0,0.0,8.0,9.0
2022-12-15,392.0,1143.0,0.0,10.0,3.0
2022-12-16,307.0,1052.0,0.0,10.0,1.0
2022-12-17,297.0,931.0,0.0,9.0,2.0
2022-12-18,337.0,866.0,0.0,8.0,2.0
2022-12-19,307.0,1002.0,0.0,8.0,8.0
2022-12-20,288.0,1072.0,0.0,8.0,0.0
2022-12-21,355.0,1033.0,0.0,10.0,3.0
2022-12-22,297.0,1005.0,0.0,11.0,1.0
2022-12-23,304.0,803.0,0.0,13.0,3.0
2022-12-24,348.0,867.0,1.0,19.0,2.0
2022-12-25,371.0,893.0,0.0,10.0,0.0
2022-12-26,362.0,1030.0,0.0,6.0,3.0
2022-12-27,398.0,1093.0,1.0,6.0,6.0
2022-12-28,385.0,1052.0,0.0,8.0,6.0
2022-12-29,470.0,1085.0,0.0,8.0,0.0
2022-12-30,421.0,1087.0,0.0,12.0,0.0
2022-12-31,505.0,1024.0,0.0,9.0,1.0
2023-01-01,718.0,1239.0,1.0,20.0,0.0
2023-01-02,692.0,1367.0,0.0,10.0,6.0
2023-01-03,765.0,1455.0,0.0,14.0,4.0
2023-01-04,973.0,1461.0,0.0,18.0,3.0
2023-01-05,660.0,1467.0,0.0,10.0,6.0
2023-01-06,570.0,1316.0,0.0,10.0,6.0
2023-01-07,535.0,1123.0,0.0,20.0,0.0
2023-01-08,588.0,1277.0,0.0,7.0,3.0
2023-01-09,655.0,1409.0,0.0,8.0,1.0
2023-01-10,563.0,1317.0,0.0,13.0,3.0
2023-01-11,642.0,1562.0,0.0,25.0,2.0
2023-01-12,519.0,1296.0,2.0,17.0,6.0
2023-01-13,513.0,1193.0,1.0,10.0,6.0
2023-01-14,516.0,1160.0,0.0,11.0,0.0
2023-01-15,502.0,1183.0,0.0,4.0,1.0
2023-01-16,533.0,1348.0,0.0,20.0,2.0
2023-01-17,471.0,1641.0,1.0,24.0,10.0
2023-01-18,491.0,1541.0,0.0,10.0,4.0
2023-01-19,582.0,1423.0,1.0,12.0,6.0
2023-01-20,469.0,1318.0,0.0,11.0,1.0
2023-01-21,414.0,1183.0,0.0,10.0,2.0
2023-01-22,507.0,1327.0,0.0,7.0,2.0
2023-01-23,467.0,1423.0,0.0,12.0,1.0
2023-01-24,409.0,1498.0,6.0,2.0,3.0
2023-01-25,424.0,1315.0,5.0,8.0,6.0
2023-01-26,487.0,1456.0,0.0,13.0,1.0
2023-01-27,443.0,1243.0,0.0,8.0,2.0
2023-01-28,562.0,1117.0,0.0,7.0,3.0
2023-01-29,445.0,1297.0,0.0,19.0,4.0
2023-01-30,496.0,1415.0,0.0,9.0,2.0
2023-01-31,518.0,1421.0,0.0,11.0,3.0
2023-02-01,562.0,1541.0,1.0,8.0,4.0
2023-02-02,531.0,1526.0,0.0,13.0,2.0
2023-02-03,438.0,1264.0,0.0,11.0,0.0
