date,2024_United_States_presidential_election,Donald_Trump,Kamala_Harris,JD_Vance,Tim_Walz
2023-06-12,18947.0,42398.0,6811.0,2.0,674.0
2023-06-13,20969.0,108462.0,7087.0,1.0,525.0
2023-06-14,23263.0,142932.0,8740.0,6.0,491.0
2023-06-15,21878.0,58671.0,8350.0,7.0,547.0
2023-06-16,18776.0,35030.0,6783.0,6.0,607.0
2023-06-17,16756.0,29043.0,7466.0,0.0,507.0
2023-06-18,18453.0,28178.0,7818.0,3.0,427.0
2023-06-19,18120.0,27268.0,7664.0,2.0,448.0
2023-06-20,17516.0,27314.0,9306.0,0.0,449.0
2023-06-21,15875.0,24464.0,7780.0,2.0,407.0
2023-06-22,17004.0,22947.0,9752.0,0.0,644.0
2023-06-23,16769.0,24403.0,23339.0,0.0,495.0
2023-06-24,13241.0,22592.0,35357.0,0.0,376.0
2023-06-25,15494.0,25680.0,24596.0,0.0,390.0
2023-06-26,17593.0,25875.0,14961.0,3.0,392.0
2023-06-27,20455.0,27612.0,13434.0,0.0,354.0
2023-06-28,18130.0,29819.0,11159.0,1.0,354.0
2023-06-29,16231.0,25445.0,10552.0,2.0,363.0
2023-06-30,15596.0,23916.0,9568.0,1.0,291.0
2023-07-01,13875.0,22214.0,7827.0,2.0,357.0
2023-07-02,14465.0,22632.0,7594.0,2.0,357.0
2023-07-03,15307.0,22432.0,7309.0,0.0,410.0
2023-07-04,14986.0,22648.0,7365.0,1.0,457.0
2023-07-05,15184.0,23198.0,7055.0,1.0,462.0
2023-07-06,14934.0,22122.0,6676.0,1.0,463.0
2023-07-07,14606.0,21001.0,8676.0,0.0,478.0
2023-07-08,14143.0,21424.0,10602.0,1.0,403.0
2023-07-09,15506.0,24608.0,8062.0,0.0,365.0
2023-07-10,16481.0,23795.0,7418.0,3.0,427.0
2023-07-11,15690.0,22571.0,7056.0,2.0,426.0
2023-07-12,14982.0,21742.0,7894.0,2.0,450.0
2023-07-13,15628.0,22371.0,11361.0,1.0,439.0
2023-07-14,15077.0,22103.0,9845.0,3.0,508.0
2023-07-15,15028.0,20977.0,9409.0,1.0,410.0
2023-07-16,16252.0,22481.0,9068.0,0.0,415.0
2023-07-17,17242.0,21866.0,9054.0,1.0,385.0
2023-07-18,17920.0,24909.0,7369.0,2.0,418.0
2023-07-19,17043.0,24898.0,6672.0,4.0,454.0
2023-07-20,15311.0,22888.0,6805.0,5.0,430.0
2023-07-21,18825.0,23499.0,9218.0,2.0,453.0
2023-07-22,15056.0,21850.0,11045.0,1.0,399.0
2023-07-23,14882.0,22260.0,10099.0,3.0,409.0
2023-07-24,16358.0,23597.0,8497.0,1.0,422.0
2023-07-25,15813.0,22066.0,9170.0,2.0,443.0
2023-07-26,15184.0,23469.0,8451.0,2.0,511.0
2023-07-27,14727.0,28607.0,9478.0,2.0,565.0
2023-07-28,15732.0,28541.0,8658.0,2.0,550.0
2023-07-29,16393.0,26861.0,9498.0,1.0,528.0
2023-07-30,16922.0,27856.0,9807.0,2.0,443.0
2023-07-31,17174.0,27190.0,11930.0,1.0,507.0
2023-08-01,18621.0,36816.0,11787.0,2.0,473.0
2023-08-02,21506.0,56836.0,11797.0,0.0,511.0
2023-08-03,19571.0,52285.0,10210.0,1.0,461.0
2023-08-04,18307.0,49536.0,9425.0,2.0,432.0
2023-08-05,14925.0,34843.0,8522.0,3.0,460.0
2023-08-06,15497.0,30847.0,8927.0,4.0,429.0
2023-08-07,15668.0,29227.0,11142.0,3.0,525.0
2023-08-08,16302.0,26816.0,8262.0,1.0,538.0
2023-08-09,16462.0,26747.0,7367.0,4.0,473.0
2023-08-10,15477.0,25085.0,7356.0,1.0,560.0
2023-08-11,15303.0,24156.0,7695.0,3.0,1380.0
2023-08-12,13976.0,23670.0,8203.0,1.0,538.0
2023-08-13,15751.0,34406.0,7091.0,1.0,597.0
2023-08-14,15986.0,28826.0,7014.0,1.0,628.0
2023-08-15,21683.0,65434.0,8133.0,4.0,564.0
2023-08-16,18355.0,47817.0,7315.0,1.0,611.0
2023-08-17,16921.0,35697.0,6736.0,1.0,1047.0
2023-08-18,18001.0,32746.0,6979.0,1.0,881.0
2023-08-19,16281.0,28948.0,6437.0,1.0,640.0
2023-08-20,17206.0,32911.0,6825.0,1.0,3523.0
2023-08-21,20585.0,31654.0,6904.0,3.0,1328.0
2023-08-22,21457.0,36907.0,7784.0,3.0,755.0
2023-08-23,22329.0,38310.0,8595.0,0.0,632.0
2023-08-24,42725.0,76590.0,11128.0,1.0,765.0
2023-08-25,36880.0,247001.0,11203.0,2.0,534.0
2023-08-26,22489.0,99805.0,9199.0,1.0,423.0
2023-08-27,21904.0,59038.0,9940.0,2.0,526.0
2023-08-28,26501.0,49397.0,9245.0,2.0,497.0
2023-08-29,25293.0,42391.0,9852.0,2.0,467.0
2023-08-30,21960.0,39688.0,8974.0,1.0,437.0
