date,2022_FIFA_World_Cup_final,Lionel_Messi,Kylian_Mbappé,Argentina_national_football_team,France_national_football_team
2021-07-24,0.0,30711.0,6451.0,5304.0,3781.0
2021-07-25,0.0,29116.0,6201.0,6158.0,4793.0
2021-07-26,0.0,26974.0,6020.0,5075.0,4782.0
2021-07-27,0.0,25575.0,5891.0,4586.0,4982.0
2021-07-28,0.0,25269.0,5854.0,5275.0,5287.0
2021-07-29,0.0,22922.0,5425.0,4445.0,3530.0
2021-07-30,0.0,22157.0,5312.0,4397.0,3222.0
2021-07-31,0.0,22652.0,4954.0,4119.0,2856.0
2021-08-01,0.0,22966.0,5081.0,3983.0,2784.0
2021-08-02,0.0,22653.0,5487.0,4449.0,2992.0
2021-08-03,0.0,24868.0,5754.0,4141.0,2597.0
2021-08-04,0.0,23266.0,5355.0,3983.0,2561.0
2021-08-05,0.0,224692.0,7723.0,5249.0,2660.0
2021-08-06,0.0,297296.0,13588.0,6753.0,3019.0
2021-08-07,0.0,180246.0,14118.0,7141.0,3470.0
2021-08-08,0.0,351325.0,14624.0,8252.0,3413.0
2021-08-09,0.0,239648.0,12704.0,6021.0,3471.0
2021-08-10,0.0,470414.0,27202.0,7938.0,4065.0
2021-08-11,0.0,334695.0,37294.0,8225.0,4170.0
2021-08-12,0.0,133645.0,25307.0,5568.0,3592.0
2021-08-13,0.0,88014.0,18533.0,5525.0,3647.0
2021-08-14,0.0,75259.0,18484.0,5146.0,3821.0
2021-08-15,0.0,66440.0,15936.0,4847.0,3768.0
2021-08-16,0.0,47255.0,16307.0,3933.0,3233.0
2021-08-17,0.0,40768.0,14118.0,3744.0,3395.0
2021-08-18,0.0,35992.0,9844.0,3743.0,3169.0
2021-08-19,0.0,34559.0,9741.0,3828.0,2873.0
2021-08-20,0.0,33182.0,12570.0,3714.0,3141.0
2021-08-21,0.0,32079.0,11538.0,3659.0,2720.0
2021-08-22,0.0,31311.0,9029.0,3924.0,2937.0
2021-08-23,0.0,28494.0,9177.0,5045.0,3224.0
2021-08-24,0.0,27156.0,22717.0,4778.0,3255.0
2021-08-25,0.0,28757.0,48090.0,4088.0,3706.0
2021-08-26,0.0,34682.0,37188.0,3863.0,6778.0
2021-08-27,0.0,74874.0,49318.0,4309.0,5708.0
2021-08-28,0.0,61121.0,27079.0,4691.0,4730.0
2021-08-29,0.0,58891.0,29256.0,4766.0,5693.0
2021-08-30,0.0,47165.0,29201.0,5480.0,6643.0
2021-08-31,0.0,41461.0,27908.0,5552.0,8633.0
2021-09-01,0.0,52849.0,21451.0,6816.0,12600.0
2021-09-02,0.0,58926.0,13569.0,9133.0,8252.0
2021-09-03,0.0,38531.0,9537.0,11931.0,5187.0
2021-09-04,0.0,27911.0,9118.0,5699.0,8457.0
2021-09-05,0.0,31976.0,8515.0,11965.0,6497.0
2021-09-06,0.0,26768.0,6845.0,8859.0,5486.0
2021-09-07,0.0,24632.0,8416.0,5326.0,9699.0
2021-09-08,0.0,24299.0,8575.0,4676.0,8853.0
2021-09-09,0.0,25807.0,6896.0,5892.0,4665.0
2021-09-10,0.0,97672.0,7182.0,18842.0,3758.0
2021-09-11,0.0,58160.0,9540.0,5398.0,3591.0
2021-09-12,0.0,49127.0,9688.0,4144.0,3546.0
2021-09-13,0.0,45337.0,8052.0,3264.0,3372.0
2021-09-14,0.0,53629.0,7681.0,3182.0,2960.0
2021-09-15,0.0,48862.0,10349.0,2825.0,2962.0
2021-09-16,0.0,33648.0,7676.0,2631.0,2768.0
2021-09-17,0.0,22926.0,5671.0,2512.0,2579.0
2021-09-18,0.0,22792.0,5643.0,2611.0,2526.0
2021-09-19,0.0,49058.0,8492.0,2759.0,3019.0
2021-09-20,0.0,50105.0,8555.0,2596.0,2571.0
2021-09-21,0.0,29838.0,7368.0,2561.0,2461.0
2021-09-22,0.0,27052.0,6736.0,2695.0,2777.0
2021-09-23,0.0,25224.0,6783.0,2332.0,2756.0
2021-09-24,0.0,21250.0,6179.0,2366.0,2575.0
2021-09-25,0.0,21616.0,6186.0,3134.0,2415.0
2021-09-26,0.0,22950.0,6508.0,3097.0,2603.0
2021-09-27,0.0,24274.0,6190.0,3285.0,2745.0
2021-09-28,0.0,51323.0,12852.0,4157.0,2971.0
2021-09-29,0.0,55184.0,11670.0,3439.0,3082.0
2021-09-30,0.0,31746.0,7368.0,3243.0,4990.0
2021-10-01,0.0,22545.0,6238.0,3020.0,4232.0
2021-10-02,0.0,22473.0,6641.0,3209.0,3841.0
2021-10-03,0.0,25761.0,8012.0,3402.0,3904.0
