date,Straight_Outta_Compton_(2015_film),N.W.A,Dr._Dre,Ice_Cube,Eazy-E
2015-07-01,7895.0,7808.0,8688.0,7859.0,8423.0
2015-07-02,8414.0,8117.0,8736.0,8339.0,8720.0
2015-07-03,7835.0,7583.0,8364.0,7726.0,8166.0
2015-07-04,7630.0,7358.0,9352.0,8148.0,8018.0
2015-07-05,8465.0,7622.0,9771.0,9277.0,8400.0
2015-07-06,8140.0,7353.0,9376.0,8749.0,7964.0
2015-07-07,7765.0,7686.0,8648.0,8717.0,8172.0
2015-07-08,7578.0,7563.0,8714.0,8155.0,7823.0
2015-07-09,8012.0,7462.0,8488.0,8599.0,7692.0
2015-07-10,10238.0,9278.0,8940.0,10206.0,8913.0
2015-07-11,9993.0,8461.0,8621.0,8950.0,8303.0
2015-07-12,10348.0,8242.0,8474.0,9819.0,8374.0
2015-07-13,9596.0,7975.0,9027.0,9640.0,7673.0
2015-07-14,9003.0,7515.0,8760.0,8727.0,7542.0
2015-07-15,9485.0,8429.0,8833.0,9246.0,8324.0
2015-07-16,9451.0,8622.0,8926.0,9147.0,8904.0
2015-07-17,9089.0,8524.0,10384.0,9397.0,8682.0
2015-07-18,8532.0,9650.0,10525.0,9574.0,9361.0
2015-07-19,10096.0,12310.0,10636.0,11057.0,11709.0
2015-07-20,18962.0,26271.0,14471.0,15846.0,23188.0
2015-07-21,32072.0,41593.0,19892.0,24602.0,40976.0
2015-07-22,25591.0,41725.0,19134.0,21033.0,36754.0
2015-07-23,25142.0,46336.0,20394.0,21286.0,41451.0
2015-07-24,19257.0,29189.0,14971.0,16788.0,25945.0
2015-07-25,17766.0,25217.0,13672.0,15593.0,23104.0
2015-07-26,19180.0,27220.0,14592.0,16736.0,24473.0
2015-07-27,20812.0,29351.0,16064.0,17983.0,25950.0
2015-07-28,22968.0,32967.0,16644.0,19278.0,29397.0
2015-07-29,21233.0,30304.0,17500.0,18322.0,27240.0
2015-07-30,25012.0,37573.0,21735.0,20069.0,30338.0
2015-07-31,30109.0,46912.0,23795.0,24112.0,40979.0
2015-08-01,24235.0,37253.0,23182.0,21116.0,32986.0
2015-08-02,34631.0,52062.0,56178.0,26259.0,42624.0
2015-08-03,32511.0,44702.0,47897.0,24816.0,39462.0
2015-08-04,38990.0,49617.0,40529.0,27951.0,40947.0
2015-08-05,36623.0,44975.0,34771.0,25175.0,38066.0
2015-08-06,60280.0,93354.0,50099.0,52175.0,60698.0
2015-08-07,78077.0,95299.0,138543.0,49838.0,69186.0
2015-08-08,65953.0,77985.0,87472.0,43276.0,59854.0
2015-08-09,63627.0,72608.0,70878.0,40329.0,59535.0
2015-08-10,70385.0,80535.0,60718.0,41515.0,62427.0
2015-08-11,82249.0,90396.0,68980.0,48536.0,75036.0
2015-08-12,90400.0,91725.0,64331.0,64605.0,77227.0
2015-08-13,106758.0,113008.0,68647.0,65574.0,95003.0
2015-08-14,202100.0,204826.0,121485.0,128544.0,191487.0
2015-08-15,239100.0,211568.0,170383.0,166932.0,270030.0
