event_slug,mode,article,actual_total,absolute_error_total,page_wape,share_of_mode_absolute_error,worst_error_date,worst_error_actual,worst_error_forecast
straight-outta-compton,timesfm-multivariate,Straight_Outta_Compton_(2015_film),2196925.0,611636.078125,0.2784055341556949,0.21656447602592752,2015-09-17,30673.0,63805.74609375
straight-outta-compton,timesfm-multivariate,N.W.A,1947332.0,632368.4609375,0.3247358236487153,0.22390527520559986,2015-08-27,59198.0,101283.09375
straight-outta-compton,timesfm-multivariate,Dr._Dre,2202148.0,460655.95703125,0.20918483091565598,0.1631063299413586,2015-08-30,121445.0,80150.90625
straight-outta-compton,timesfm-multivariate,Ice_Cube,2074227.0,417767.2890625,0.20140866407702726,0.14792056468274986,2015-08-23,127183.0,87232.0859375
straight-outta-compton,timesfm-multivariate,Eazy-E,2989214.0,701840.0234375,0.23479082576138743,0.24850335414436417,2015-09-07,164902.0,85029.3125
straight-outta-compton,timesfm-univariate,Straight_Outta_Compton_(2015_film),2196925.0,357764.3984375,0.16284779791640588,0.12480139967944906,2015-08-31,117673.0,81545.8125
straight-outta-compton,timesfm-univariate,N.W.A,1947332.0,396372.34765625,0.20354636377168864,0.13826927441012837,2015-08-30,109179.0,73816.71875
straight-outta-compton,timesfm-univariate,Dr._Dre,2202148.0,614544.580078125,0.2790659756193158,0.2143757849974213,2015-09-07,100313.0,49787.4921875
straight-outta-compton,timesfm-univariate,Ice_Cube,2074227.0,409204.4765625,0.19728046957372553,0.14274559361729758,2015-08-23,127183.0,84313.328125
straight-outta-compton,timesfm-univariate,Eazy-E,2989214.0,1088783.95703125,0.3642375410496706,0.37980794729570366,2015-09-07,164902.0,50563.53125
straight-outta-compton,exponential-decay,Straight_Outta_Compton_(2015_film),2196925.0,1115022.368655517,0.507537748742227,0.20132556308370264,2015-08-31,117673.0,32613.100928928965
straight-outta-compton,exponential-decay,N.W.A,1947332.0,632238.7369165703,0.324669207365036,0.11415539570433682,2015-08-30,109179.0,46721.0795392898
straight-outta-compton,exponential-decay,Dr._Dre,2202148.0,1170488.5339063767,0.5315212846304502,0.21134039082629563,2015-08-30,121445.0,35166.837710551816
straight-outta-compton,exponential-decay,Ice_Cube,2074227.0,1120382.0514193636,0.5401443773605125,0.20229329358016124,2015-08-31,110847.0,29590.44899236532
straight-outta-compton,exponential-decay,Eazy-E,2989214.0,1500272.6308223011,0.5018953580514146,0.2708853568055038,2015-09-07,164902.0,39688.78306106581
straight-outta-compton,power-law-decay,Straight_Outta_Compton_(2015_film),2196925.0,485388.1956073906,0.22093981160366905,0.18190865079386395,2015-08-31,117673.0,69097.63411919624
straight-outta-compton,power-law-decay,N.W.A,1947332.0,451562.64571727737,0.2318878577034,0.16923186920223238,2015-08-30,109179.0,72689.1732836986
straight-outta-compton,power-law-decay,Dr._Dre,2202148.0,515425.50573772896,0.23405579722059053,0.19316571598155208,2015-08-30,121445.0,75690.38523872069
straight-outta-compton,power-law-decay,Ice_Cube,2074227.0,482743.10026830214,0.23273397765447182,0.18091734995731884,2015-08-31,110847.0,64478.51616259432
straight-outta-compton,power-law-decay,Eazy-E,2989214.0,733187.9338142737,0.2452778335088333,0.2747764140650325,2015-09-07,164902.0,83555.35604574873
straight-outta-compton,seasonal-naive,Straight_Outta_Compton_(2015_film),2196925.0,3933574.0,1.7904907996404065,0.2277620075104752,2015-09-14,44577.0,290671.0
straight-outta-compton,seasonal-naive,N.W.A,1947332.0,3273260.0,1.6808946805167275,0.18952847174191664,2015-09-14,40056.0,231608.0
straight-outta-compton,seasonal-naive,Dr._Dre,2202148.0,2767997.0,1.2569532111374895,0.1602727070859663,2015-09-14,48657.0,220746.0
straight-outta-compton,seasonal-naive,Ice_Cube,2074227.0,2643807.0,1.2745986818221922,0.1530818512096752,2015-09-14,44249.0,216754.0
straight-outta-compton,seasonal-naive,Eazy-E,2989214.0,4651907.0,1.5562308352630492,0.2693549624519666,2015-09-14,63749.0,338170.0
straight-outta-compton,flat-baseline,Straight_Outta_Compton_(2015_film),2196925.0,1361425.0,0.6196957110506731,0.19741723716358373,2015-08-23,131174.0,27850.0
straight-outta-compton,flat-baseline,N.W.A,1947332.0,786812.0,0.40404615134964145,0.11409387311614935,2015-08-30,109179.0,43213.5
straight-outta-compton,flat-baseline,Dr._Dre,2202148.0,1528393.0,0.6940464491941505,0.22162889866144755,2015-08-22,129060.0,22458.5
straight-outta-compton,flat-baseline,Ice_Cube,2074227.0,1393257.0,0.6716993848792827,0.20203312529065,2015-08-23,127183.0,22699.0
straight-outta-compton,flat-baseline,Eazy-E,2989214.0,1826294.0,0.6109612761080337,0.2648268657681694,2015-08-23,170086.0,38764.0
ever-given,timesfm-multivariate,2021_Suez_Canal_obstruction,230172.0,166638.85498046875,0.7239753531292631,0.15276805522839618,2021-04-01,25335.0,12397.83984375
ever-given,timesfm-multivariate,Ever_Given,409896.0,384591.90673828125,0.9382670402694373,0.3525789807897699,2021-04-02,39634.0,103496.8359375
ever-given,timesfm-multivariate,Suez_Canal,681026.0,523332.79296875,0.7684475966684825,0.4797712576004639,2021-04-01,78991.0,144283.921875
ever-given,timesfm-multivariate,Container_ship,59177.0,13839.041687011719,0.23385845323371782,0.012687098006027934,2021-04-01,4695.0,6636.56689453125
ever-given,timesfm-multivariate,Supply_chain,19275.0,2393.871063232422,0.12419564530388699,0.0021946083753420745,2021-04-27,639.0,831.4912109375
ever-given,timesfm-univariate,2021_Suez_Canal_obstruction,230172.0,1994628.92578125,8.665819151683307,0.11461791771268535,2021-04-19,3381.0,84027.015625
ever-given,timesfm-univariate,Ever_Given,409896.0,14513557.0,35.40790102855358,0.8339965697092299,2021-04-29,2562.0,735009.3125
ever-given,timesfm-univariate,Suez_Canal,681026.0,871559.64453125,1.2797744058688656,0.050082674690708706,2021-04-01,78991.0,150704.265625
ever-given,timesfm-univariate,Container_ship,59177.0,20206.181579589844,0.3414532940093253,0.0011611134420252565,2021-04-01,4695.0,7297.36474609375
ever-given,timesfm-univariate,Supply_chain,19275.0,2466.3480529785156,0.12795580041393076,0.00014172444535086196,2021-04-27,639.0,822.5424194335938
ever-given,exponential-decay,2021_Suez_Canal_obstruction,230172.0,189251.394166661,0.8222172730247858,0.22916500031117146,2021-04-02,22761.0,3965.260006017454
ever-given,exponential-decay,Ever_Given,409896.0,271593.14454533934,0.6625903754741187,0.3288728377844047,2021-04-02,39634.0,15643.588198174866
ever-given,exponential-decay,Suez_Canal,681026.0,337052.05081534036,0.494918036631994,0.40813719587163466,2021-04-04,47163.0,9994.790274391604
ever-given,exponential-decay,Container_ship,59177.0,20928.680844165283,0.3536624168877314,0.025342593502597523,2021-04-14,2842.0,915.7685507254262
ever-given,exponential-decay,Supply_chain,19275.0,7005.0,0.36342412451361866,0.008482372530191643,2021-04-04,416.0,876.0
ever-given,power-law-decay,2021_Suez_Canal_obstruction,230172.0,36542.418438496294,0.1587613542850403,0.03321064816827069,2021-04-02,22761.0,18220.92965162684
ever-given,power-law-decay,Ever_Given,409896.0,316917.7648322922,0.7731662783542465,0.28802265520095416,2021-03-31,76797.0,109926.07649656192
ever-given,power-law-decay,Suez_Canal,681026.0,713491.1377034845,1.047670922554329,0.6484382850941013,2021-04-01,78991.0,139816.23312533717
ever-given,power-law-decay,Container_ship,59177.0,26366.02905467836,0.4455452127461406,0.023962095338683823,2021-03-31,6573.0,8530.150143930252
ever-given,power-law-decay,Supply_chain,19275.0,7005.0,0.36342412451361866,0.006366316197990242,2021-04-04,416.0,876.0
ever-given,seasonal-naive,2021_Suez_Canal_obstruction,230172.0,2516894.0,10.93484003267122,0.12161720096250273,2021-04-26,2749.0,150343.0
ever-given,seasonal-naive,Ever_Given,409896.0,6480904.0,15.81109354567988,0.3131595546680503,2021-04-26,2714.0,395217.0
ever-given,seasonal-naive,Suez_Canal,681026.0,11285992.0,16.57204277076059,0.545343092369086,2021-04-26,6596.0,630004.0
ever-given,seasonal-naive,Container_ship,59177.0,409365.0,6.917636919749227,0.019780660398099774,2021-04-19,1213.0,24424.0
ever-given,seasonal-naive,Supply_chain,19275.0,2059.0,0.10682230869001297,9.949160226127645e-05,2021-04-29,648.0,815.0
ever-given,flat-baseline,2021_Suez_Canal_obstruction,230172.0,230142.0,0.999869662687034,0.18357857859055568,2021-03-31,34617.0,1.0
ever-given,flat-baseline,Ever_Given,409896.0,409866.0,0.9999268107032028,0.32693996616261567,2021-03-31,76797.0,1.0
ever-given,flat-baseline,Suez_Canal,681026.0,574616.0,0.843750458866475,0.4583569644627697,2021-03-31,130911.0,3547.0
ever-given,flat-baseline,Container_ship,59177.0,32044.0,0.5414941615830474,0.025560705878786862,2021-03-31,6573.0,915.5
ever-given,flat-baseline,Supply_chain,19275.0,6975.0,0.36186770428015563,0.005563784905272075,2021-04-04,416.0,875.0
jwst-first-images,timesfm-multivariate,James_Webb_Space_Telescope,325841.0,40845.158203125,0.12535303477194398,0.2585147154736488,2022-07-21,28689.0,22193.34765625
jwst-first-images,timesfm-multivariate,NASA,113347.0,30104.911865234375,0.26559954710079997,0.19053819516372705,2022-07-29,7491.0,4616.63525390625
jwst-first-images,timesfm-multivariate,Hubble_Space_Telescope,64442.0,4622.67919921875,0.0717339498963215,0.029257582795224918,2022-07-28,2095.0,2513.383056640625
jwst-first-images,timesfm-multivariate,Webb's_First_Deep_Field,41997.0,79073.01062011719,1.8828252165658783,0.5004641367881997,2022-07-24,1068.0,6597.13134765625
jwst-first-images,timesfm-multivariate,Carina_Nebula,29009.0,3353.5947265625,0.11560531995458306,0.021225369779199546,2022-07-26,2133.0,1288.7001953125
jwst-first-images,timesfm-univariate,James_Webb_Space_Telescope,325841.0,38569.51904296875,0.11836914029532425,0.09247716477597956,2022-07-21,28689.0,23234.27734375
jwst-first-images,timesfm-univariate,NASA,113347.0,27913.109130859375,0.24626244303651068,0.06692655901746224,2022-07-29,7491.0,4514.587890625
jwst-first-images,timesfm-univariate,Hubble_Space_Telescope,64442.0,5291.9554443359375,0.08211966488215663,0.012688388337635022,2022-07-21,4194.0,3784.3798828125
jwst-first-images,timesfm-univariate,Webb's_First_Deep_Field,41997.0,338179.2373046875,8.05246177833387,0.8108438432224092,2022-08-04,463.0,12798.193359375
jwst-first-images,timesfm-univariate,Carina_Nebula,29009.0,7116.913635253906,0.24533467666082617,0.017064044646514013,2022-07-26,2133.0,1639.329833984375
jwst-first-images,exponential-decay,James_Webb_Space_Telescope,325841.0,166623.02092631435,0.5113629682155234,0.7354118528094179,2022-07-21,28689.0,14746.428723184055
jwst-first-images,exponential-decay,NASA,113347.0,14855.442691719687,0.1310616310243737,0.06556638196502873,2022-07-29,7491.0,3699.412252291368
jwst-first-images,exponential-decay,Hubble_Space_Telescope,64442.0,10510.945940610813,0.1631070721053166,0.04639139409423268,2022-07-21,4194.0,3007.708223060309
